CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade
30560,AAS,100,Intro Asian American Studies,A,LCD,120065,"Chung, Jennifer Y",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
32896,AAS,100,Intro Asian American Studies,B,LCD,120065,"Pak, Yoon K",0,5,12,1,3,0,0,0,0,0,0,0,0,0,3.64
30561,ACCY,201,"Accounting and Accountancy, I",A,LCD,120065,"Feller, Anita L",2,17,3,3,1,0,0,2,0,0,0,0,0,0,3.71
30562,ACCY,202,"Accounting and Accountancy, II",A,LCD,120065,"Finnegan, Thomas",1,9,3,6,0,2,0,0,0,0,0,0,0,0,3.63
30563,ACCY,290,Prof Internship in Accountancy,A,CNF,120065,"Curtis, Susan M",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30565,ACCY,301,Atg Measurement & Disclosure,AE1,LCD,120065,"Elliott, Robin N",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30026,ACCY,301,Atg Measurement & Disclosure,AE2,LCD,120065,"Muriset, Seth D",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30034,ACCY,302,Decision Making for Atg,AE1,LCD,120065,"Turner, Cynthia W",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30037,ACCY,302,Decision Making for Atg,AE2,LCD,120065,"Keshk, Walied E",2,5,5,2,5,1,0,1,0,0,0,0,0,0,3.46
30041,ACCY,303,Atg Institutions and Reg,AE1,LCD,120065,"Mathrumandiram, Padmakuma",6,17,1,3,3,1,0,0,0,0,0,0,0,0,3.78
30048,ACCY,303,Atg Institutions and Reg,AE2,LCD,120065,"Ma, Tao",3,6,4,5,1,0,0,2,0,0,0,0,0,0,3.54
30061,ACCY,304,Accounting Control Systems,AE1,LCD,120065,"Ibrahim, Adel Nematallah",0,8,8,5,9,4,1,0,0,0,0,0,0,0,3.37
30066,ACCY,304,Accounting Control Systems,AE2,LCD,120065,"Zhou, Hui",1,5,8,7,2,2,0,0,0,0,0,0,0,0,3.52
30080,ACCY,312,Principles of Taxation,A,LCD,120065,"Larakers, Daniel H",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30069,ACCY,405,Assurance and Attestation,AE1,LCD,120065,"Birkey, Rachel N",2,10,9,3,5,1,1,2,0,0,0,0,0,0,3.49
30083,ACCY,501,"Accounting Analysis, I",A,LCD,120065,"Ziegler, Richard E",0,13,6,0,15,2,0,0,0,0,0,0,0,0,3.45
30086,ACCY,501,"Accounting Analysis, I",B,LCD,120065,"Ziegler, Richard E",0,20,5,0,13,2,0,0,0,0,0,0,0,0,3.57
32912,ACCY,501,"Accounting Analysis, I",EM,LCD,120065,"Ibrahim, Adel Nematallah",0,10,7,5,6,4,4,1,0,0,0,0,0,0,3.31
32857,ACCY,510,Financial Reporting Standards,A,LCD,120065,"Harris, Ling L",4,4,6,8,7,6,0,0,0,0,0,0,0,0,3.36
32858,ACCY,515,Auditing & Assurance Standards,A,LCD,120065,"Nekrasz, Frank",0,13,8,10,4,0,0,0,0,0,0,0,0,0,3.62
32291,ACCY,551,Corporate Income Taxation,CHI,LCD,120065,"Zellers-Artalej, Mary M",0,11,9,3,3,0,0,0,0,0,0,0,0,0,3.69
30093,ACCY,590,Adv Prof Internship in ACCY,A,CNF,120065,"Willis, Eugene",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
32293,ACCY,593,Role of Info in Value Creation,CHI,LCD,120065,"Chandler, John S",16,9,0,0,1,0,0,0,0,0,0,0,0,0,3.96
30101,ACCY,593,Special Research Problems,MSA,LCD,120065,"Brown, Clifton E",0,6,13,13,2,0,0,0,0,0,0,0,0,0,3.56
30119,ACE,161,Microcomputer Applications,A,LBD,120065,"Lo, Alexander C",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30122,ACE,161,Microcomputer Applications,C,LBD,120065,"Lo, Alexander C",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30132,ADV,300,Introduction to Advertising,A,LCD,120065,"Hall, Steven R",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31247,AFRO,100,Intro to Afro-American Studies,A,LEC,120065,"Hamer, Jennifer F",0,5,5,2,2,0,2,3,2,1,0,0,0,0,3.02
32911,AFRO,298,Spec Topics African-Am Studies,B,LCD,120065,"Caban, Pedro A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
32338,AGED,500,Food System & Environ Literacy,NK2,ONL,120065,"Knobloch, Neil A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
32339,AGED,500,Food System & Environ Literacy,NK3,ONL,120065,"Knobloch, Neil A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
32340,AGED,500,Food System & Environ Literacy,NK4,ONL,120065,"Knobloch, Neil A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30180,ANSC,110,Life With Animals and Biotech,1,LCD,120065,"Kesler, Darrel J",2,47,1,0,7,0,0,1,0,0,0,0,1,0,3.77
30200,ANSC,331,Biology of Reproduction,AB1,LAB,120065,"Kesler, Darrel J",3,14,1,0,2,1,0,0,0,0,0,0,0,0,3.83
