CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade
30107,AAS,100,Intro Asian American Studies,AD1,DIS,120081,"Chung, Jennifer Y",12,13,0,2,1,1,0,0,1,0,0,0,0,0,3.8
41729,AAS,100,Intro Asian American Studies,AD2,DIS,120081,"Chung, Jennifer Y",11,9,4,0,0,1,0,0,0,0,0,0,0,0,3.89
43832,AAS,100,Intro Asian American Studies,AD3,DIS,120081,"Kim, Hyun H",7,8,6,2,1,0,0,0,0,0,0,0,0,0,3.82
48232,AAS,100,Intro Asian American Studies,AD4,DIS,120081,"Kim, Hyun H",4,19,5,0,0,1,0,0,0,0,0,0,0,0,3.9
48234,AAS,100,Intro Asian American Studies,AD5,DIS,120081,"Thangaraj, Stanley I",11,16,1,2,2,0,0,0,0,0,0,0,0,0,3.89
46336,AAS,120,Intro to Asian Am Pop Culture,A,LCD,120081,"Wong, Yutian",9,31,26,15,5,2,1,1,0,1,0,0,0,0,3.64
48812,AAS,199,Discovery course,FN,LCD,120081,"Ngo, Fiona",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
48574,AAS,299,Begin Topics Asian Am Studies,CY,LCD,120081,"Yang, Caroline H",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
48495,AAS,299,Begin Topics Asian Am Studies,JD,LCD,120081,"Dowling, Julie",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
48455,AAS,299,Asian American Women Writers,Q,LCD,120081,"Koshy, Susan",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
48718,AAS,390,Transnational Feminist Studies,MN,LCD,120081,"Nguyen, Mimi T",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30108,AAS,490,The Politics of Fashion,MNU,LCD,120081,"Nguyen, Mimi T",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
48571,AAS,590,Asian Am Studies Seminar,FN,LCD,120081,"Ngo, Fiona",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
29862,ABE,222,Agric & Biological Engrg II,AL1,LEC,120081,"Rodriguez, Luis F",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
49627,ABE,397,Independent Study,MGD,PKG,120081,"Danao, Mary-Grace",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
39997,ABE,425,Engrg Measurement Systems,AE1,LCD,120081,"Grift, Tony E",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
47444,ABE,436,Renewable Energy Systems,XW1,LCD,120081,"Wang, Xinlei",2,10,7,10,2,2,1,2,0,0,0,0,0,0,3.47
29875,ABE,456,Land & Water Resources Engrg,G4,LEC,120081,"Kalita, Prasanta K",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
40185,ABE,456,Land & Water Resources Engrg,U3,LEC,120081,"Kalita, Prasanta K",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
49481,ABE,463,Electrohydraulic Systems,QZ,LEC,120081,"Zhang, Qin",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
29872,ABE,469,Industry-Linked Design Project,AE1,LCD,120081,"Zahos, Stephen C",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
29876,ABE,485,Food & Process Engrg Design,A,LCD,120081,"Rausch, Kent D",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
44855,ABE,488,Bioprocessing Grains for Fuels,VS1,LCD,120081,"Singh, Vijay",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
49583,ABE,498,Special Topics,ECK,LEC,120081,"Eckhoff, Steven",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
29881,ABE,502,Graduate Research II,E,DIS,120081,"Eckhoff, Steven",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
45418,ACCY,200,Fundamentals of Accounting,A,LCD,120081,"Silhan, Peter A",2,18,8,7,13,9,7,6,4,8,7,1,0,1,2.77
30111,ACCY,200,Fundamentals of Accounting,TM,LCD,120081,"Finnegan, Thomas",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30112,ACCY,201,Accounting and Accountancy I,AD1,DIS,120081,"Cook, Pamela M",1,1,9,8,6,6,2,1,5,0,3,0,1,0,2.78
30113,ACCY,201,Accounting and Accountancy I,AD2,DIS,120081,"Cook, Pamela M",2,8,12,5,9,9,2,0,1,0,1,0,1,0,3.18
30114,ACCY,201,Accounting and Accountancy I,AD3,DIS,120081,"Janus, Elizabeth A",1,4,3,13,6,7,6,3,4,0,1,0,1,0,2.83
30115,ACCY,201,Accounting and Accountancy I,AD4,DIS,120081,"Arbus, Michael S",0,7,11,8,6,4,4,1,5,0,4,0,0,0,2.95
30116,ACCY,201,Accounting and Accountancy I,AD5,DIS,120081,"Center, Jonathan L",2,9,7,9,9,7,4,0,2,0,0,0,0,0,3.22
30117,ACCY,201,Accounting and Accountancy I,AD6,DIS,120081,"Center, Jonathan L",0,8,11,7,5,6,5,2,1,0,2,0,1,1,3.04
30147,ACCY,202,Accounting and Accountancy II,AD1,DIS,120081,"Militello, Matthew J",4,18,3,11,6,1,2,0,0,0,0,0,0,0,3.58
30121,ACCY,202,Accounting and Accountancy II,ADA,DIS,120081,"Militello, Matthew J",1,14,6,9,8,0,1,0,0,0,0,0,0,0,3.55
30122,ACCY,202,Accounting and Accountancy II,ADB,DIS,120081,"Archibald, Bradley D",0,15,2,16,7,0,0,0,0,0,0,0,0,1,3.54
30134,ACCY,202,Accounting and Accountancy II,ADE,DIS,120081,"Archibald, Bradley D",3,15,7,13,8,0,2,0,0,0,0,0,0,0,3.53
30138,ACCY,202,Accounting and Accountancy II,ADF,DIS,120081,"Mathew, Nisha M",2,13,5,11,8,0,0,0,0,0,0,0,0,0,3.56
30140,ACCY,202,Accounting and Accountancy II,ADG,DIS,120081,"Homan, Daniel P",5,10,6,12,1,1,0,0,0,0,0,0,0,0,3.65
30143,ACCY,202,Accounting and Accountancy II,ADH,DIS,120081,"Barnett, Joshua",1,18,2,10,5,0,1,0,0,0,0,0,0,0,3.62
30151,ACCY,202,Accounting and Accountancy II,ADJ,DIS,120081,"Barnett, Joshua",2,28,2,8,8,0,0,0,0,0,0,0,0,0,3.71
30155,ACCY,202,Accounting and Accountancy II,ADK,DIS,120081,"Donahue, Stacy C",3,24,8,7,8,0,0,0,0,0,0,0,0,0,3.69
30159,ACCY,202,Accounting and Accountancy II,ADL,DIS,120081,"Mathew, Nisha M",1,18,3,14,4,0,0,0,0,0,0,0,0,0,3.64
30161,ACCY,202,Accounting and Accountancy II,ADM,DIS,120081,"Lencioni, Erin V",0,18,10,14,7,1,0,0,0,0,0,0,0,0,3.58
30164,ACCY,202,Accounting and Accountancy II,ADN,DIS,120081,"Lorber, Brian J",4,15,6,14,8,0,1,0,0,0,0,0,0,0,3.56
30168,ACCY,202,Accounting and Accountancy II,ADO,DIS,120081,"Homan, Daniel P",3,16,4,9,5,1,1,0,0,0,0,0,0,0,3.61
30171,ACCY,202,Accounting and Accountancy II,ADP,DIS,120081,"Girard, Kaitlyn A",2,23,0,10,4,0,0,0,1,0,0,0,0,0,3.67
