CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade
32896,AAS,100,Intro Asian American Studies,1A,LCD,120135,"Kwon, Soo Ah",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37453,ACCY,200,Fundamentals of Accounting,ONL,ONL,120135,"Silhan, Peter A",3,3,3,6,0,2,2,2,0,0,1,0,0,0,3.18
30565,ACCY,301,Atg Measurement & Disclosure,AE1,LCD,120135,"Asante Appiah, Bright",0,3,5,8,5,1,0,1,0,0,0,0,0,0,3.33
30026,ACCY,301,Atg Measurement & Disclosure,AE2,LCD,120135,"Klevsky, Elena",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30034,ACCY,302,Decision Making for Atg,AE1,LCD,120135,"Finnegan, Thomas",0,3,1,9,9,0,0,0,0,0,0,0,0,0,3.3
30037,ACCY,302,Decision Making for Atg,AE2,LCD,120135,"Demere, Paul M",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30048,ACCY,303,Atg Institutions and Reg,AE2,LCD,120135,"Grant, Stephanie M",3,3,6,3,4,0,1,1,2,0,0,0,0,0,3.29
30061,ACCY,304,Accounting Control Systems,AE1,LCD,120135,"Estep, Cassandra R",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30066,ACCY,304,Accounting Control Systems,AE2,LCD,120135,"Crowley, Richard M",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30080,ACCY,312,Principles of Taxation,A,LCD,120135,"Holder, Daniel E",2,15,1,1,10,0,2,2,1,0,0,0,0,0,3.39
30069,ACCY,405,Assurance and Attestation,AE1,LCD,120135,"Hillison, Sean M",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30074,ACCY,405,Assurance and Attestation,AE2,LCD,120135,"Gordon, Shawn J",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34354,ACCY,500,"Atg Measuremnt, Rpting & Cntrl",PT,LCD,120135,"Sandretto, Michael J",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30083,ACCY,501,Accounting Analysis I,A,LCD,120135,"Ibrahim, Adel Nematallah",0,16,9,6,6,1,0,0,0,0,0,0,0,0,3.62
30086,ACCY,501,Accounting Analysis I,B,LCD,120135,"Ibrahim, Adel Nematallah",0,11,7,8,6,2,0,0,0,0,0,0,0,0,3.52
32912,ACCY,501,Accounting Analysis I,C,LCD,120135,"Ibrahim, Adel Nematallah",0,9,11,10,5,1,0,0,0,0,0,0,0,0,3.54
36386,ACCY,503,Managerial Accounting,CT,LCD,120135,"Carroll, Sandra",0,10,9,9,2,0,0,1,0,0,0,0,0,0,3.58
32291,ACCY,551,Corporate Income Taxation,CHI,LCD,120135,"Shaw, Jeffrey M",6,3,0,6,14,0,0,0,0,0,1,0,0,0,3.3
37076,ACCY,557,Accounting Periods & Methods,CHI,LCD,120135,"Aquino, Glenn D",0,20,0,0,7,0,0,3,0,0,0,0,0,0,3.57
37074,ACCY,559,Tax Policy,CH1,LCD,120135,"Giertz, J F",0,9,14,7,0,0,0,0,0,0,0,0,0,0,3.69
37075,ACCY,559,IRS Procedures,CH2,LCD,120135,"Meier, Walter K",1,9,9,4,5,2,0,0,0,0,0,0,0,0,3.56
34580,ACCY,560,Information in Value Creation,B,LCD,120135,"Chandler, John S",4,16,14,2,1,0,0,0,0,0,0,0,0,0,3.81
34342,ACCY,560,Information in Value Creation,CHI,LCD,120135,"Chandler, John S",14,10,4,2,0,0,0,0,0,0,0,0,0,0,3.91
30104,ACCY,593,Special Research Problems,S,CNF,120135,"Peecher, Mark E",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37030,ACE,100,Agr Cons and Resource Econ,ONL,ONL,120135,"Gundersen, Lisa C",0,9,1,7,1,1,2,0,0,1,1,0,1,1,3.15
36921,ADV,310,Intro to Public Relations,ONL,ONL,120135,"Olson, Katrina M",7,24,14,9,7,5,1,1,0,0,0,0,0,0,3.59
