CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade
30107,AAS,100,Intro Asian American Studies,AD1,DIS,120121,"Thomas, Merin A",2,12,4,0,5,2,1,0,0,0,1,0,0,0,3.49
41729,AAS,100,Intro Asian American Studies,AD2,DIS,120121,"Thomas, Merin A",6,16,3,3,2,3,0,1,0,0,0,0,0,1,3.68
43832,AAS,100,Intro Asian American Studies,AD3,DIS,120121,"Kinase-Leggett, Elizabeth",7,8,6,5,3,0,0,1,1,1,1,0,1,0,3.34
48232,AAS,100,Intro Asian American Studies,AD4,DIS,120121,"Kinase-Leggett, Elizabeth",2,10,3,3,7,1,2,1,0,0,1,0,0,0,3.34
48234,AAS,100,Intro Asian American Studies,AD5,DIS,120121,"Davis, Thomas E",8,3,7,1,5,3,3,0,1,0,0,0,1,0,3.27
50105,AAS,100,Intro Asian American Studies,AD6,DIS,120121,"Davis, Thomas E",14,2,5,8,2,2,1,0,0,0,0,0,0,0,3.61
51886,AAS,100,Intro Asian American Studies,B,LCD,120121,"Fugikawa, Laura S",0,16,4,0,4,2,0,1,0,0,0,0,1,0,3.5
54572,AAS,100,Intro Asian American Studies,C,LCD,120121,"Sudhakar, Anantha",1,6,8,9,2,3,0,1,1,0,0,0,0,0,3.39
52801,AAS,120,Intro to Asian Am Pop Culture,AD1,DIS,120121,"Arai, Sayuri",2,3,4,7,6,0,2,0,1,0,0,1,1,0,3.07
52802,AAS,120,Intro to Asian Am Pop Culture,AD2,DIS,120121,"Arai, Sayuri",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
52803,AAS,120,Intro to Asian Am Pop Culture,AD3,DIS,120121,"Washington, Myra S",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
52804,AAS,120,Intro to Asian Am Pop Culture,AD4,DIS,120121,"Washington, Myra S",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
54575,AAS,211,Asian Americans and the Arts,100,LCD,120121,"Nguyen, Mimi T",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
52317,AAS,215,US Citizenship Comparatively,A,LCD,120121,"Cacho, Lisa M",0,6,7,4,2,1,0,0,0,0,0,0,1,0,3.41
57231,AAS,246,Asian American Youth in Film,A,LCD,120121,"Kwon, Soo Ah",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51340,AAS,299,Creative Writ Marginal People,WC,LCD,120121,"Coyoca, Wilfred D",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
46462,AAS,365,Asian American Media and Film,A,LCD,120121,"Yang, Caroline H",7,13,3,0,2,1,0,0,0,0,0,0,1,0,3.69
39548,AAS,490,Adv Topics in Asian Am Studies,LCG,LCD,120121,"Cacho, Lisa M",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
54768,ABE,141,ABE Principles: Biological,MGD,LEC,120121,"Danao, Mary-Grace",5,14,0,10,5,0,3,0,0,0,0,0,0,0,3.55
53025,ABE,199,Undergraduate Open Seminar,CHP,LCD,120121,"Czapar, George F",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
57089,ABE,225,ABE Principles: Bioenvironment,AE1,LCD,120121,"Zhang, Yuanhui",2,20,6,12,13,4,0,4,1,0,1,0,1,0,3.29
57086,ABE,226,ABE Principles: Bioprocessing,AE1,LCD,120121,"Singh, Vijay",2,12,18,8,14,5,3,0,0,0,0,0,0,0,3.4
29865,ABE,374,Environ Control for Buildings,AL1,LEC,120121,"Green, Angela R",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
39997,ABE,425,Engrg Measurement Systems,AE1,LCD,120121,"Bhalerao, Kaustubh",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
47444,ABE,436,Renewable Energy Systems,XW1,LCD,120121,"Wang, Xinlei",2,6,13,8,15,6,0,1,0,0,1,0,0,1,3.28
51916,ABE,446,Biological Nanoengineering,KB1,LEC,120121,"Bhalerao, Kaustubh",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51917,ABE,446,Biological Nanoengineering,KB2,LEC,120121,"Bhalerao, Kaustubh",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
29875,ABE,456,Land & Water Resources Engrg,G4,LEC,120121,"Kalita, Prasanta K",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
40185,ABE,456,Land & Water Resources Engrg,U3,LEC,120121,"Kalita, Prasanta K",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
29872,ABE,469,Industry-Linked Design Project,AE1,LCD,120121,"Zahos, Stephen C",1,21,14,7,1,0,0,0,0,0,0,0,0,0,3.77
29881,ABE,502,Graduate Research II,E,DIS,120121,"Eckhoff, Steven",0,5,9,4,3,1,0,0,0,0,0,0,0,0,3.55
51668,ABE,598,Automotive Bioenergy,ACH,DIS,120121,"Hansen, Alan C",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
58177,ABE,598,Farm Power & Machinery Mgt,AH1,LEC,120121,"Hansen, Alan C",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
58179,ABE,598,Robotics for Bioproduction Sys,KCT,LEC,120121,"Ting, Kuan C",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
45418,ACCY,200,Fundamentals of Accounting,A,LCD,120121,"Silhan, Peter A",1,8,5,4,6,4,3,4,6,5,4,2,1,0,2.52
56973,ACCY,200,Fundamentals of Accounting,B,LCD,120121,"Silhan, Peter A",2,23,12,10,5,10,8,3,4,5,0,1,0,0,3.1
30111,ACCY,200,Fundamentals of Accounting,TM,LCD,120121,"Finnegan, Thomas",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30113,ACCY,201,Accounting and Accountancy I,AD2,DIS,120121,"Grubb, Elizabeth A",2,6,9,13,7,4,3,0,2,0,0,0,0,0,3.27
30114,ACCY,201,Accounting and Accountancy I,AD3,DIS,120121,"Laud, Brittany E",2,4,11,8,3,7,3,3,1,0,1,0,0,0,3.12
30115,ACCY,201,Accounting and Accountancy I,AD4,DIS,120121,"Lim, Young K",4,5,14,11,2,6,0,1,1,0,1,0,0,0,3.35
30116,ACCY,201,Accounting and Accountancy I,AD5,DIS,120121,"Lim, Young K",3,6,11,10,5,6,1,1,1,0,0,0,0,0,3.33
30117,ACCY,201,Accounting and Accountancy I,AD6,DIS,120121,"Laud, Brittany E",0,1,13,14,4,4,2,2,2,0,3,0,0,0,3.02
45631,ACCY,201,Accounting and Accountancy I,AD7,DIS,120121,"Etter, Matthew J",3,2,9,9,7,4,3,3,2,0,1,0,1,0,3
30147,ACCY,202,Accounting and Accountancy II,AD1,DIS,120121,"Ruhmann, Kymberly C",2,15,4,3,4,1,1,3,1,0,0,0,1,0,3.35
30121,ACCY,202,Accounting and Accountancy II,ADA,DIS,120121,"Ruhmann, Kymberly C",4,13,3,10,6,3,1,1,0,0,2,0,0,0,3.36
30123,ACCY,202,Accounting and Accountancy II,ADC,DIS,120121,"Jackson, Luke R",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30140,ACCY,202,Accounting and Accountancy II,ADG,DIS,120121,"Flicher, Jordan A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30143,ACCY,202,Accounting and Accountancy II,ADH,DIS,120121,"Hsu, Rita S",2,11,6,9,8,2,0,0,0,0,0,0,0,1,3.51
30151,ACCY,202,Accounting and Accountancy II,ADJ,DIS,120121,"Jackson, Luke R",2,16,5,8,3,2,2,0,1,0,0,0,0,0,3.53
