CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade
41758,AAS,100,Intro Asian American Studies,AD1,DIS,120078,"Thangaraj, Stanley I",0,32,2,0,0,0,0,0,0,0,0,0,2,0,3.76
47100,AAS,100,Intro Asian American Studies,AD2,DIS,120078,"Chung, Jennifer Y",0,33,1,2,0,0,0,0,0,0,0,0,0,0,3.95
47102,AAS,100,Intro Asian American Studies,AD3,DIS,120078,"Chung, Jennifer Y",0,34,0,1,0,0,0,0,0,0,0,0,0,0,3.98
47170,AAS,120,Intro to Asian Am Pop Culture,A,LEC,120078,"Nguyen, Mimi T",4,6,16,18,15,9,2,3,1,1,2,2,2,1,3.02
42852,AAS,199,Undergraduate Open Seminar,FN,LCD,120078,"Ngo, Fiona",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
49910,AAS,199,Undergraduate Open Seminar,JR,LCD,120078,"Rana, Junaid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
49989,AAS,299,Begin Topics Asian Am Studies,LC,LCD,120078,"Cacho, Lisa M",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
49995,AAS,346,Asian American Youth,A,LCD,120078,"Kwon, Soo Ah",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
49827,AAS,590,Asian Am Studies Seminar,SAK,LCD,120078,"Kwon, Soo Ah",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31263,ABE,100,Intro to Agr Engineering,B,LEC,120078,"Bode, Loren E",0,25,0,0,3,0,0,1,0,0,0,0,0,1,3.83
31270,ABE,221,Agr & Bio Engineering I,AL1,LEC,120078,"Grift, Tony E",2,14,0,4,4,0,0,2,0,0,0,0,0,0,3.59
29651,ABE,361,Princ of Off-Road Machines,AL1,LEC,120078,"Tian, Lei",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
36669,ABE,430,Project Management,A,LCD,120078,"Zahos, Stephen C",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
40242,ABE,430,Project Management,B,LCD,120078,"Zahos, Stephen C",0,12,12,3,5,0,0,1,1,0,0,0,0,0,3.55
