CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade
32896,AAS,100,Intro Asian American Studies,A1,LCD,120085,"Manalansan, Martin F",6,20,0,1,1,0,0,0,0,0,0,0,0,0,3.94
30561,ACCY,201,Accounting and Accountancy I,A,LCD,120085,"Feller, Anita L",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30562,ACCY,202,Accounting and Accountancy II,A,LCD,120085,"Finnegan, Thomas",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30565,ACCY,301,Atg Measurement & Disclosure,AE1,LCD,120085,"Koh, Wei Chern",3,16,5,6,4,2,0,0,0,0,0,0,0,0,3.66
30034,ACCY,302,Decision Making for Atg,AE1,LCD,120085,"Turner, Cynthia W",2,6,3,13,10,0,0,1,0,0,0,0,0,0,3.38
30041,ACCY,303,Atg Institutions and Reg,AE1,LCD,120085,"Arikan, Ozlem",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30048,ACCY,303,Atg Institutions and Reg,AE2,LCD,120085,"Wang, Jundong",4,10,7,2,2,0,0,0,0,0,0,0,0,0,3.77
30061,ACCY,304,Accounting Control Systems,AE1,LCD,120085,"Wu, Yu-Ching",7,14,2,0,0,1,0,0,0,0,0,0,0,0,3.92
30066,ACCY,304,Accounting Control Systems,AE2,LCD,120085,"Leiby, Justin",2,3,8,4,4,2,1,1,0,0,0,0,0,0,3.37
30080,ACCY,312,Principles of Taxation,A,LCD,120085,"Holder, Daniel E",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30069,ACCY,405,Assurance and Attestation,AE1,LCD,120085,"Kang, Yoon Ju",5,10,5,8,2,5,0,0,0,0,0,0,0,0,3.55
34354,ACCY,500,"Atg Measuremnt, Rpting & Cntrl",EM,LCD,120085,"Brown, Clifton E",1,13,19,6,2,0,0,0,0,0,0,0,0,0,3.7
30083,ACCY,501,Accounting Analysis I,A,LCD,120085,"Ibrahim, Adel Nematallah",0,12,4,2,3,3,0,0,0,0,0,0,0,0,3.6
30086,ACCY,501,Accounting Analysis I,B,LCD,120085,"Ibrahim, Adel Nematallah",0,20,3,2,1,4,1,0,0,0,0,0,0,0,3.67
32857,ACCY,510,Financial Reporting Standards,A,LCD,120085,"Nekrasz, Frank",15,10,1,0,2,0,0,0,0,0,0,0,0,0,3.92
