attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,average,good,0,12236668,0,,good,5,MATH242,"He really knows his****. He looks like kip, but he's very clear.",09/17/2006,2,2.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,11863616,0,,good,5,MATH408,"He is a great teacher! He is very helpful when you need help or anything else. Grading is fair, and if you put in enough effort, you should easily be able to get at least a B. He does a great job preparing for the Actuary exam (spent maybe two weeks on problems). Tests are hard, but curved fairly. I hope I have him again for a professor!!!!!!!!!!!!",05/10/2006,3,3.0,,5,It's my life,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,11862459,0,,good,5,MATH408,"Great guy! Expalins things very well, prepared us well for tests, grades fairly, everything is online, gives MANY examples from Actuarial Tests, and is friendly. Provides all the notes you need in lecture, and summarizes everything very well. Hope I have him again sometime!",05/10/2006,3,3.0,,5,It's my life,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,11408133,0,,good,5,MATH242,"the coolest math prof.. explains clearly, loud voice, good english.. and the best thing is that he doesn't collect homework.. perfect..",01/23/2006,1,1.0,,5,Sorta interested,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,11134815,0,,good,4,MATH242,First name Adolph - wept openly,12/13/2005,3,3.0,,5,Low,4.5,4.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,10850629,0,,good,5,MATH242,"He's the only math professor I've had here who actually taught the material.  He's probably the best math professor on campus, he even brought cookies to one of the exam review sessions.",11/08/2005,2,2.0,,5,Sorta interested,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,10568476,0,,good,5,CALC,Probubly the coolest looking and sounding guy ever,10/09/2005,2,2.0,,5,It's my life,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,10547009,0,,good,5,MATH242,"This guy is awesome, hes seriously my idol",10/03/2005,1,1.0,,5,Sorta interested,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,10223420,0,,good,5,MATH408,"One of the best professors I've ever had.  Invaluable is his help in preparing students for the first actuarial exam.  Must have spent countless hours preparing old practice questions for us.  Class just superb.  Really nice guy too, pretty funny.",09/09/2005,2,2.0,,5,Sorta interested,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,3937332,0,,good,5,MATH242,"He's probably one of the best teachers at the University of Illinois. He teaches you exactly what you need in the notes, doesn't collect the homework, and has a funky accent. Take him over any other 242 teacher.",05/29/2005,2,2.0,,5,Sorta interested,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,3846712,0,,good,5,MATH242,"Wow.  Easiest class ever.  Everything you need to know is covered in lecture and he does enough examples that if you actually study, the test is a breeze.  Finished the final in 45 minutes and aced it. Get him for lecture and discussion if you can too.  He is always willing to help.",05/12/2005,1,1.0,,5,Sorta interested,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,3250024,0,,good,5,MATH242,"Superb notes, just superb. Very well organized. I had him in both my lecture and discussion class. Best cal. professor ever. Happy to teach students. Just do hw and study well and every1 should do fine. Most exams were quite okay...but final exam is harder than other exams.",01/19/2005,3,3.0,,5,Sorta interested,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,3236704,0,,good,5,MATH242,"Typical multivariable calculus class; not too hard, not to easy.  Do your work, should be fine.  Hildebrand is somewhat nerdy, but other than that a pretty standard professor.",01/18/2005,3,3.0,,3,It's my life,4,4.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,average,0,3185947,0,,good,4,MATH242,"Multivariable calculus.  I found his class to be far easier than calc 2 before.  The workload is really pretty light.  THe dude is very amusing to listen to (think the scientist from the simpsons), you should take the class just to have a true &quot;professorish&quot; guy as a teacher for once.",01/09/2005,2,2.0,,3,Sorta interested,3.5,3.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,2737562,0,,good,5,MATH242,"Really, really good teacher and really good notes. Tests are somewhat hard, but if you do all the homework (which is never turned in), then you can ace the tests.",11/15/2004,3,3.0,,5,Sorta interested,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,2109208,0,,good,4,MATH242,"I thought the class was pretty cool, I liked the material atleast, better than 130.  Just about got use to his accent too :)",05/07/2004,3,3.0,,4,N/A,4,4.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,2051977,0,,average,2,MATH242,No Comments,04/28/2004,2,2.0,,4,N/A,3,3.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,712263,0,,good,5,MATH242,No Comments,03/15/2003,2,2.0,,3,N/A,4,4.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,84502,0,,good,4,MATH242,No Comments,01/23/2002,2,2.0,,4,N/A,4,4.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
