attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Mandatory,average,average,average,3,26208600,0,,poor,2,ACCY517,The way he teaches makes you doubt if what he said is real. Would better be a good actor rather than a teacher.,03/31/2016,3,3.0,,2,N/A,2,2.0,1,No,N/A,1112,Yes,,A-,,people,people
Not Mandatory,good,good,good,0,26132028,1,,good,5,ACCY517,"The professor is amazing and always willing to help students. The course seems to be difficult at the beginning, but spend time and efforts on it, and try to understand the logic. If you understand the logic and the way of thinking, the homework and exams won't be that hard. You'll really learn something useful from this class. Worth it!!",03/10/2016,4,4.0,,5,It's my life,5,5.0,1,Yes,Yes,1112,Yes,,N/A,,person,people
Mandatory,average,good,good,1,25827466,0,,good,3,ACCY517,"ACCY 517 & Adel are the hardest class I have ever taken, including FIN 300.  I have learned so much from ACCY 517 and it is the most beneficial class I have ever taken in my collegiate career.  He pours his passion into the subject, he slows the class down when students don't understand, he holds tons of office hours to help.",12/26/2015,5,5.0,,5,Sorta interested,4,4.0,1,Yes,N/A,1112,Yes,,A,,people,person
N/A,good,good,good,0,25735097,0,,good,4,ACCY517,"He's a really good professor, I don't usually say that I enjoyed a class, but I enjoyed Adel's teaching style and his lectures.",12/16/2015,4,4.0,,4,Sorta interested,4,4.0,1,Yes,N/A,1112,Yes,,B,,people,people
Not Mandatory,average,good,average,0,24024176,0,,average,2,ACCY517,"The class is tough, not because of the professor but the actual material. The class requires a lot of time and effort. If you don't want to put in the time and effort this isn't the class for you. What you walk away from the class is knowing how to analyze the FS of a company. A skill I will carry on with me for the rest of my life. ",12/10/2014,4,4.0,,4,Really into it,3,3.0,1,Yes,N/A,1112,Yes,,Not sure yet,,people,people
N/A,average,good,average,0,23373422,0,,poor,2,ACCY507,This professor doesn't seem to control his anger. He yelled at his students and I was always uncomfortable in his class,06/15/2014,5,5.0,,2,Low,2,2.0,1,No,N/A,1112,N/A,,N/A,,people,people
Mandatory,poor,good,poor,0,23350766,0,,poor,1,ACCY517,Worst professor ever!! Cant explain anything but ends up putting very difficult exams.. Never take any of his classes.. Screams in class all the time! Talks nonsense half of the time,06/06/2014,5,5.0,,1,Sorta interested,1,1.0,1,No,N/A,1112,N/A,,B,,people,people
Not Mandatory,poor,good,poor,2,22894638,0,,poor,1,ACCY517,"He is the worst professor I've ever had. He can't explain things clearly, but always has high expectations towards students. I guess what he wants is just making the students fail at his tricky exam. He always spends half of the class time talking about nonsense. That's why he can't catch up the class schedule or finish the class on time.",03/07/2014,5,5.0,,1,Meh,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
Mandatory,poor,good,poor,1,22860141,0,,poor,1,ACCY517,"terrible course. he truly loves tricks but can never explain things clearly. always make simple things extremely hard to understand. also, he YELLED all the time. HURT TO EARS!",02/23/2014,5,5.0,,2,Meh,1.5,1.5,1,Yes,N/A,1112,N/A,,N/A,,people,person
N/A,good,average,good,0,19896902,0,,good,5,ACCY517,"unique style. really helpful, force students to think.",03/09/2012,3,3.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,17861119,0,,poor,1,ACCY517,"Worst teacher ever. Do not take any of his classes. Unorganized teacher, mean, can't teach any topic in accounting.",12/04/2010,4,4.0,,1,Meh,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,16561038,1,,good,5,ACCY501,One of the best professors in accounting department.,12/15/2009,4,4.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,person,people
N/A,good,good,good,0,16121807,2,,good,5,ACCY501,Amazing !!,08/14/2009,4,4.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,14728737,2,,good,5,ACCY501,His style of teaching is better than most instructor. He prepares wonderful questions for exams and force students to think about what they know.,08/09/2008,3,3.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,1,12103236,0,,poor,1,ACCY501,"Talked down to the class, was disorganized, workload was inappropriate and unclear.",07/25/2006,4,4.0,,1,Really into it,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,person
