attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Mandatory,good,average,good,0,26721159,0,,good,5,ACE161,"I looked forward to this class every week. It overviews Microsoft programs, so a majority of the class is quite easy. The final few weeks go into programs most students have never used, so pay attention! Lo turns ACE161 into a comedy skit, all while properly teaching material. He can help you outside of class and offers extra credit. NO FINAL!!!!!!",06/13/2016,2,2.0,,5,N/A,5,5.0,1,No,Yes,1112,Yes,,A+,,people,people
Mandatory,good,average,good,0,25459155,0,,good,5,ACE161,"He is an awesome teacher. Lets just say lectures aren't a burden. He is absolutely hilarious and his class is really fun. Expect about 2 hours of homework a week, not too bad. Definitely would take his class again. He's awesome. As long as you do the work, you'll do well. ",11/20/2015,2,2.0,,5,Sorta interested,5,5.0,1,No,Yes,1112,Yes,,A,,people,people
Mandatory,good,good,average,0,25292959,1,,average,5,ACE 161,"Lol is entertaing, but he doesn't actually teach much. Hw can get difficult. And tests too. They are all graded electronically so it is really strict. Others have talked about extra cedit, but I haven't seen any yet. ",10/26/2015,4,4.0,,1,It's my life,3,3.0,1,No,N/A,1112,Yes,,N/A,,person,people
Mandatory,good,average,good,0,25249865,0,,good,5,ACE161,Alex is very personable and  a good time! He has great energy and class was so much fun! My best class of U of I!,10/13/2015,2,2.0,,4,It's my life,4.5,4.5,1,No,N/A,1112,Yes,,B+,,people,people
Mandatory,good,poor,good,0,24337476,0,,good,5,ACE161,"Hilarious! take ACE 161 with him. He makes this class so fun and easy, and he takes his dog with him sometimes (you can also follow his Instagram.) do the projects and practice and you will be fine. attendance is required, some extra credit, windows computer and the latest office required. you will find the knowledge useful through your life",01/27/2015,1,1.0,,5,It's my life,5,5.0,1,No,N/A,1112,Yes,,A,,people,people
Not Mandatory,good,poor,good,1,23844882,0,,good,5,161,Good class. The material covered is very useful. Only downside is having to use a windows computer in order to complete assignments. ,11/18/2014,1,1.0,,5,Really into it,5,5.0,1,No,Yes,1112,Yes,,A+,,people,person
N/A,good,poor,good,0,23656798,0,,good,5,ACE161,"This guy is hilarious, curses like a sailor and has fun with his students. Very helpful material everything is graded online by a computer program. Only complaint is that you can't use a Mac - it must be on windows or else it won't be graded correctly.  Take this class for an easy A he will have you dying laughing the whole time with his stories. ",10/15/2014,1,1.0,,5,It's my life,5,5.0,1,No,N/A,1112,Yes,,N/A,,people,people
N/A,good,average,good,0,21351827,0,,good,5,ACE616,Most helpful class of college!  I wish my current students had to take such a comprehensive computer course to complete assignments with ppt and word.,02/19/2013,2,2.0,,5,Low,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,21283239,1,,good,5,ACE161,"Great teacher, really funny. He sends revision email before every exam and very helpful. You won't regret taking his class!",01/22/2013,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,person,people
N/A,good,average,good,0,21178285,0,,good,5,ACE161,"Great teacher. He kept everything clear, concise, and to the point. He also made it easy to go to class. He was hilarious, and he always kept things interesting. I highly recommend doing the extra credit.",12/28/2012,2,2.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,21132333,0,,good,5,ACE161,"Alex is very straightforward with the information you need to know. The class is very easy with only three exams, three projects, and no final. Also, the extra credit assignments each week are quick and the only homework besides projects. I didn't even have to go in for the third exam because of all of the extra credit. Take this class!",12/19/2012,1,1.0,,5,Sorta interested,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,19598975,0,,good,4,ACE161,Alex Lo is amazing! Do the extra credit. It's easy and helps you  a lot in the course. He is a very good professor and he is hilarious. I enjoyed going to his class every week.  He is always willing to help and the taxtbook may be expensive but it is mandatory if u plan in doing the extra credit.,12/21/2011,1,1.0,,4,Low,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,19109237,0,,good,4,ACE161,Do the extra credit. You would be stupid not to do it.,10/26/2011,1,1.0,,4,It's my life,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,17865937,0,,good,5,ACE161,"Whassup, great class! a real teacher the real deal, why cant other  profs be good teachers like he is&#63;  I had  fun and I actually learned something.  Alex is a genuine person, nothing like those dirty birkenstock wearing hippies the rest of them are, take his class you'll be glad you did.",12/05/2010,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,17653867,0,,good,5,ACE161,Favorite Class. Love him!,10/13/2010,3,3.0,,5,Really into it,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,17653866,0,,good,5,ACE161,WOOT WOOT,10/13/2010,1,1.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,17535078,0,,good,5,AG161,"This is the class to take player, you can actually learn something, Alex is da Man!  I laughed so hard I almost broke my desk!  Why isnt he  teaching  more classes&#63;",08/21/2010,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,17355603,0,,good,5,ACE161,"Alex is fantastic. He's hilarious, sarcastic, and will always keep you awake and entertained in class. Sometimes the tangents are the best part of class. In this case, a 2-hour class will pass by quickly.",06/21/2010,1,1.0,,5,Sorta interested,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,17142100,0,,good,5,ACE161,The funniest guy I have ever met. I actually looked forward to class. I was laughing constantly in his class. Take ACE 161 with him not Rogalla. Easy A just do the extra credit!,05/06/2010,1,1.0,,5,Low,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,16358156,0,,good,5,ACE161,"My name is Franklin and I had Alex last year, he is the most awesome teacher ever!  If only he taught more subjects my life would be perfect, he's smart and funny.   It was the highlight of my day to go to his class.  Other professors could learn something from him about how to teach",11/12/2009,2,2.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
