attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,poor,good,average,0,24779692,0,,poor,1,MATH285,"You should probably switch out of his class if you're in Math 285. You will be far better off with any other professor, even if you have to sign up for an 8 AM.",05/08/2015,4,4.0,,3,Meh,2,2.0,1,Yes,N/A,1112,Yes,,B+,,people,people
N/A,poor,good,poor,0,24646001,0,,poor,1,285,"Does not really speak English and has a great difficulty helping students understand the materials. If you have chances to switch another section, go for it.",04/22/2015,4,4.0,,1,Meh,1,1.0,1,No,Yes,1112,Yes,,N/A,,people,people
Not Mandatory,average,good,average,0,24626187,0,,poor,2,MATH285,"Doesn't teach out of the textbook assigned, not to mention the textbook is horrible at showing steps and giving clear explanations for problems.  Usually gives quiz and  test questions that require a ""deeper understanding"" of the concepts of the chapter which aren't entirely covered in the homework.  However, he is an easy grader of homework.",04/20/2015,4,4.0,,2,Sorta interested,2,2.0,1,Yes,N/A,1112,Yes,,Not sure yet,,people,people
N/A,average,average,average,0,21087092,0,,poor,2,MATH225,"Tumanov quite simply cannot lecture. About halfway through the semester, I attended class but stopped paying attention. His accent makes him hard to understand not that without it, he'd be able to lecture well anyway. If you do the homework and study you will do well, but with a different prof, that level of work would be a letter grade higher.",12/16/2012,3,3.0,,2,Sorta interested,2,2.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,average,average,0,18892942,0,,poor,1,MATH241,"You don't learn much from Tumanov as his explanations aren't great and he has a hard to understand accent. In addition to this, the book isn't exactly all that clear either. If you do end up taking this class, prepare to learn how to solve a specific problem for an exam rather than properly understanding the concepts. Generous curve though.",08/08/2011,3,3.0,,3,It's my life,2,2.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,18666647,0,,poor,1,MATH241,A professor of absolutely appalling quality. I learnt nothing from the course. He was incomprehensible with a heavy accent. Attendance was horrible-no one showed up. TA's were not helpful. No extra credit despite numerous requests.. and exams of unpredictable difficulty. Overall Fail.,05/26/2011,4,4.0,,1,Meh,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,18666620,0,,average,3,MATH241,"nice man, available for help. homework and quizzes every week. exams weren't too bad, and the grade curve was generous",05/26/2011,3,3.0,,3,Low,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,18666615,0,,average,3,MATH241,"Nice person, available for help. homework and quizzes every week. exams weren't too bad and the grade curve was generous",05/26/2011,3,3.0,,3,Low,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,average,poor,0,18383705,0,,poor,1,MATH241,"one of the worst teacher one can have. Doesn't really speak English, and doesn't know how to teach either. No one ever goes to his lecture, you have to teach yourself. Exams are not that bad, have to do the previous exams",04/10/2011,3,3.0,,1,Meh,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,17967589,0,,average,3,MATH241H,"He did poor job explaining the theory and he jumped a lot. However, his grading is pretty fair, and he almost tells us every problem on the test, so grade is not a problem. If you review the stuff after each class and make sure you get everything on the homework, then A is in your pocket.My little tip is: find an excellent study buddy!That helps me",12/16/2010,5,5.0,,3,Really into it,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
