attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,average,good,4,23757911,0,,good,5,MATH408,"I love having Stepanov as my professor. He's really clear and provide examples in classes. Homework load for MATH408 is quite a lot, but it is very helpful for exams. He's funny as well. He said that he's a mean person, but that's not true. He's one of the nicest professor I've known!",11/06/2014,2,2.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,Yes,,N/A,,people,people
Not Mandatory,average,average,average,2,23686775,1,,good,3,MATH408,A friendly but grumpy guy. Tests are fair game.,10/23/2014,3,3.0,,4,Sorta interested,3.5,3.5,1,No,N/A,1112,N/A,,N/A,,person,people
N/A,good,average,good,3,23569999,2,,good,5,MATH408,He is the BEST professor I have ever met in this university. He is sooo funny and always joke. I love taking his class and really miss it especially when I take another statistics class this semester with another professor.,09/01/2014,3,3.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,23561508,0,,good,4,MATH408,He is the best professor I have ever met. His jokes in class keeps it interesting and fun. He tries very hard to encourage participation which was a big challenge. Overall if you are taking any stats class make sure you take his class!,08/27/2014,3,3.0,,5,Really into it,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
Not Mandatory,good,poor,good,0,23520513,0,,good,5,STAT410,"He is one of the best professors in Department of Statistics. His lecture is very helpful for Actuarial exam P and C. If you have an opportunity to take his class, take it, you will learn a lot!!",08/11/2014,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,A+,,people,people
N/A,good,poor,good,2,23514932,0,,good,5,STAT400,Best professor! He claims that he's a horrible person (H0: Alex = horrible person) but I'm sure that claim will fall into rejection region. You'll understand what I'm saying once you take the class.,08/09/2014,1,1.0,,4,It's my life,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,1,23495380,1,,good,5,MATH408,"He was fantastic! I went to his class everyday and actually participated. B/c of that he was always willing to help me, so actually interact with him. He is funny and knows his stuff. The HW can be hard, but work with other people. I was glad to have him as a professor.",08/03/2014,2,2.0,,5,Really into it,5,5.0,1,No,N/A,1112,N/A,,N/A,,person,person
Mandatory,good,poor,good,2,23410072,0,,good,5,MATH408,"Homework is very difficult but once you get over it, exam is just a piece of cake.You'll be very grateful for having Alex as your instructor especially when you are sitting for exam P. Alex is a very good dry joke teller and definitely has some flexible bones. However, please be careful, sometimes he can be quite dangerous.",06/29/2014,1,1.0,,3,It's my life,4,4.0,1,No,N/A,1112,N/A,,A+,,people,people
Not Mandatory,good,average,good,2,23249203,0,,good,5,STAT400,"Fantastic professor. Exams are taken right from in-class examples, and are easy as long as you make good use of your note sheets (put example problems on them and you're golden). Stepanov made STAT 400 easier than STAT 200. Take his class whenever possible.",05/14/2014,2,2.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,23204341,0,,good,5,STAT400,"He is a great instructor and nice person. In addition, his class is easy A.",05/08/2014,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,22791661,0,,good,5,STAT420,"Greatest professor ever, his lecture slides are all available on the compass with solutions. Homework are nearly the same as the questions on the slides, so do the exams. Go to lectures and go over the slides. A in hand.",01/25/2014,2,2.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
Not Mandatory,good,average,good,0,22712150,0,,good,5,STAT420,"Take his class if there is one. Class contents and homework are difficult, but exams are very easy as long as you have  comprehensive formula sheets~",01/07/2014,3,3.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,A,,people,people
N/A,good,average,good,0,22626408,0,,good,5,STAT420,"Very clear, very passionate, and very funny (well if you're into dry, cheesy humor). Favorite stats prof here. Notes help out a ton with HW and exams. Exams are very similar to HW. No surprises. Encourages participation, which is good. Fair and Reasonable as a whole. Wish he taught more classes.",12/20/2013,3,3.0,,5,Really into it,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,22007154,0,,good,5,STAT400,"His personality makes the class interesting. He's kind of mean, but you get over it after a few weeks. Otherwise, his lectures are example filled, which I liked very much. Homework is very difficult but very similar to exams. With that being said exams have no surprises so they are pretty easy. Fair grader, would definitely recommend.",07/29/2013,2,2.0,,4,Really into it,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,2,21968296,0,,average,2,STAT410,"I must say he has a great passion for teaching and he does enjoy it. However, I strongly dislike his teaching methodology. He does not care whether students are able to understand and follow what he teaches. And the worst part he spends 80% of class time in solving examples (sheer mathematical calculation) and focuses least on explaining concepts.",07/14/2013,4,4.0,,4,Sorta interested,3,3.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,21939619,0,,good,5,MATH408,One of the best math professors I've had. Class is interesting because of his jokes. :),07/02/2013,2,2.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,1,21893042,0,,good,5,MATH408,He is the best lecturer I've ever had!,06/14/2013,2,2.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,person
N/A,good,average,good,0,21785024,0,,good,5,STAT400,"Very well organized course. He is very up to date with posting content on compass despite what he says. He is a good guy and he truly wants his students to succeed. Would recommend. He also looked at this site one day while in class and showed the students his reviews. ""Let me erase all of this before you copy it down...""",05/17/2013,3,3.0,,4,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
