attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,average,good,0,21414052,0,,good,5,BADM453,Responsive to questions; and changes pace when students don't understand. This is a tough but useful course.,03/15/2013,3,3.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,21407488,0,,good,5,BADM453,"Good professor and useful content, though it's a difficult course. He's very responsive to email and questions; and provides very helpful tutorial videos.",03/13/2013,5,5.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,21376712,0,,poor,1,BADM453,"I am amazed. This is a class with very little direction and content, and the professor rambles on without stopping to ask what is being understood by the class. A really smoked out class. ugh!",03/01/2013,5,5.0,,1,Low,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,21223009,0,,good,5,BADM453,Professor Tafti is an excellent instructor. His course was very engaging and I have been applying his teachings for 2 years as a Technology Consultant. I highly recommend working with Professor Tafti.,01/07/2013,3,3.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,20363644,0,,good,4,BA453,"Second class with Tafti. Extremely knowledgeable, really cares about student. Class material is definitely not easy, and the cases do take quite a chunk of time to complete. Tafti wants you to succeed and as long as you put in the work and go to him if you need help, you should have no problem getting the grade you want in the class",05/30/2012,3,3.0,,4,Really into it,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,20363645,0,,good,4,BA453,"Second class with Tafti. Extremely knowledgeable, really cares about student. Class material is definitely not easy, and the cases do take quite a chunk of time to complete. Tafti wants you to succeed and as long as you put in the work and go to him if you need help, you should have no problem getting the grade you want in the class",05/30/2012,3,3.0,,4,Really into it,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,19373192,0,,good,5,BADM353,goes above and beyond the call of duty-- cares about students learning and especially helpful in office hours.,12/03/2011,2,2.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,19171714,0,,good,5,BADM453,very good teacher.,11/06/2011,2,2.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,19054381,0,,good,5,BADM353,This class is very useful and the workload is reasonable. I highly recommend this if pursuing a career related to IT.,10/08/2011,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,19032046,0,,good,4,BA453,Very good class overall.,09/29/2011,2,2.0,,5,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
