attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,average,good,average,0,3808313,0,,average,2,ECON302,"He makes things seem a lot harder than they are, which just confuses people.  It's hard to study for his tests because there's always a load of information you need to know.  Webboard helps with homework, but the tests have proven to be difficult all year.",05/07/2005,5,5.0,,3,Sorta interested,2.5,2.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,3496096,0,,poor,1,ECON203,No Comments,03/23/2005,5,5.0,,1,Sorta interested,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,3243677,0,,average,2,ECON203,"A mediocre teacher at best.  He tries hard, but is very difficult to understand with his accent.  He presents the material which really isnt that difficult in a very unclear manner, which makes the class hard.  Generous curve at the end though.  Very boring, but hey, its stats.",01/19/2005,3,3.0,,4,Meh,3,3.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,2753253,0,,good,3,ECON203,"He's a good teacher overall. He is fair. He has an accent so you have to get used to it. The way his class is run is efficient. For me, this hw is pretty easy. Tests you have to do well on because there are so few questions. He gives extra credit and curve tests. Always good.",11/16/2004,2,2.0,,4,Really into it,3.5,3.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,2726027,0,,good,4,ECON203,Nice guy. He really tries to help and his webboard makes the homework much easier.,11/13/2004,2,2.0,,4,Really into it,4,4.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,2708625,0,,poor,1,ECON173,worst teacher ever,11/11/2004,5,5.0,,1,Low,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,2578781,0,,poor,1,ECON203,Doesnt teach any material. He sucks.,10/22/2004,5,5.0,,1,Really into it,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,poor,0,2508187,0,,poor,2,ECON173,No Comments,09/30/2004,4,4.0,,1,Sorta interested,1.5,1.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,average,poor,0,2503273,0,,poor,1,ECON203,No Comments,09/29/2004,3,3.0,,1,Meh,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,2325897,0,,good,5,ECON172173,"I had him for 172 and 173, he's really a nice guy, and grades extremely fairly.  Also funny, as he says &quot;tanks&quot; instead of &quot;thanks&quot;",07/19/2004,2,2.0,,5,N/A,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,poor,good,0,1984593,0,,good,3,ECON172,"what a good teacher, sometimes goes too slow, but makes sure that everyone is on track with the material. I highly recommend him.",04/18/2004,1,1.0,,5,N/A,4,4.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,1981408,0,,good,3,ECON173,"A very nice person and tries to help as much as possible, but being an Economics person, he is a bit hard to understand and the course itself is also a load of cr*p with any professor because the two online quizzes you take every week take 4 hours each",04/18/2004,4,4.0,,4,N/A,3.5,3.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
