attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,average,good,poor,0,17959410,0,,poor,2,ENGL116,"Professor Deck was always late to class, she doesn't return papers very timely and is a tough grader. The classwork seemed extremely easy but she made me feel as if I had no skill in writing whatsoever. She's very nice but I would advise anyone to avoid her classes.",12/16/2010,4,4.0,,1,Meh,1.5,1.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,17373687,0,,poor,1,ENGL280,"Worst professor I have ever had. Consistently late to class, takes over a month to return papers/midterm, could not master basic email. Worst of all, class discussion was terrible. Far below college-level lit and occasionally ****/anti-woman. So disappointing. I strongly advise against taking a class with her.",06/28/2010,4,4.0,,1,Really into it,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,15784647,0,,poor,1,AFRO272,"The Teacher is horrible!! I have never been so dissatisfied in a course. Teacher is not organized at all. It's so true that she takes too long to return papers back. She grades hard and makes you feel as if you're not a good writer. But, how can you be if she doesn't help you improve&#63; If you're planning to take this class, DON'T!!",05/07/2009,5,5.0,,1,Meh,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,poor,0,15735841,0,,poor,2,ENG272,"where to start... very nice lady, but very spacey. frequently late and unprepared. never very clear about assignments. takes a loooong time to get grades back, and grades are random. &quot;corrections&quot; are normally synonyms. a typical class consists of watching a 3 hour movie and then her asking &quot;so would anyone like to make any comments about that&#63;&quot;",04/30/2009,4,4.0,,1,Really into it,1.5,1.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,13424403,0,,average,3,ENG280,Professor Deck is in my opinion not a very good professor. She does not return papers back in a timely fashion. She is never prepared for class and she does not return e-mails. The material we read in the class is interesting but her tendency to never be prepared for class makes discussions dull. She is an extremly hard grader and can be unfair.,08/21/2007,2,2.0,,3,Sorta interested,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,average,0,13274465,0,,average,4,ENG455,"Seriously, does not hand back papers. I didn't think that would be a big deal until I got my first of three papers back two days before the last paper was due. If I'm failing I have no idea. She merely summarized books and passages making classes long and boring. She prayed for students to participate because she was never prepared enough for class",06/18/2007,2,2.0,,1,Meh,2.5,2.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,12780991,0,,poor,1,ENGL455,takes weeks to hand back papers and lies that she will have it done. i loved toni morrison and her junior high level plot analysis ruined the books. NEVER is at office hours when she says she will be and doesn't respond to emails. She waited in the room when we filled out ISIS/evaluation forms and read them as we handed them in (that's just shady!),01/16/2007,4,4.0,,1,It's my life,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,poor,poor,0,12159925,0,,poor,1,ENGL455,"BEWARE!!!! This teacher shows a complete disregard for students. VERY VERY Dumb! Constantly forgets to turn back papers, and makes MAJOR MAJOR MAJOR errors while grading!!! She is a very nice woman, but don't let that fool you. underneath, she really doesn't care - otherwise there would be no complaints by other students, or grading errors!!!!!!!!!",08/14/2006,1,1.0,,1,Meh,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,average,0,12021540,0,,average,4,ENGLISH270,"Extremely bad teacher. She talked about how &quot;white women steal black women's men&quot; and how she doesn't like to see a white woman with a black man. I have never been so uncomfortable. The class isn't too hard; I got an A, but I was so uncomfortable by Deck's reverse racism that I would NOT reccomend taking this class, especially if you're white!",06/21/2006,4,4.0,,2,Sorta interested,3,3.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,11315877,0,,poor,1,ENGL455,"Worst class I have ever taken, it took her 5 weeks to hand back essays, when 1 week was thanksgiving break! basic surface level plot summaries in class but requires deep thought in papers and homework, how can students be expected to make deep analysis if teh teacher in class cant do that&#63; stood me up for office hours 3 different times glorified hi",01/06/2006,5,5.0,,1,It's my life,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,11059286,0,,average,3,ENGL280,"took FOREVER to hand back papers, complained about grading (hey, it's your job&#63;&#63;), only summarized plot during classes, is not helpful with paper writing - offers synonyms like the other person said, and not much else. it should not take an entire month to write 2 sentences of commentary on a 5 pg paper...",12/05/2005,4,4.0,,3,Really into it,3,3.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,poor,0,11019808,0,,poor,2,ENGLGWS280,"Terrible teacher. Took forever to hand back assignments, Doesn't respond to e-mails, Discusses nothing but plot summary in class, very basic classes, Unhelpful comments, Provides synonyms for words in student papers, Hard grader for what should be easy assignments (nit-picky).",11/30/2005,4,4.0,,1,Sorta interested,1.5,1.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
