attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,poor,good,poor,0,22117539,0,,poor,1,MATH012,"She is not helpful at all and is very rude! She talks way too fast and often skips entire steps to problems. Her quizzes are very unfair. They often do not cover the material presented in class. Avoid this class at all costs! She is the worst math teacher I have ever had. She pretty much sets you up for failure, in a class that should be easy!",09/11/2013,5,5.0,,1,Really into it,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,21095857,0,,poor,1,MATH124,"In this class you basically teach yourself,it's pointless. I'm not good at math, and having to teach myself was not going to work out. The way this class is structured is horrible, I would highly recommend avoiding this class by all means. If you need this class,especially as a requirement, wait until it is taught differently, and by someone else.",12/17/2012,5,5.0,,1,Meh,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,20801292,0,,poor,2,MATH124,Ahlgren is not a good teacher. She does not teach the class anything and the work is so unclear and confusing. She walks around while the student has to teach themselves the class material. We are basically paying to teach ourselves.,11/08/2012,5,5.0,,2,Sorta interested,2,2.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,20441525,0,,good,5,MATH124,She is both a talented explainer and a helpful teacher. I enjoyed this class and I enjoyed having her as my teacher. She is a good person.,06/25/2012,2,2.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,19079210,0,,poor,2,MATH012,"not the best math teacher, this class is passable though. She isn't as clear in explaining things but use campus resources and you'll be fine.",10/17/2011,3,3.0,,2,Meh,2,2.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,poor,0,18073153,0,,poor,2,MATH103,"I don't think I have ever felt so stupid in class. This class could be great, but the professor kills it! The worst professor.  Can't teach and has very little faith in her students.  She actually told a student, &quot;Do you really expect to get an A in my class&#63;&quot;",01/02/2011,4,4.0,,1,Low,1.5,1.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,average,poor,0,18070615,0,,poor,1,MATH103,"if you're good at math, you'll get an A; however, ahlgren is the worst teacher i've ever had. she's not fair (quiz material isnt taught in class), she makes A LOT of mistakes during lectures (her math is WRONG) and i feel like i could have taught the class better. avoid her if you can! also.. i never opened the book, so i wouldnt buy it if i were u",01/01/2011,2,2.0,,1,Really into it,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,18034624,0,,good,5,MATH103,"Alison is an okay math teacher. Contrary to what you might read, the class is relatively easy. There are weekly quizzes but they are really easy and there are only three homework assignments before each of the three exams. Other than the fact that she talks too fast, is very short and has an annoying voice she is a really good teacher.",12/23/2010,1,1.0,,4,Really into it,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,17043478,0,,poor,1,MATH012,"Allison Ahlgren is the worst teacher I've had since the 6th grade.  She rarely, if ever, takes questions in class, she never responds to e-mails requesting help, and she refuses to review information covered in a previous class.  Also, on exams, she always adds the material covered in the last class, even if it pertains to a completely new subject.",04/22/2010,4,4.0,,1,Low,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,16457982,0,,poor,1,MATH012,This teacher is not helpful. She never answers emails and she goes threw 10 lessons in 1 class period and expects you to know everything by the next class to take a quiz. She's a speed talker and I don't recommend anyone to take her section.,12/02/2009,5,5.0,,1,Meh,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
