attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,average,good,1,20552275,0,,good,4,CHEM442,She pretty much repeats things directly from the book and has a difficult time making the material interesting but she did do a good job explaining everything and was willing to provide all the help you could need if you had questions. Do all the homework and come to class and you should be fine for the tests,08/07/2012,2,2.0,,4,Low,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,person
N/A,average,average,poor,0,18376852,0,,poor,2,CHEM102,"Unbelievably unhelpful in her teaching style. She made the class about sixteen times more boring than it needed to be. She also didnt write her own tests, so all of the quiz work didnt really prepare you for what you would face on the tests. A bad experience was had by all.",04/08/2011,3,3.0,,1,Meh,1.5,1.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,18295063,0,,good,3,CHEM102,"I studied for 46 hours for the final for her 102 class. I attended every office hour for my TA and for her. I got a D- on her final. I am a chemistry major and this majorly screwed up my grade. she did not teach at all. so boring in lecture, and the notes i wrote from her lecture slides were useless in studying.",03/21/2011,4,4.0,,4,Meh,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,18149568,0,,poor,2,CHEM102,"iClicker points are the only reason to go to class at all as all of the lectures are online and she just reads them anyway. Tests are super hard, and quizzes are easy.",01/17/2011,5,5.0,,2,Sorta interested,2,2.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,18079995,0,,average,3,CHEM102,Boring class. You are required to attend lectures as there are points counted towards your final grade. Pick good TA.,01/04/2011,3,3.0,,2,Sorta interested,2.5,2.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,18069273,0,,poor,1,CHEM102,"Honestly, she is a terrible professor. She reads off the slides. And her test are hard. She does not prepare you for them. And all her experiments fail. You better hope you have a good TA. I recommend Tanush for TA!",12/31/2010,5,5.0,,1,Meh,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,17975361,0,,good,4,CHEM102,"She reads the lecture slides word for word. She lectures as if she is talking to 12 year olds. Her tests are insanely hard. Test questions are often about one single insignificant topic mentioned once. Her tests are much, much harder than her lectuers make them out to be",12/17/2010,4,4.0,,4,Sorta interested,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,17956645,0,,poor,2,CHEM102,Can't teach. The lecture slides are useful but she reads directly off of them so her lectures are pretty pointless.,12/15/2010,5,5.0,,2,Sorta interested,2,2.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,17915362,0,,poor,2,CHEM102,She sucks.,12/11/2010,4,4.0,,2,Really into it,2,2.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,17856324,0,,average,3,CHEM102,"Nicely is very nice and she is good at answering specific questions, however she does not yet know how to lecture and I never learned anything or used any notes from lecture. Hopefully you have a good TA because if you don't (like me) your basically learning everything by yourself. And for god sakes by the past exams book.",12/03/2010,5,5.0,,3,Meh,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,average,0,17808612,0,,good,4,CHEM102,"She seems really nice, but it is notable that she is inexperienced. At the beginning of the semester, it was word for word off the lecture slides. Examples done in class definitely do not prepare you for the exams, but she is helpful in office hours. Discussion sections and T.A.s for this class are key to success.",11/23/2010,4,4.0,,3,Sorta interested,3.5,3.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,poor,average,0,17775030,0,,average,2,CHEM102,"She can't teach, but the course is easy and she's very helpful if you ask direct questions.",11/16/2010,1,1.0,,3,Really into it,2.5,2.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,17772788,0,,average,3,CHEM102,"Compared to all of my other professors and teachers, she is probably one of the worst. She does not go into detail with explanations, and basically reads the slides. In addition to that she is incredibly monotone and boring to listen to, and the tests are way tougher than what she prepares you for. Luckily I took AP Chem, and the tests are curved.",11/15/2010,4,4.0,,2,It's my life,2.5,2.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,average,0,17631083,0,,good,4,CHEM102,"I think she's new this year(Fall 2010). She tries and seems to care, but her exams are insanely hard and she's really boring to listen to. Also, like every class I've taken so far, the weekly quizes have nothing to do with what's on the test. However, I tend to learn a lot more from my T.A. than from Professor Nicely.",10/04/2010,4,4.0,,3,Low,3.5,3.5,1,No,N/A,1112,N/A,,N/A,,people,people
