attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Not Mandatory,good,average,good,0,26206862,0,,good,5,ENGL209,Professor Stevens is the by far one of UIUC's finest. She is incredibly nice and her knowledge of the material is evident. Her power points are detailed and she emails them to you every week along with the subject of the quiz on Friday. She is very clear on what the content of the the midterm/quizzes are.,03/30/2016,3,3.0,,5,N/A,5,5.0,1,Yes,N/A,1112,Yes,,N/A,,people,people
Mandatory,good,average,good,0,26185616,0,,good,4,ENGL404,"Andrea definitely knows her stuff and is very sweet. Sometimes she talks super fast cause she's so into it, which can make student discussion a little bit harder. She's very open to new ideas students have, especially with regards to paper topics, which was cool.",03/26/2016,2,2.0,,4,N/A,4,4.0,1,No,N/A,1112,Yes,,A,,people,people
N/A,good,average,good,0,23120991,0,,good,5,ENGL199,Professor Stevens is my favorite professor that I have had at UIUC. She is funny and personable and loves the material she is teaching. Her enthusiasm makes the class really enjoyable.,04/29/2014,2,2.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
Mandatory,good,average,good,0,23045249,0,,good,5,ENG465,"SO WONDERFUL! Always so enthused and excited, gave great feedback to your questions and always got back to you! Respected you and loved bouncing back ideas without making you feel inferior to her incredible knowledge. TAKE THIS CLASS!",04/15/2014,2,2.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,A,,people,people
N/A,good,poor,good,0,22312352,0,,good,5,ENG300,"Andrea is by far the best teacher I have had at UIUC. She is funny, easy-going, understanding, and really nice! If you have options, choose her!",11/13/2013,1,1.0,,5,Really into it,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,21363525,0,,good,5,ENGL428,"She was incredibly animated and passionate about the topic, always had something to say and was very conducive for class discussion. She tried to get everyone involved, and usually succeeded. I gotta say, this was a great class.",02/25/2013,1,1.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,20567988,0,,good,5,ENGL418,Very easygoing and personable.  Jokes around with class and creates a very friendly atmosphere.,08/12/2012,2,2.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,16623557,0,,good,5,ENGL449,Great teacher and the prettiest thing to come outta since Celine Dion.,12/22/2009,2,2.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,15144794,0,,good,5,ENGL418,"Every English major has to take Shakespeare, so take it with Stevens.  The class was awesome.",12/09/2008,1,1.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,15126493,0,,good,5,ENGL418,No Comments,12/07/2008,2,2.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
