attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,average,good,poor,0,25937776,0,online,poor,2,MACS356,"Very tough grader, unfair as well, not helpful at all.",01/13/2016,5,5.0,,1,Low,1.5,1.5,1,Yes,N/A,1112,Yes,,Not sure yet,,people,people
Mandatory,poor,good,poor,0,25642376,0,,poor,1,MACS320,Make sure you go to office hours because the lectures are confusing. Also make sure you do the readings. They are long but it helps to know information,12/11/2015,4,4.0,,2,Really into it,1.5,1.5,1,No,N/A,1112,Yes,,B,,people,people
Mandatory,poor,average,poor,0,25337081,0,,poor,1,MACS100,"The absolute worst teacher educator I've ever had since Kindergarten. After graduating, I will look back on the years I was a student and remember that the worst teacher I ever had was Prof. Valdivia.   Would not recommend. Can't believe she's actually a teacher. ",11/03/2015,3,3.0,,1,Meh,1,1.0,1,No,N/A,1112,Yes,,A,,people,people
Not Mandatory,poor,good,poor,0,25207281,0,,poor,1,MACS100,"Worst professor ever, she was unclear about the content, and does not have a comprehensive rubric when grading.",09/24/2015,5,5.0,,1,Meh,1,1.0,1,Yes,N/A,1112,Yes,,A,,people,people
N/A,poor,good,poor,0,24778835,0,,poor,1,MACS100,She can be very condescending and disrespectful. Reading the textbooks is definitely a must in order to do the homework assignments and pass the tests.  ,05/08/2015,4,4.0,,2,Low,1.5,1.5,1,Yes,N/A,1112,Yes,,N/A,,people,people
Not Mandatory,poor,good,poor,0,24712547,0,,poor,1,MACS100,Worst professor in my 4 years here. She was unclear and incredibly unfair. She tries to make a 100 level course much harder than it needs to be. You HAVE to purchase the books. You can't miss lecture. Annoying group project.  TA's walk up & down stairs to stop you from texting. Iclickers & assignments make no sense. Have to agree with her OPINIONS,04/30/2015,5,5.0,,1,Meh,1,1.0,1,Yes,N/A,1112,Yes,,Not sure yet,,people,people
N/A,poor,good,poor,3,24642383,0,,poor,1,MACS100,She is the worst educator I have ever had.  MACS100 was supposed to be an easy class and she made it awful.  I clickers are required in every lecture and you only get points if you can answer her terribly worded and confusing questions.  No phones or laptops during her pointless lectures.  Homeworks due within 24 hours. the movies shown are awful.,04/21/2015,4,4.0,,1,Meh,1,1.0,1,Yes,N/A,1112,Yes,,N/A,,people,people
N/A,poor,good,poor,0,24557078,1,,poor,1,MACS100,This has been one of the worst professors ive had at U of I (if you can actually call her a professor). Her grading and the overall class is unclear. Also she doesn't let you use phones or any technology in class so overall this class was terrible. ,04/07/2015,5,5.0,,1,Meh,1,1.0,1,Yes,N/A,1112,Yes,,N/A,,person,people
N/A,poor,good,poor,1,24529328,1,,poor,1,MACS100,Don't take this class with this professor. Gives quizzesassignments that are due at midnight on the same day. Unclear questions which force certain opinions on the students. This class also forces you to buy two books. Without the books you will be chased out of the lecture theatre during the book quizzes.,04/01/2015,5,5.0,,1,Meh,1,1.0,1,Yes,N/A,1112,Yes,,N/A,,person,person
N/A,poor,good,poor,2,24529112,0,,poor,1,MACS100,Professor whose thought process seems to reflect the way this class is run -- completely disorganized. Material is often contradictory and matters (both administrative and academic) are not dealt with fairly.,04/01/2015,5,5.0,,1,Meh,1,1.0,1,No,N/A,1112,Yes,,N/A,,people,people
Mandatory,poor,average,poor,0,24527510,1,,poor,1,MACS100,Hands down worst teacher I've had on this campus. Would not recommend her to anyone,03/31/2015,3,3.0,,1,Meh,1,1.0,1,Yes,N/A,1112,Yes,,A,,person,people
N/A,poor,average,poor,2,24467093,0,,poor,1,MACS100,The worst teacher I have ever had. Incapable of writing coherent questions or forming coherent ideas. She once provided her own definitions of vertical and horizontal integration that was academically wrong. Do not take a class with this professor if you would like to learn anything except how to recognize ineptitude.,03/16/2015,3,3.0,,1,Meh,1,1.0,1,Yes,N/A,1112,Yes,,N/A,,people,people
Mandatory,poor,good,poor,1,22646049,1,,poor,1,MACS101,"Horrible Teacher with Terrible policies. Book, written by teacher herself, had many mistakes in it. Syllabus was loosely followed and not very transparent.",12/23/2013,5,5.0,,1,Sorta interested,1,1.0,1,No,N/A,1112,N/A,,N/A,,person,person
N/A,poor,good,poor,0,22268839,0,,poor,1,MACS320,Absolutely the worst prof in U of I...The only prof I know who requires a certain percentage of fail in the class.People either drop or failed for this class.Don't take it!Confusing and doesn't learn anything from here.She's trying to be funny but in fact she's pretty lame.,11/06/2013,5,5.0,,1,Meh,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
Mandatory,good,average,good,1,22158918,1,,good,4,MS320,I thought that she was very helpful outside of class but sometimes a bit confusing during the class. If you pay attention and do the readings you should be fine.,10/05/2013,3,3.0,,5,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,B+,,person,person
N/A,average,average,average,0,19137821,0,,poor,2,MS320,"The class consists of her spouting out vague, abstract concepts, while you sit there wondering why you are there (You are there because of pop quizzes). Every once in a while it will be enjoyable, but overall, it's a confusing, boring class.",11/01/2011,3,3.0,,2,Low,2,2.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,poor,average,poor,1,16251141,0,,poor,1,MS320,"Professor Valdivia is honestly the worst professor I have ever had at UIUC. She has no regards for anyone but her self. Her midterm was poorly written. She has no respect for her TAs, either. I did not learn anything in this course! She does not have the qualifications to be teaching at our fine institute.",10/19/2009,3,3.0,,1,Really into it,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,people,person
N/A,poor,good,poor,0,15405350,0,,poor,1,COMM320,"One of the worst teachers on campus. Doesn't care about her students at all, no sense of humor or ability to relate to students. cold-hearted!",01/22/2009,5,5.0,,1,Sorta interested,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,15366195,0,,poor,2,MS320,"She walks around lecture and calls you out if youre not paying attention, but real easy to get an A. Use your TA's, they really help. Valdivia is pretty crazy though. You won't learn anything special in this class, so don't take it if you expect it to change your world.",01/13/2009,2,2.0,,2,Really into it,2,2.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,15088369,0,,good,3,COMM320,Very vague lectures but fairly amusing. Go to section for specifics on what you really need to know for the tests.,12/02/2008,2,2.0,,4,Really into it,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
