attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Mandatory,good,average,good,1,23308794,0,,good,5,SOC275,"Very interesting subject, do not need to buy textbook. Drops lowest grade out of three exams and two papers. Not hard to do well, but as a professor she is quite biased and could push some people's buttons. Let's her opinion affect the material to much, but doesn't interfere with grade.",05/24/2014,2,2.0,,3,It's my life,4,4.0,1,No,N/A,1112,N/A,,A-,,people,person
Mandatory,average,average,average,3,23020227,0,,average,2,SOC100,She constantly talks about being a lawyer and teaches material on a bias. She is not open to discussion on what she says in class and is actually pretty rude when you try to approach her with a disagreement in material. Professors should be able to handle criticism and respect their student's opinions--she does neither,04/10/2014,2,2.0,,3,Sorta interested,2.5,2.5,1,Yes,N/A,1112,N/A,,B,,people,people
Not Mandatory,average,good,average,1,22927839,0,,average,2,SOC100,"Discusses not holding prejudices when studying sociology, yet applies her own prejudices as the truth. Does not outline assignment expectations well.",03/20/2014,4,4.0,,3,Sorta interested,2.5,2.5,1,No,N/A,1112,N/A,,B+,,people,person
Mandatory,good,average,good,0,22873698,0,,good,4,SOC100,"Sociology 100 is an easy course, but I'm not a fan of Professor Marshall. She says that she is a Lawyer about every 5 minutes and teaches her opinions as if they are fact.",02/27/2014,2,2.0,,4,Sorta interested,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,21251564,0,,good,5,SOC275,"Wow. Terrific! Her lectures were dynamic, to say the least. Textbook completely unnecessary (save your money). The majority of what she says are irrelevant to exams, but you want to listen and learn anyway; exams are just a formality. Bottom line: she's so cool, so intelligent. Class itself was very easy.",01/13/2013,1,1.0,,5,Really into it,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,21016283,0,,good,5,SOC275,"Dr. Marshall is the best instructor I've ever had. She is one of those professors that makes you want to go to class because she is so hilarious and relaxed in class. Class is mandatory, the exams are pretty easy. Just go to exam review and study her slides. Easy, and fun, A.",12/10/2012,1,1.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,19551161,0,,good,5,SOCW275,MANDATORY ATTENDANCE. EASY CLASS. SHE IS HILARIOUS. LOTS OF EXTRA CREDIT GIVEN AT THE END OF CLASS. HIGHLY RECOMMENDED.,12/17/2011,1,1.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,18665888,0,,good,5,SOC275,"Great teacher! The best class I've ever taken on this campus. Go to class, study the powerpoints (she posts them on Compass) and do your papers (which are easy and about 3 pgs) and you should get an A. I did.",05/26/2011,2,2.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,15538983,0,,good,5,SOC275,I LOVED HER! she was my favorite professor at the university. i choose classes because i knew she was teaching. she is amazing and i would highly recommend her to anyone,03/17/2009,3,3.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,13202513,0,,good,5,SOC275,"I took this class to see if I was interested in Law.  Well, I learned I'm not, but the class was great.  Go to class and take notes.  There are papers, but she is a good lecturer despite some  political leanings she proclaims.  Just a great professor and class.",05/23/2007,3,3.0,,5,Sorta interested,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,12305132,0,,good,5,SOC477,Very interesting class!,10/22/2006,3,3.0,,3,It's my life,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,average,0,11729119,0,,average,5,SOC477,Best Prof ever!  Hilarious!  Soc of Law is an AMAZING class.,04/19/2006,4,4.0,,1,It's my life,3,3.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,11376143,0,,good,5,SOC275,Very interesting teacher with good lectures and interesting readings.  She makes the class worth going to and participating.  I'd highly recommend taking this class even if not a Sociology major.,01/17/2006,2,2.0,,4,It's my life,4.5,4.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,1528164,0,,good,5,SOC317,"One of the funniest and most animated profs I've ever had. She's awesome, and she's very smart.",12/17/2003,4,4.0,,5,N/A,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
