attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,poor,good,2,26485549,1,,good,5,ARTH403,"Prof. Burkus is one of the best professors I've ever met. She sincerely cares for her students, and tries her best to make course materials easier to understand for students, for instance, by giving out bullet-point summaries of some of the hard readings. Her course load is far from heavy, and I find her assignments very interesting and inspiring.",05/05/2016,1,1.0,,5,N/A,5,5.0,1,No,Yes,1112,Yes,,N/A,,person,people
Not Mandatory,average,average,average,0,24547290,0,,average,2,ARTH114,"Very nice old lady. Knows a lot about China and Japan. She lived in Japan for 2 or 3 years to do research. Willing to help if u have questions. However, the lecture is unclear. You have to take note and follow her in class. Grading was not hard. 1 group project and 2 exams. Quizzes were mostly cancelled. ",04/05/2015,3,3.0,,4,Really into it,3,3.0,1,Yes,N/A,1112,Yes,,A-,,people,people
N/A,good,average,good,3,24345881,0,,good,4,114,"I don't know why her rates are so low. She was certainly a very helpful professor(emails always sent back with good feedback). She always listens to students' opinions(result: the tough weekly quizzes disappeared) I have to see how her class would go this semester because I'm taking her 400 level course. So far, tho, she was great.",01/30/2015,2,2.0,,4,Really into it,4,4.0,1,Yes,N/A,1112,Yes,,N/A,,people,people
Mandatory,poor,good,poor,0,22902615,4,,poor,1,EALC402,awful professor. Lectures are boring and rambling and tests ask you to read her mind. You can understand all of the material and still get things wrong because you don't give the exact answer she's looking for.,03/11/2014,4,4.0,,1,Sorta interested,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,3,22217236,1,,good,5,ARTH114,She is not that bad. The review sheets she gave for the test is very helpful.,10/25/2013,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,person,people
N/A,poor,average,poor,0,20219422,3,,poor,1,ARTH114,Totally not what I expected for art history. Never talked clear except getting mad with TA's or students. Can't hear any full sentences if you're not sitting in the first five rows. But there was no quiz/test/exam so that's kind of good.,05/07/2012,3,3.0,,1,Sorta interested,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,3,19374221,3,,poor,1,ARTH403,"Completely unorganized and unfocused ramblings make up her lectures, which are impossible to follow. Everyone leaves each class utterly puzzled, making writing papers very difficult since nothing is learned. She also cannot accept differing opinions and tries to convince you that you're wrong, even though everything she utters is nonsense.",12/04/2011,4,4.0,,1,Low,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,2,19210728,3,,poor,1,ARTH403,"I have to say she knows a lot, but she doesn't know how to teach at all. The class is hard for me cuz she didn't really teach anything and I still have to write the class papers.",11/10/2011,5,5.0,,1,Meh,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,1,19071390,3,,poor,1,ARTH114,"The entirety of the class seems to be in agreement that nobody, at any time, has a clue what she is talking about or what we need to do for the class. She tends to ramble on, rather incomprehensibly. She is, however, very knowledgeable on the subject, she just simply does not make for a good professor. I surely wouldn't recommend any class of hers.",10/14/2011,4,4.0,,1,Sorta interested,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,person
N/A,average,good,poor,0,19065010,3,,poor,2,ARTH114,"Doesn't communicate what is expected of students to the RA's, then gets upset with them for helping us too much...she has also spent much of the lectures trying to pronounce words in Chinese. Would not recommend.",10/12/2011,4,4.0,,1,Low,1.5,1.5,1,No,N/A,1112,N/A,,N/A,,people,people
