attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,average,good,0,26597632,0,,good,5,ENG245,Great class! Tony really knows what he's talking about and keeps the discussion flowing and interesting! He made every short story we read in class engaging!,05/17/2016,2,2.0,,5,N/A,5,5.0,1,Yes,N/A,1112,Yes,,N/A,,people,people
Mandatory,good,average,good,0,26004744,0,,good,5,ENGL245,"Be in Tony's class is the one of the few most enjoyable things you can do as an adult. He is such a pro to deliver the messages and techniques in the literature, at the meantime engaging your thoughts with optimal respect.",01/28/2016,2,2.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,Yes,,N/A,,people,people
Mandatory,good,average,good,0,25820467,0,,good,5,ENGL245,"Tony is an amazing teacher. You could tell how passionate he was about the material, and his class was always insightful. Would definitely take another class taught by him. Easily one of the best classes I've taken at U of I so far.",12/24/2015,2,2.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,Yes,,A,,people,people
Mandatory,good,poor,good,0,25772514,0,,good,5,ENGL429,"Tony is absolutely a riot. All of his classes were really engaging, hilarious, and he really brought the material down to everyone's level - which is nice considering it's 18th century fiction. If you take a class with him, chances are you won't want to miss a single class because he makes classes so much fun for everyone in the room. He's awesome.",12/19/2015,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,Yes,,N/A,,people,people
Mandatory,good,average,good,0,25402900,0,,good,5,ENGL429,"Tony is the best professor and teacher I've had. You will -never- feel afraid to speak in one of his classes. He engages all of his students, and whether in class or email or office hours, you always get the sense that he wants to be doing this and wants to help. Equally hilarious and insightful. This is how an English class should feel.",11/12/2015,3,3.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,Yes,,A,,people,people
N/A,good,poor,good,0,24860337,0,,good,5,ENGL300,"Tony is easily the best English professor I've ever had and I'm going into my senior year of college. Class was 1.5 hours long but it flew by. He is ALWAYS there for his students, gives INCREDIBLE feedback, and is one of the most patient people I've ever met. Take a class with him if you ever get the chance; swear on my life you won't regret it.",05/18/2015,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,Yes,,A,,people,people
N/A,good,average,good,0,24656295,0,,good,4,ENGL300,"Great teacher. Keeps class interesting and always like to lighten class up if its a boring topic. He can always make the class laugh and helps understand dense materials.  Always helpful at his office hours, genuinely loves the material and will do anything for a student to help them succeed.  If you have opportunity to take a class with him DO IT ",04/23/2015,3,3.0,,5,Really into it,4.5,4.5,1,Yes,N/A,1112,Yes,,N/A,,people,people
Mandatory,good,average,good,0,24017668,0,,good,5,429,I love this guy.  Hilarious and informational.  How have I not discovered him four years ago?,12/10/2014,2,2.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,Yes,,A,,people,people
N/A,good,average,good,0,23544443,0,,good,5,ENGL300,Tony is one of the best professors I've ever had. He immediately engages you with the material and emphasizes an open classroom discussion. He gives awesome feedback on papers and is great to talk to during office hours. ENG 300 was a fantastic class and I 'd recommend taking anything he teaches.,08/20/2014,2,2.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,21549756,0,,good,5,ENGL301,"Pollock is one of the greatest English professors here at UIUC. He's refreshing, fun, super excited (it may sound nerdy, but this man really loves teaching what he teaches), and super chill about everything. His classes are engaging and challenge your intuition, but I guarantee you will leave the classroom as a more refined and educated person.",04/17/2013,1,1.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,17016737,0,,good,5,ENGL200,"He is really funny and interesting which kept my attention. He is very intelligent and when he teaches, it is always clear. Teachers like him are why I am an English major.",04/18/2010,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,1,16343629,0,,good,5,ENGL103,"I LOVE this teacher.  By far my favorite I've had so far. Go to his office hours before an exam because he's super helpful. Also, if you can get to know him because he wrote me a great rec letter.",11/10/2009,2,2.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,person
N/A,good,poor,good,0,15871904,0,,good,5,ENG130,"Extremely energetic, tons of fun, and the exams were EASY!",05/20/2009,1,1.0,,5,Low,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,15673387,0,,good,5,ENGL200,"He kept the material entertaining, the discussion lively, and the textbook costs low. He took the time to listen to us despite the fact that we weren't always on the mark, and he learned our names in record time. Great teacher--what more can I say&#63;",04/19/2009,1,1.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,15532023,0,,good,5,ENGL429,"Tony was one of the best professors that I have had at the U of I. He made everything really interesting and I actually wanted to read the assigned books. He was also really helpful with papers, and anything else you may have had questions about.",03/14/2009,2,2.0,,5,Low,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,14896525,0,,good,5,ENG424,Prof. Pollock is an amazing professor and definately made class interesting. He's a great guy and funny and I'm recommend taking a class with him.,10/23/2008,3,3.0,,4,Meh,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,14715008,0,,good,5,ENGL455,"I had never heard of Mary Wollstonecraft or Eliza Haywood before I took this class, nor could I ever imagine that I'd care about them. Not only did I love going to class, but Prof. Pollock always put things in context, which is something a lot of English classes sorely need. He was also really helpful with all the assignments and papers.",08/04/2008,3,3.0,,5,Meh,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
