attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,average,good,0,24204969,0,,good,5,NRES219,"Always available for students and really approachable. Makes ecology interesting with great lectures and fun workshops every Friday that usually involve candy. Helpful slides and handouts every class where you can take notes. Attendance is mandatory for workshops and there are weekly reading quizzes. Overall, enjoyable class with a great professor.",12/30/2014,2,2.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,Yes,,N/A,,people,people
N/A,good,average,good,1,22620486,0,,good,5,NRES219,"This guy is awesome. Fun shirts. Good lecturer. Gives handouts for each lecture. Drops lowest exam, including the final so do well on first three exams. Generally an easy class but it really helps to read the book before exams.",12/19/2013,2,2.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,person
Not Mandatory,good,poor,good,0,22210411,0,,good,5,NRES219,Really easy to get along with,10/24/2013,1,1.0,,4,Sorta interested,4.5,4.5,1,No,N/A,1112,N/A,,A,,people,people
N/A,good,average,good,0,21115180,0,,good,5,NRES219,"Overall this class was interesting since professor Yannarell is enthusiastic and a really good lecturer. There are handouts given out each lecture highlighting the important material. Tests are a pretty large percentage of the grade, so screwing those up can really bring you down. He does drop one bad test though, including the final!",12/18/2012,3,3.0,,5,Really into it,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,19729277,0,,good,5,NRES219,"Very good lecturer. Had printed out notes for us to follow every class.  Had fun labs every Friday, though could sometimes screw you over if you get a bad group. I thought homework assignments were hard. Tests were multiple choice and could get tricky =/ but overall easy class, I got an A.",01/15/2012,2,2.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,poor,good,0,19233261,0,,good,3,NRES219,This class was so fun! Basically just a bunch of fun facts on the environment. Some of his questions can get confusing but if you ask him he is very helpful. There are fun little work shops on Fridays and the lowest test grade is dropped (including the final) so you can get away with no final!,11/14/2011,1,1.0,,5,Really into it,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,18577370,0,,poor,2,NRES421,"not very good at explaining material, tests and homework were very difficult, lots of material to know and most of it required memorization, no actual understanding of it",05/11/2011,5,5.0,,2,Sorta interested,2,2.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,18545305,0,,good,5,NRES421,"Super smart, sharp dresser, and really nice.",05/06/2011,2,2.0,,4,It's my life,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,14858290,0,,good,5,ANSC451,"Dr. Yannarell was a great lecturer, and very helpful!",10/08/2008,3,3.0,,5,Low,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,14858257,0,,good,5,NRES285,No Comments,10/08/2008,3,3.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
