attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Mandatory,average,average,average,2,24584532,0,,poor,2,HIST100,Just do yourself a favor and don't take this class.  ,04/13/2015,3,3.0,,2,Meh,2,2.0,1,No,N/A,1112,Yes,,A+,,people,people
Mandatory,poor,good,poor,1,24553468,0,,poor,1,HIST100,"I liked her at first and then the first test happened. I could get past that. But in general she is a very snarky and pretentious human being. After midterm course evals, she's been borderline cruel because apparently people were 'mean' to her. Can't take criticism even if it's constructive AND she asked us for it. Also.. 7 books are required ...",04/07/2015,5,5.0,,2,Meh,1.5,1.5,1,Yes,N/A,1112,Yes,,A+,,people,person
N/A,average,average,average,0,20151606,1,,average,3,HISTH100,I took this class as a gen ed and to tell the truth it was about the easiest class i've ever taken. While the grading will be subjective to the TA's she outlines everything for her tests and her final. The readings she assigns are kind of suggestions to me but they will help when you have to memorize the ID's for the exam. Class is not that bad.,04/30/2012,2,2.0,,3,Meh,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,person,people
N/A,good,average,good,1,19987310,0,,good,5,HIST100,"Honestly, she's not that bad. She may ask a lot, but she explains exactly what she wants in tests and papers. She reviews before tests and gives answers. Everything is really structured. The TAs are great. Reading is extremely heavy but you can get by skimming. Attendance is semi-mandatory sometimes there's in class assignments.",04/02/2012,2,2.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,person
N/A,average,good,poor,0,15835149,0,,poor,2,HIST100,"I have to disagree. While she is very intelligent, she knows little of World History.  She teaches her intro level class as if it was a 300/400 level class and amount of required work/exams is rather ridiculous for a 100 level class.  I am currently a history major but if this was my 1st experience in history, I would never consider the major.",05/14/2009,5,5.0,,1,Low,1.5,1.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,15456656,0,,poor,2,HIST100,"She knows what she is talking about but flies through the entire lecture.  She assigns readings completely different from class, and the readings are ridiculously boring!  Definitely not an introductory history course!!",02/11/2009,4,4.0,,2,Low,2,2.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,15441000,0,,average,3,HIST100,"BORING AS SIN!!! I don't even go to this class 1. because it's at 9am and 2. because I just fall asleep in it anyway, so why not just stay in bed&#63;! She assigns readings from the books, yet talks about completely different things in lecture. One good thing is that she knows what she is talking about.",02/04/2009,3,3.0,,2,Meh,2.5,2.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,14985885,0,,good,5,HIST341,I thought we was a great professor. Very intelligent and selected interesting readings. I enjoyed going to her class everyday. Makes complex ideas very clear.,11/12/2008,3,3.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,1,10149962,0,,poor,2,HISTORY10034,Cars more about her reputation than her students,08/22/2005,4,4.0,,2,Meh,2,2.0,1,N/A,N/A,1112,N/A,,N/A,,people,person
N/A,good,good,good,0,3991324,0,,good,5,HIST100,"Whoever claims that Professor Burton is an idiot demonstrates their own mental shortcomings. Not only is she a brilliant scholar, but she is a very helpful and compassionate instructor.",06/13/2005,4,4.0,,5,It's my life,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,3343173,0,,good,5,HIST341,I really enjoyed this class. She really helped me out with a lecture project. Teaching at U of I can't be easy but she makes it look like it. She uses best practices at the college level.,02/10/2005,4,4.0,,5,Sorta interested,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,2231929,0,,good,5,HIST341,She is very intelligent and an amazing teacher. I learned a lot...picks interesting readings to go along with the course.,06/09/2004,3,3.0,,5,N/A,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,2124645,0,,good,5,HIST341,"I had her for history 341, and I thought she was an amazing teacher, one of the best I've had.",05/11/2004,3,3.0,,5,N/A,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,average,poor,0,2109418,0,,poor,1,HIST100,"i havent learned anything...big lecture, which was nice at first...but there is not really a good source of help to see you are doing poorly.  tests are IDs, and a take home final of IDs and a short essay...but definitly NOT an intro history course!",05/07/2004,3,3.0,,2,N/A,1.5,1.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,2084910,0,,good,3,HIST100,"the course sucked at first but she noticed it was hard and chilled out a little...3 exams, last one was take home and that was it",05/04/2004,3,3.0,,4,N/A,3.5,3.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,poor,poor,0,1974498,0,,poor,1,HIST100,"She's an idiot.  I have no clue how she got her PhD, much less a teaching position.  This class is the biggest waste of time ever.  If it's required for you,wait for a competent professor",04/16/2004,1,1.0,,1,N/A,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,1910504,0,,average,2,HIST100,"while very intelligent, she doesn't clearly communicate what we need to know.",04/06/2004,4,4.0,,3,N/A,2.5,2.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
