attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,average,average,average,0,24799909,1,,average,3,ENGL301,"He's really understanding, open to all viewpoints, interesting, and you can tell he tries to learn from his students as much as he teaches them. 2 papers that were based on poem analysis ... so it really had nothing to do with the readings - still read for the discussions though. Attendance is ""mandatory"" but he always forgets.",05/11/2015,2,2.0,,3,Really into it,3,3.0,1,Yes,N/A,1112,Yes,,N/A,,person,people
Mandatory,average,average,average,0,24240139,0,,average,2,ENGL104,"He didn't follow his syllabus after he changed it mid-semester, he didn't clarify what we was expecting and he was very vague on giving assignments. He only took attendance when no one was in class and only gave quizzes when half of the class showed up. He only graded half of the assignments he assigned so it was hard to figure out what he wanted.",01/06/2015,3,3.0,,3,Really into it,2.5,2.5,1,Yes,N/A,1112,Yes,,A-,,people,people
N/A,good,good,good,0,24083335,1,,good,5,ENGLISH104,"Brilliant mind. Highly erudite, but he needs to keep in mind that he tends to intimidate (without knowing) or piss off the dumb students. A bit absent minded. But very charismatic and even hot. ",12/15/2014,4,4.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,Yes,,N/A,,person,people
Mandatory,good,average,average,0,24038540,0,,good,4,ENGL273,"I really enjoyed this class. He lets you do the viewings at home, which was nice. It's important to do the readings, even if you just skim, because otherwise there will be quizzes. All of the class is discussion based. Three papers and a final. Says attendance is mandatory, but always forgot to take roll. Unorganized, but I learned a ton!",12/11/2014,2,2.0,,3,It's my life,3.5,3.5,1,Yes,Yes,1112,Yes,,A-,,people,people
Mandatory,poor,good,poor,1,23139056,0,,poor,1,ENGL104,"Terrible professor, completely unorganized and rambles all class. Rarely touched on actual class content and remained at least a week behind schedule for the entire semester. Lost assignments for many students in the class, including two of my essays, lost twice each.",05/01/2014,4,4.0,,1,Meh,1,1.0,1,Yes,N/A,1112,N/A,,C,,people,person
N/A,poor,average,poor,0,21660010,0,,poor,1,ENG273,"Being a somewhat lenient grader doesnt make up for him being a very unorganized and awful professor. He redid our syllabus twice during the semester, and milked the excuse that he was sick for a few days. Half of class time is silent because he didnt plan what to talk about. Also didnt respect students views on film if they didn't line up with his.",05/02/2013,3,3.0,,1,Really into it,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,poor,0,16601593,0,,poor,2,ENGL104,I learned absolutely nothing from this professor during this class.  A sub came in one day and I was surprised that I actually learned something.  He rambles about things that have nothing to do with the class and expects us to know everything about the material.,12/19/2009,4,4.0,,1,It's my life,1.5,1.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,16014886,0,,good,5,ENG301,"He is a brilliant teacher. Learned, chaismatic, and having exceptional intelligence.",07/05/2009,2,2.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,14985280,0,,good,5,ENG104,Highly intelligent and extremely erudite.,11/12/2008,1,1.0,,4,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,14496685,0,,good,5,ENG301,Great prof!,05/19/2008,1,1.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
