attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Mandatory,good,average,good,0,23782878,0,,good,5,RLST251,She was fantastic.  Very helpful and very good at explaining things.  She was fun and friendly but not overly chummy.  ,11/10/2014,3,3.0,,4,Really into it,4.5,4.5,1,Yes,Yes,1112,Yes,,A,,people,people
Mandatory,good,average,good,0,23648880,0,,good,5,SCAN251,"Anya did a fantastic job guiding the discussion section for SCAN 251. She showed a clear passion for the subject matter and was always willing to share her expertise. Be prepared to read, but also to learn a vast amount in a short amount of time. She and the rest of the SCAN department made a huge impact on my undergraduate experience. ",10/12/2014,2,2.0,,5,It's my life,5,5.0,1,Yes,Yes,1112,Yes,,A+,,people,people
N/A,good,average,good,0,23636887,0,,good,4,CWL241,"She was my TA for CWL 241, and she was one of those good ones who was okay with you being late every week if you were dumb and scheduled classes too far apart to make the commute in ten minutes. That being said, you definitely wanted to be there, not only for the grade, but because the discussions were so interesting.",10/07/2014,3,3.0,,4,It's my life,4,4.0,1,Yes,Yes,1112,Yes,,N/A,,people,people
N/A,good,average,good,0,23634487,0,,good,5,CWL114,"Really great instructor. English as my second language, it is kind of tough to finish all the readings timely, but she encouraged us to ask questions and were really helpful in answering them.",10/07/2014,2,2.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,Yes,,N/A,,people,people
N/A,good,good,good,0,23631807,0,,good,5,CWL141,"this class is very interesting to explore global perspectives.  And, Anya did her best to help us.  She is very nice. ",10/06/2014,4,4.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,Yes,,N/A,,people,people
N/A,good,average,good,0,23631758,0,,good,5,CWL189,Anya is an amazing TA! She is very knowledgeable and dedicated. She leads great discussions about the texts and is very good at getting students to think critically. I learned a lot from her and took a lot away from the class. She inspired me to seek more knowledge of Asian and African literature. She is helpful and gives good feedback! ,10/06/2014,3,3.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,Yes,,N/A,,people,people
Mandatory,good,average,good,0,23630937,0,,good,5,CWL114,"Anya is enthusiastic, so it's easy to pay attention and learn the material.",10/05/2014,3,3.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,Yes,,N/A,,people,people
Mandatory,good,average,good,0,23629997,0,,good,5,CWL251,She had no probably leading and guiding a class through the course. She came in well planned and was never showed any signs of distress or being disorganized. She was also a fair grader and made herself very approachable for questions. It was a pleasure having her as a teacher.,10/04/2014,3,3.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,Yes,,B+,,people,people
N/A,good,average,good,0,23628014,0,,good,5,SCAN251,"Very natural in front of students and easy to learn from.  You can tell Anya is passionate about her work and does a great job engaging the class in meaningful discussions that spark you to seriously consider the topics.   Captivating the audience, her lectures do not end they run out of time.  Anya possesses a rare, indefinable quality.  True gem.",10/03/2014,2,2.0,,5,Sorta interested,5,5.0,1,Yes,Yes,1112,Yes,,N/A,,people,people
N/A,good,average,good,0,23627952,0,,good,5,CWL241242,Facilitates discussion extremely well. Very good at relating to what excites you in the material. Also an objective grader who gives tough and helpful feedback. I always enjoyed going to class.,10/03/2014,3,3.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,Yes,,N/A,,people,people
N/A,good,average,good,0,23627357,0,online,good,5,CWL111,Anya Hamrick was very engaging during discussions and really tried to get everyone involved.  She remembered my name after the first week we had discussion which I thought was incredible but also it made me felt good as a student.  She knows the material well and asks questions that engage students to think at a higher level. ,10/03/2014,3,3.0,,5,Really into it,5,5.0,1,Yes,Yes,1112,Yes,,N/A,,people,people
N/A,good,average,good,0,23626564,0,,good,5,CWL114,"Really, really helpful. Some of the most coherent and well put together classes I've had.",10/02/2014,2,2.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,Yes,,N/A,,people,people
N/A,good,average,good,0,23626408,0,,good,5,CWL114,"Anya was a great TA. Although I wasn't always interested in the topics, she kept me engaged. She made everything very clear and made sure we were ready for exams.  You could tell she was very passionate about what she taught. ",10/02/2014,2,2.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,Yes,,N/A,,people,people
N/A,good,average,good,0,23626261,0,,good,4,MDVL251,Anya is very engaging and good at getting group participation out of a discussion class. ,10/02/2014,3,3.0,,4,Really into it,4,4.0,1,Yes,Yes,1112,Yes,,N/A,,people,people
N/A,good,average,good,0,23626250,0,,good,4,CWL189,"This class was one of those classes where I had to try a bit more because history and reading were some of my weaknesses. Anya made all the assignments very clear, took time to explain the assignments and took time to go over things that were not clear to use that would be on the exams. ",10/02/2014,3,3.0,,5,Sorta interested,4.5,4.5,1,Yes,N/A,1112,Yes,,N/A,,people,people
N/A,good,poor,good,0,23626244,0,,good,5,RUSS199,"Anya is in my opinion an exceptionally good teacher and lecturer. In fact, she would always be passionate and engaging in teaching those classes of Russian literature, along with the more technical lectures of grammar. Being an engineering major I seriously wish I took more classes like that during my PhD.",10/02/2014,1,1.0,,5,It's my life,5,5.0,1,Yes,Yes,1112,Yes,,N/A,,people,people
N/A,good,average,good,0,23626191,0,,good,5,CWL114,"She is passionate about what she teaches. Also she is always helpful; she clarifies things that might be confusing to her students. If you read the book and participate during class, you will do well in your exams and will love the class ",10/02/2014,2,2.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,Yes,,N/A,,people,people
N/A,good,average,good,0,23625773,0,,good,4,CWL114,Anya was extremely helpful and always prepared. She encouraged class participation to make sure students understood the material. ,10/02/2014,3,3.0,,5,Sorta interested,4.5,4.5,1,Yes,N/A,1112,Yes,,N/A,,people,people
N/A,good,average,good,0,23625637,0,,good,5,CWL114,Anya was a great TA. This class was not an essay A but if you put in the work asked there should not be a reason why you would not do well in this class. She was very informative. Her discussions were good too because she engaged students to speak which isn't always the case in discussion classes.,10/02/2014,3,3.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,Yes,,B+,,people,people
N/A,good,average,good,0,23625583,0,,good,5,CWL189,"Great TA, very helpful and kind.",10/02/2014,3,3.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,Yes,,N/A,,people,people
