attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,average,average,average,0,16131190,0,,good,3,ARCHITA,Great,08/18/2009,3,3.0,,4,Sorta interested,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,15625305,0,,poor,2,ARCH101,"had him for arch 101 and it was good. enjoyed the topics and he often canceled classes.  However, he is not good for counseling.  He was not clear and messed up my schedule and i am still paying for it going into my 4th year",04/08/2009,2,2.0,,2,Really into it,2,2.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,15407237,0,,good,5,ARCH101,Great class.  Good way to start off in the major.  Kaha is a great teacher -- obvious love for both architecture and teaching.  Not to mention he looks like Santa Claus.,01/23/2009,1,1.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,15354379,0,,good,4,ARCH101,"Fact: Everyone secretly wishes Kaha was his or her grandpa.  He's a very lovable Santa-like old man, who serves as a great mentor, too.  I didn't learn much about designing actual buildings, but this course helps you learn some basic terms and more about today's current architects.  It's more about sparking your interest in the architectural world.",01/11/2009,1,1.0,,5,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,15091166,0,,good,4,ARCH101,"Not too many assignments, and the few there were, were very easy.  Make sure you're amazing at sketching or else.  Kaha doesn't actually do anything himself it seems, his TAs do all the work and every class there is a guest speaker.  Class was helpful to me, helpful in making my decision to leave arch way easier.",12/03/2008,3,3.0,,5,It's my life,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,14946261,0,,good,4,ARCH101,"He's a very nice and approachable man. As my adviser, he was a wealth of information. His class was a bunny hill approach to architecture, and a more difficult curriculum would weed out the non-committed students earlier, helping their academic career. Overall a great guy who is always easy and fun to talk to.",11/05/2008,1,1.0,,5,It's my life,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,poor,poor,0,14543851,0,,poor,2,ARCH101,"the class was really a waste of time.  the time could be better spent getting right into studios.  he seems like a nice gentleman, but i think he's really just riding the paycheck out, instead of adding value to a U of I architecture degree",06/01/2008,1,1.0,,1,It's my life,1.5,1.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,poor,average,0,13811085,0,,good,3,ARCH101,I hated this class. We didn't learn anything and it was a waste of time. Kaha is a nice old man but he's not great at teaching or making a curriculum. I felt that I came out of the class just knowing a few more vocab words.,12/12/2007,1,1.0,,4,Really into it,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,13263515,0,,good,4,ARCH101,"Professore Kaha, as you can see, is an amazing professor and mentor with so much to offer. He struggled with deciding whether to be an architect or not and his stories are inspiring and really make you think about architecture. You can talk to him about anythign and he will be honest. This class is pretty easy also & a great introduction into arch",06/13/2007,2,2.0,,5,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,13063435,0,,good,5,ARCH101,"Professor Kaha is not only a wonderful teacher but a great mentor.  He makes class interesting and engauging, and gives very good advice to help you achieve your goals, evern if they aren't architecture related.  He is absolutely focused on helping his students achieve their personal goals, whatever they may be.",04/25/2007,1,1.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,12721848,0,,good,5,STUDIO,Simply the BEST professor and mentor a student can ask for. He is very inspiring and kind soul. He can see rare qualities in everystudent then encourages you. Also loves to get updates on how you are doing after school. Someone to stay in touch with througout your profession.,01/04/2007,2,2.0,,5,It's my life,5,5.0,3,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,12334981,0,,good,5,ARCH101,"greaty professor, and an even greater person to talk to in your spare time, you can find him hanging around at many architecture related events and meetings",10/30/2006,1,1.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,12319067,0,,good,5,ARCH101,"Very funny, very layed back, and truly cares about hius students.  Wants everyone to learn, regardless of the means, and wants everyone to do well.  Very nice man who gives good advice.",10/26/2006,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,poor,average,0,3241296,0,,good,3,ARCH199,"prof kaha class is a bit boring, but best of all, it's very easy! he is also a nice and funny guy, with strange assignments, but also fun, like 'building costume' project on haloween",01/18/2005,1,1.0,,4,Really into it,3.5,3.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
