attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,poor,good,0,14726168,0,,good,5,PSYC100,"No complaints. PSYC 100 is a really easy class and her grading policies make it even easier. She teaches earnestly and provides tons of opportunities for improvement (extra credit, night study sessions before exams, etc). Great teacher.",08/08/2008,1,1.0,,5,Sorta interested,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,14431188,0,,good,5,PSYC100,Ashley is probably the best psyc 100 instructor on campus. Her lectures are interesting and easy to follow. Assignments are easy and closely related to lecture topics. Her quiz policy makes it extremely easy to get A's.,05/08/2008,2,2.0,,4,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,13662530,0,,good,5,PSYCH100,"Ashley is very clear with her lectures. She gives great notes, and as long as you study the notes you can ace every quiz. She drops your 2 lowest scored quizzes, which is nice. She's a really good professor!",11/15/2007,2,2.0,,4,Sorta interested,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,13653917,0,,good,5,PSYCH100,"Ashley was super interesting to listen to- never once did i fall asleep!! she is passionate about psych and shows it- which motivates the class to keep interested because the way she talks about the subject is intriguing.  She's an easy grader, and a big pushover (gives a lot of A's)  definitely reccommend her.",11/14/2007,2,2.0,,5,Sorta interested,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,13190933,0,,good,4,PSYC100,"Ashley made things fun and interesting, but she was slow to grade quizzes and homework assignments. We never even got back the last couple of assignments before the final, so we couldn't study from them. She would also make review sessions,then cancel them because she forgot she was busy that night. Reviews are helpful because old tests are there.",05/20/2007,3,3.0,,4,Really into it,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,13190328,0,,good,5,PSYC100,"Great teacher - with some effort, you can entirely skip using the textbook...",05/20/2007,1,1.0,,4,Sorta interested,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,13190082,0,,good,5,PSYCH100,"She's easy-going, helpful, and informed. There's nothing negative to say.",05/19/2007,2,2.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,13190001,0,,good,5,PSYC100,"Ashley was an amazing teacher. She always tries to make the class fun, interesting, and goes out of her way to make it so you'd learn a lot and get the best grade possible. Try to get her section!",05/19/2007,1,1.0,,5,Really into it,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,13189944,0,,good,5,PYSCH100,"I never even bought the textbook, the study guide was more than enough",05/19/2007,2,2.0,,5,Really into it,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,13189777,0,,good,4,PSYCH100,"Ashley made psychology 100 not too horrible. She's genuinely interested in the material and wants her students to do well. If you attend class and review her notes, you'll do fine.",05/19/2007,2,2.0,,5,Meh,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,13189633,0,,good,4,PSYC100,perfect,05/19/2007,3,3.0,,5,It's my life,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,13028938,0,,good,5,PSYC100,"Ashley was a great professor, extremely helpful and gave you several opportunities to make sure your grade was an A even though the midterm and final was semi difficult",04/18/2007,2,2.0,,5,Sorta interested,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,12984714,0,,good,5,PSYCH100,Class was not a bore to go to!,04/08/2007,2,2.0,,4,Sorta interested,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,12956582,0,,good,5,PSYC100,Ashley was extremely helpful and very sweet.,03/31/2007,2,2.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,12700278,0,,good,5,PSYCH100,Ashley was a very knowledgeable TA who always helped her students to do their best in the class. I would definitely recommend signing up with her section!,12/30/2006,3,3.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,12696843,0,,good,5,PSYC100,No Comments,12/29/2006,2,2.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,12678515,0,,good,5,PSYCH100,"Ashley was a great TA for a class that was at times very challenging. She always went out of her way to help her students understand a concept and was always very approachable. Fall 2006 was her first semester teaching, but she did a wonderful job!",12/24/2006,2,2.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,12560199,0,,good,5,PSYC100,No Comments,12/09/2006,2,2.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,12369519,0,,good,5,PSYCH100,Ashley was incredibly helpful and just plain awesome. She is fun and always kept the class very interesting.,11/06/2006,2,2.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
