attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,average,good,0,24788407,0,,good,4,ASTR122,"He speaks a little lethargically, which makes lectures a little unexciting. Runs an easy course where moderate effort is returned with a good grade. Offers a ton of optional extra credit. Online quizzes are fairly simple so long as you have the textbook on hand. ",05/10/2015,2,2.0,,4,Low,4,4.0,1,Yes,N/A,1112,Yes,,N/A,,people,people
N/A,good,good,good,1,24734935,0,,good,5,ASTR122,"There is a lot of material covered in the class so that's no fun. However, he provides plenty of opportunity to still get a good grade. Multiple chances to complete HW. Lots of extra credit opportunities. Good at dry humor, makes lectures interesting. Have lots of respect for this professor.",05/04/2015,4,4.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,Yes,,N/A,,people,person
Mandatory,good,average,good,0,24472791,0,,good,4,ASTR122,"Prof. Kemball loves his students and loves what he teaches, but you can tell he is more interested in his research. He brought us cookies and coffee every friday! :) The class was not too bad (dry lectures) with a cheat sheet on each test. I loved the content of the class and Kemball was so kind and warm-hearted!",03/18/2015,3,3.0,,4,It's my life,4,4.0,1,No,N/A,1112,Yes,,A,,people,people
N/A,good,poor,good,0,22446062,0,,good,5,ASTR122H,"I clicker points (minimal), group project, extra credit (close to like 15%), its easy and interesting--usually. He's also happy and a nice guy. Take it.",12/05/2013,1,1.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,1,21254768,0,,good,5,ASTRO122,"First off, by far one of the coolest classes I have ever taken. The professor is a straight up dog! He's super nice, funny, and helpful. He assigns a bunch of extra credit and very little EASY homework. Exam is easy if you just review your homework. Once again awesome teacher.",01/14/2013,1,1.0,,4,It's my life,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,person
N/A,good,average,good,0,21029799,0,,good,5,ASTR122H,Professor Kemball is great! He is seriously so nice and will help you with anything you need. The class was very interesting and he kept your attention with the fascinating things you learn about Astronomy. He definitely knows what he is talking about and overall doesn't assign too much homework. 1 assignment a week...and reading...def recommended!,12/11/2012,2,2.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,20853347,0,,good,4,ASTR122,"This guy is so helpful; if u do his homework carefully u would definitely get a high mark on the exam. 80% of the exam questions are among the homework which is once a week. And if u do good on mid-term, u could replace the relative part in the final with the score u achieved earlier. The best prof ever.",11/16/2012,1,1.0,,4,It's my life,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,20768851,0,,good,5,ASTR122,"GREAT professor. He knows what he is teaching and really enjoys it. I have heard other astronomy classes are not easy but this is easy AND interesting. you DO have to study for tests or at least show up for class  if you want an A but you get a cheat sheet. also, there's extra credit opportunities.",11/02/2012,2,2.0,,5,Really into it,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,20717360,0,,good,5,ASTR122,"Love Prof. Kemball. One of the best teachers I've ever had. He's excellent at explaining things and really does try to make it a class everyone can do well in. There's a ton of extra credit offered. Plus, he makes it interesing and has a really cool accent.",10/19/2012,2,2.0,,5,Low,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,20467089,0,,good,4,ASTR122,"I didn't have the textbook and slacked off majorly in this class and still got a B. It was interesting material too! Athol is the man, he adds a lot of cool animations to his power points. You can copy and paste all the homework questions into google and get 90% of the answers although if you pay attention you won't need too.",07/05/2012,3,3.0,,5,Sorta interested,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,20280436,0,,good,5,ASTR122,"Amazing professor. He offers a lot of extra credit. He is very approachable and friendly. He realizes this is just a gen ed, but he still managed to keep my interest.He had open office hours for 8 hours the day of the final because that's just the kind of guy he is. If you want a safe, fun, and friendly gen ed, this is not a bad decision at all.",05/14/2012,1,1.0,,5,Sorta interested,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,20267305,0,,good,5,ASTR122,"Kemball is such a nice and friendly person. He is also a great professor who is not only knowledgable in the subject, but also very engaged in it too. The class isn't too hard if you put some effort, and he also gives a lot of extra credit opportunities. You will definitely be awed by the things you learn about the universe and beyond.",05/12/2012,1,1.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,19775107,0,,good,5,ASTR122,Kemball is a very good professor. The lecture is very interesting but sometimes is a little hard to understand. He give a lot of extra credit which can help you get an A easily.,01/26/2012,3,3.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,19385562,0,,good,5,ASTR122,"Professor Kemball is a very intelligent man who really knows what he is talking about. Lectures were very fun and engaging. His TA wasn't the best and towards the end of the semester he moved quite fast, but the class was easy to do well on and pretty interesting.",12/05/2011,1,1.0,,4,It's my life,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,19353403,0,,good,5,ASTRO122,"Best teacher I've had so far.  Really made class interesting, and his accent helped.  An EXTREMELY intelligent man, he really does a fantastic job.",12/01/2011,4,4.0,,5,Really into it,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,19148937,0,,average,2,ASTRO122,Very hard (but interesting) material. But Kemball has the COOLEST accent and gives you a lot of opportunities to improve your grade.,11/02/2011,5,5.0,,4,Really into it,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,average,0,16299557,0,,good,4,ASTR122,Very nice guy who knows a lot about the subject.  Sometimes he gets a little monotone but still a good teacher.  He has excellent powerpoints and a lot of homework/ extra credit opportunities.  He's also british; love the accent!,11/02/2009,2,2.0,,3,Low,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,16253765,0,,good,5,ASTR122,"He pretty much explains everything, and has awesome power points that he tells you to print out to make notes insanely easy. Homework is also not that hard generally, and you get three tries on it. definitely an awesome professor.",10/20/2009,1,1.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,16218949,0,,good,5,ASTR122,"This professor is amazing. He has the coolest english accent, which makes you just want to hear him talk.  The class isn't at all difficult, and if you do all of the extra credit offered, it can raise your grade 13.5%. He is very approachable also.",10/04/2009,1,1.0,,5,Really into it,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,15637394,0,,good,5,ASTR122,Extremely helpful. Spoke very clearly and went at a good pace. Very willing to help students and sends lots of emails before exams with preparation tips and ways to practice. Great professor,04/11/2009,2,2.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
