attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,average,average,average,0,17081653,0,,average,3,FSHN120,"Attendance is not mandatory in her lecture! Her class has extremely FAIR expectations. You take your quizzes online, and she has a bunch of extra credit opportunities also. Her exams are the exact same questions as the quiz questions.. if you memorize and understand those you will get an A on the exams!",04/29/2010,2,2.0,,3,Sorta interested,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,16529282,0,,average,3,FSHN120,"This class is not an easy A by any means... you have to do the NAP really well and all the extra credit to secure an A... DO NOT BUY THE TEXTBOOK! its a waste of money. Also, don't go to lecture either just read her lecture outlines and the quizzes cause thats where she gets the test questions. she took attendance 1 time so dont go its not worth it",12/11/2009,2,2.0,,2,Low,2.5,2.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,16395835,0,,good,4,FSHN120,Easy class. Exchange quizzes with classmates b/c the exam questions come mainly from the quizzes. Lots of points in the class. 2 big projects. Journal responses every week about a topic you've covered in class-easy.,11/18/2009,1,1.0,,4,Sorta interested,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,16386571,0,,poor,3,FNHS120,"everyone always says postive things about this class but I dont agree. lectures are pointless. projects are long and tedious. journals once a week. 6 quizzes online due a couple days before the test. My advise is to only study of of the quizzes for the test, i mad the mistake of reading the book and she uses the quiz questions for test questions",11/17/2009,3,3.0,,1,Low,2,2.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,15960130,0,,good,5,FSHN120,"This class was EASY but it's not a free A. Spend a few hours on the projects and tests- that's all you need. And she offered lots of easy EC. It was the easiest class I've ever had. The material was interesting & she explains things well. I took it during summer session 1 & she took attendance, just a heads up if you want to take it during summer.",06/14/2009,1,1.0,,5,Meh,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,15638608,0,,good,5,FSHN120,"One of the easiest and most interesting classes I've taken so far. You don't need to read the book or attend class, just read the outline she provides and the quiz questions before the exams and you'll get an A for sure.",04/12/2009,1,1.0,,5,Low,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,15303942,0,,good,5,FSHN120,"I was there when she slammed her chair down and gave a hissy fit.  She is a pretty immature professor and can be pretty harsh, but the class is very easy.  I did not attend class for 3 weeks and got 96% on the exam. It is worth taking to help your GPA. The NAP is easy as well.  I did it the night before and A+.",01/01/2009,1,1.0,,3,Really into it,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,average,0,14991445,0,,average,4,FSHN120,"sure this is a blowoff class, but that NAP project sure was consuming. I just have a story about her personality: when a few people in the 700-person class were talking, she stared at us all for 5 minutes, slammed a folding chair down on stage, stared and watched us before saying &quot;If i deduct test points, will that shut ya up&#63;&quot; ..grow up Roach...",11/13/2008,1,1.0,,1,Meh,2.5,2.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,14667711,0,,good,5,FSHN120,EASIEST CLASS ON CAMPUS!  You don't ever have to go to lecture as long as you do well on the quizzes and tests.  You're given 2 chances for the quizzes and they are ridiculously easy!  The tests are a cake walk.  There is no excuse to not get an A in this class.,07/17/2008,1,1.0,,3,Really into it,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,14485307,0,,good,5,FSHN120,"BECKY is the best!  EASY A EASY A EASY A EASY A EASY A EASY A EASY A!  LOL at the guy who lied saying he spent 5 hours everyday studying for the exams!  You can only get A, B, C.  There are no +,- in this class : )",05/17/2008,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,14046898,0,,good,5,FSHN120,The NAPs are easy. The quizzes are time-consuming as you have to look in the book for most questions. Gather as many quiz questions as you can to study from because the exam is mostly the same questions. Easy A is you spend a few hours to study the quizzes and slides. Go to class for easy E.C. when it says so in the syllabus. She's pretty helpful.,01/27/2008,1,1.0,,5,Low,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,14008232,0,,poor,1,FSHN120,the teacher is so harsh. don't listen to people who say this class is easy. I spent 5 hours everyday studying for this class and ended up with a C+. DONT TAKE THIS CLASS!!,01/16/2008,5,5.0,,1,Meh,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,13909510,0,,good,5,FSHN120,"Easy class, but alot of work required for a blowoff class. GREAT ADVICE:!!! IF YOU NEED TO TAKE THE OPTIONAL FINAL, MAKE SURE TO GO INTO OFFICE HOURS TO COPY PREVIOUS EXAMS. HER FINAL HAS THE SAME EXACT QUESTIONS AS PREVIOUS EXAMS.",12/26/2007,2,2.0,,5,Meh,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,12810924,0,,good,5,FSHN120,This class has got to be one of the easiest on campus; there is no excuse for a B.,01/23/2007,1,1.0,,5,Sorta interested,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,12575018,0,,good,4,FSHN120,"WOW!  What an easy class... I didn't even need to take the last exam to get an A.  MAD amounts of extra credit.  I really don't see how anybody doesn't get an A.  Interesting and useful material as well.  Honestly, this class would be better if it wasn't SOOO ridiculously easy.",12/11/2006,1,1.0,,5,It's my life,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,12388326,0,,good,5,FSHN120,This class was very interesting. The exams are easy if you study the lecture notes & outlines. Sometimes test/quiz questions are worded so that they are more confusing. An A is possible if you go to class & study a little bit for the exams. I don't ever use my textbook. Becky is very helpful at office hours.,11/09/2006,2,2.0,,5,Really into it,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,12358312,0,,good,5,FSHN120,"Such an easy class. Skip lecture if you desire, it won't matter since the slides are online. There is a lot of extra credit. Numerous questions on the exams are exactly the same as those on the quizzes. There are 4 exams in addition to the final, which is annoying. However, you can drop the lowest. Do well on the four exams, then skip the final!",11/04/2006,1,1.0,,5,Really into it,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,12333391,0,,good,4,FSHN120,"EASY CLASS!!! if you read the lecture notes you will do fine on the test. there is so much extra credit. this might be the easiest class on campus, no joke. take this class!!!!!!!!!!!",10/30/2006,1,1.0,,4,Really into it,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,11954138,0,,good,4,FHSN120,Easy A if you study for the tests. I thought lecture was boring and never went. She is very picky about details on the nutrition project!,05/29/2006,1,1.0,,5,Sorta interested,4.5,4.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,11933739,1,,good,5,FSHN120,"I recommend this class to everyone! Becky is the best professor--great lecturer, so interested in the material she is teaching, very nice, and helpful. The class is not hard and the material is interesting and is helpful in real life.",05/23/2006,1,1.0,,5,It's my life,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,person,people
