attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Mandatory,good,average,good,2,26002503,1,,good,5,SOC500,"He is an amazing lecturer, very intelligent,  knowledgeable and entertaining.  He really cares about teaching you something new more than grade related issues.",01/27/2016,2,2.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,Yes,,A+,,person,people
Not Mandatory,good,poor,good,2,25973902,0,,good,5,HIST100,Very easy. The answers to the tests are given to the study guide before the test. Occasional online quiz.,01/21/2016,1,1.0,,4,Really into it,4.5,4.5,1,Yes,N/A,1112,Yes,,A+,,people,people
Not Mandatory,average,average,average,2,25962071,0,,average,3,HIST100,"Pretty funny professor. Sometimes can be monotonous. Need the textbook for discussion, all the tests are essays and their is no memorization on any of the tests.",01/19/2016,2,2.0,,3,Sorta interested,3,3.0,1,Yes,N/A,1112,Yes,,N/A,,people,people
Not Mandatory,good,average,good,2,25629841,0,,good,5,HIST100,Great guy! He's funny; he Passes out candy to people who participate in class. The class is very interesting and I learned a lot. I would take any class of his.,12/10/2015,2,2.0,,4,Really into it,4.5,4.5,1,Yes,Yes,1112,Yes,,A,,people,people
Not Mandatory,average,average,average,1,25228201,0,,good,3,HIST100,"I took this as a freshman. I noticed that he has political views and he does out them into his lectures, but because I mostly agreed with him I didnt really care. In the first month he talks about bias and how it is impossible to escape it as a historian. He is one if the reasons I chose to major in History, loved this class.",10/05/2015,3,3.0,,4,It's my life,3.5,3.5,1,Yes,N/A,1112,Yes,,A,,people,person
N/A,good,average,good,2,24818857,0,,good,5,HIST259,"Extremely nice guy. Really seems to enjoy teaching. Wants to see students do well in his class. In-class and online quizzes are TF or MC and not too difficult if you've at least looked at the reading. One midterm which he gave potential questions beforehand to study. Final paper 5-6 pages, flexible on topic.",05/13/2015,2,2.0,,4,Low,4.5,4.5,1,Yes,Yes,1112,Yes,,A,,people,people
N/A,good,average,good,1,24258016,0,,good,4,HIST396,"I had Behrooz for Modern Iranian History and you can definitely tell he's passionate about the subject (it's his home country, after all). He managed to weave history, sociology, politics, and culture into one beautifully taught class with movieslecturesbooks. He's very personable and I'd recommend taking a discussion based class with him. Superb",01/09/2015,2,2.0,,4,Sorta interested,4,4.0,1,Yes,N/A,1112,Yes,,N/A,,people,person
Mandatory,average,average,average,0,23364395,2,,poor,2,HIST,Boring,06/11/2014,3,3.0,,2,Sorta interested,2,2.0,1,Yes,N/A,1112,N/A,,B,,people,people
N/A,good,good,good,0,22529139,1,,good,5,HIST100,"Tough grader on exams, but a funny guy and always willing to help students when they're struggling. If you go to class, he tells you the quiz and exam questions.",12/12/2013,4,4.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,person,people
N/A,average,average,average,0,17288227,3,,poor,2,HIST100,"I did not think he was a good teacher.  There is something offputting about his style and his demeanor.  Overall, I felt that his class was a waste of time and money.",05/31/2010,3,3.0,,2,Sorta interested,2,2.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,poor,average,0,17003825,0,,average,3,HIST100,"Looks like Borat. Interesting professor. He is a pretty funny guy and I did enjoy his lecture. There is no section so you may need to go to office hours if you need clarification. Overall, a good 100 level history course. I recommend it.",04/15/2010,1,1.0,,2,It's my life,2.5,2.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,16637353,0,,poor,1,HIST100,Completely useless class. Do not take it. Gharami is an terribll teacher who tries to sway you to his political views. Screwed us on our midterm and final. Should have been an easy class. NOT AT ALL..DO NOT TAKE,12/24/2009,5,5.0,,1,Meh,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,16503972,0,,good,4,HIST100,"Loved, loved the class. Really down to earth, cool guy.",12/09/2009,2,2.0,,5,Sorta interested,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,average,0,16434467,0,,good,4,HIST100,Hands out candy to students that are falling asleep or give good answers. Clearly loves history. Sometimes hard to understand or is not clear on what he is trying to say. Make you spell things correctly on exams! Overall a really good teacher.,11/28/2009,2,2.0,,3,It's my life,3.5,3.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,16154239,0,,good,4,HIST100,"Funny guy, and clearly knows his material.  Enjoyed having him as a professor.  I think he annoyed some students with his political statements, but I wasn't bothered.",08/26/2009,1,1.0,,4,Low,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,1,15846603,0,,poor,1,HIST100,"He is very into himself.  Something about him seems ingenuine.  I didn't learn much in this class, and he didn't inspire me to want to go on in this field.",05/15/2009,4,4.0,,1,Low,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,person
N/A,good,average,good,0,15759288,0,,good,4,HIST100,One of the best classes I have taken so far. The class is easy and Tabrizi is a cool guy. Very approachable and seems interested in helping you out. Overall a fun class.,05/04/2009,2,2.0,,5,Sorta interested,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,poor,0,15107758,0,,poor,2,HIST100,I really don't appreciate a professor attempting to sway students to his political philosophy (especially in a 100 level class with many freshmen). Condescending. Disorganized at the expense of his students and their grades. Annoying.,12/04/2008,2,2.0,,1,Low,1.5,1.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,15025974,0,,good,4,HIST100,"You dont even need to go to class, just read the book. If you do go, you will notice that he just recites the text to you and misses parts of it that are on the test. Very liberal, and pushy about it. Funny though, and worth taking.",11/19/2008,3,3.0,,4,Sorta interested,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,14886885,0,,good,4,HIST100,"Very funny, tells you when taking notes from a powerpoint, what will be on the quiz.",10/21/2008,2,2.0,,4,Really into it,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
