attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,average,good,0,14878544,0,,good,4,HIST100,"Behrooz is amazing!He is so funny and charming, he even gives you candy!!! The class is easy! just show up and you will ACE",10/18/2008,2,2.0,,4,It's my life,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,14677243,0,,good,5,HIST100,"Show up, listen, get an A. Not much work required...at all. He's a very interesting lecturer, he's very enthusiastic about what he teaches, but he can ramble sometimes about the most useless stuff. Probably one of my favorite professors. Only problem was it's at 9am.",07/22/2008,1,1.0,,4,Really into it,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,14073197,0,,poor,1,HIST101,pretentious!,02/05/2008,5,5.0,,1,Meh,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,average,0,13898586,0,,good,4,HIST100,This class was fairly easy and somewhat entertaining.  If you read you will be fine for all quizzes/test. His lectures were kind of all over the place and at times he was hard to follow. The biggest detail I would remember for this class is that spelling counts.  If you spell something wrong...it's wrong...,12/22/2007,2,2.0,,3,Sorta interested,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,1,13848853,1,,good,5,BLA478,"he is pretty eccentric/sometimes awkward, but I liked it. I  thought it was funny. very nice guy, and he knows what he's talking about.",12/16/2007,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,person,person
N/A,average,average,poor,0,13836200,0,,poor,2,HIST100,"Pretty easy class, needs to learn how to speak non-chalantly though.",12/14/2007,2,2.0,,1,Low,1.5,1.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,13575228,0,,good,4,HIST100,"This class  started off difficult but eventually got easier. You learn a lot about world history. The study guides don't help much, you just have to keep up on the reading in the book.",10/30/2007,3,3.0,,5,Sorta interested,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,13528602,0,,good,5,HIST100,No Comments,10/15/2007,2,2.0,,4,It's my life,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,13395985,0,,good,5,HIST100,"He's very nice, but in the context of a large lecture class that covers a HUGE span of time, I found him to be an average teacher - that might've been the class, though",08/10/2007,1,1.0,,4,Sorta interested,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,13395984,0,,good,5,HIST100,"He's very nice, but in the context of a large lecture class that covers a HUGE span of time, I found him to be an average teacher - that might've been the class, though",08/10/2007,1,1.0,,4,Sorta interested,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,13230762,0,,good,5,SOC367,"I don't know how someone can make a class that meets at 8 in the morning fun to go to, but he somehow managed it.  He's so nice, funny, and very intelligent.",06/01/2007,2,2.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,13103862,0,,good,4,HIST100,"Interesting class.  Nice teacher, very friendly and helpful.  Lectures sometimes aren't spectacularly exciting, but still fun.  Final exam is a research project.",05/03/2007,3,3.0,,4,Really into it,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,average,0,13065154,0,,average,4,HIST100,No Comments,04/26/2007,2,2.0,,2,Sorta interested,3,3.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,poor,0,12854541,0,,poor,2,HISTO100,"Dr. G doesn't seem very connected with the material, or with the students.  He talks about a lot of things in class, but I can't figure out what the meaning is.",02/09/2007,3,3.0,,1,Low,1.5,1.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,12324976,0,,good,4,HIST100,Good teacher. Alot of reading but it really helps for the quizes. Very perky even at 8am. Mildly awkward but in a fun way. If you read you'll do well. Power points are not always clear but if you know how to take notes and have read the material you will catch on and do well on the tests,10/27/2006,2,2.0,,4,Really into it,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,12300289,0,,good,5,HIST100,He's awesome. Funny and lively even for an 8 o clock.,10/20/2006,3,3.0,,5,Low,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
