attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Not Mandatory,good,average,good,0,26635447,0,,good,5,IB150,"He is a great lecturer and he really cares that every student understand the material. Before every test, he did a study session that lasted until the last student left. He gives feedback extremely quickly (in less than a week). This is great, especially considering that he has over 600 students! I'd definitely take another course offered by him.",05/22/2016,3,3.0,,5,N/A,5,5.0,1,Yes,Yes,1112,Yes,,A,,people,people
Mandatory,good,average,good,0,26613380,0,,good,4,IB150,"There's a decent amount of online homework , which can be tedious but is pretty easy and boosts your grade. There's extra credit every week to make up for when you forget an assignment or skip lecture. Clegg does review sessions before every test and if you go you're pretty much guaranteed to do well on the test.",05/18/2016,3,3.0,,4,N/A,4,4.0,1,No,N/A,1112,Yes,,B,,people,people
Mandatory,average,good,average,0,26498728,0,,average,2,IB150,"Clegg is a funny man, very energetic and obviously passionate about biology. His test are nothing like his slides, notes, etc. They are mostly critical thinking problems which makes them extremely difficult and confusing. Some would say this is a blow off class, I beg to differ.",05/07/2016,4,4.0,,3,N/A,2.5,2.5,1,No,N/A,1112,Yes,,N/A,,people,people
Not Mandatory,good,average,good,1,26287089,0,,good,4,IB150,The class can be a little difficult but the professor goes above and beyond to make sure each student receives the help that he/she needs to pass. Obvious that he is very passionate and knowledgable about the subject. Takes student feedback into consideration. Phenomenal professor.,04/13/2016,3,3.0,,5,N/A,4.5,4.5,1,Yes,Yes,1112,Yes,,A-,,people,person
Mandatory,average,average,good,0,26112184,0,,good,3,IB150,"great. helps with whatever you need. will always be available. even if the class is hard, you'll be okay as long as you put some effort in.",03/04/2016,3,3.0,,5,Sorta interested,4,4.0,1,Yes,N/A,1112,Yes,,B+,,people,people
Mandatory,good,average,good,1,25833175,1,,good,4,IB150,"It is easy class. There's a lot of chances for extra credit. I got 75 for my first exam and 80 for my final, but still managed to get an A.",12/27/2015,2,2.0,,4,Really into it,4,4.0,1,No,N/A,1112,Yes,,A,,person,person
N/A,good,average,good,1,25816843,0,,good,4,IB150,"Easier than AP bio, and the final has a generous curve. My raw score was a solid B, and with the curve it went up to a solid A",12/23/2015,2,2.0,,5,Really into it,4.5,4.5,1,Yes,N/A,1112,Yes,,A,,people,person
N/A,good,average,good,2,25476869,0,,good,4,IB150,"I loved Ben! He truly knows the subject he's teaching and is super eager to make sure we understand everything. Toughness is average, and it's not hard to get a good grade if you put in the effort. His office hours are great, and you can tell he's wants us to learn, which is great. He cares more about our learning than just points.",11/23/2015,3,3.0,,5,It's my life,4.5,4.5,1,Yes,Yes,1112,Yes,,N/A,,people,people
Mandatory,good,poor,good,0,25326575,0,,good,5,IB150,"Great teacher. Loads of extra credit,  easy online homework. Tests are fair if you study.",11/02/2015,1,1.0,,5,Really into it,5,5.0,1,No,N/A,1112,Yes,,A+,,people,people
Mandatory,good,average,good,2,25280456,0,,good,4,IB 150,"Ben is great!!!! Very generous with extra credit.  Tests are reasonable, but be sure to study.  Online homework is pretty easy, lots of answers can be found on Quizlet and other webpages.  Highly recommend him.  Wish I could have another class just like this one.",10/22/2015,2,2.0,,5,Really into it,4.5,4.5,1,Yes,N/A,1112,Yes,,A,,people,people
Not Mandatory,good,poor,average,0,24751929,0,,good,4,IB150,"Dr. Clegg was such a great professor. He makes the class pretty easy. Do the extra credit, it adds up to around 75 points. I blew off the last test and final and still got an A. Don't forget to do the learning catalytics and homework though. They definitely boost your grade. Overall great, and interesting class. ",05/06/2015,1,1.0,,3,It's my life,3.5,3.5,1,Yes,N/A,1112,Yes,,A+,,people,people
