attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,average,good,poor,2,23144278,0,online,poor,2,IB105,"Terrible teacher, do not take!! She is useless and exams are ridiculously hard. The material on the exams are never even discussed in the lectures or anywhere. Makes it hard to get anything other than a B- on the exams. Avoid this class at all cost especially if you are not a bio major!",05/01/2014,4,4.0,,1,Meh,1.5,1.5,1,No,N/A,1112,Yes,,A-,,people,people
Mandatory,average,good,average,0,22770406,0,online,average,3,IB105,"THIS CLASS IS NOT EASY. YOU DO NOT NEED A TEXTBOOK, BUT YOU DO NEED TO SPEND A SIGNIFICANT AMOUNT OF TIME DONG THE LECTURES AND ASSIGNMENTS. ALOT OF THE MATERIAL MAY BE DRY FOR NONBIO MAJORS.",01/19/2014,4,4.0,,3,Low,3,3.0,1,No,N/A,1112,Yes,,A,,people,people
Not Mandatory,poor,good,poor,0,22523296,0,online,poor,1,IB105,Do not take this class unless you actually are interested in the material. Makes tests and grading nearly impossible.,12/12/2013,4,4.0,,1,Meh,1,1.0,1,No,N/A,1112,Yes,,B+,,people,people
N/A,poor,average,poor,1,22370243,0,online,poor,1,IB105,The instructor is very cold to students' questions. Answer not guaranteed. The reply seems to be cold and she doesn't care for her students.,11/22/2013,3,3.0,,1,Really into it,1,1.0,1,No,N/A,1112,No,,N/A,,people,person
N/A,average,average,average,0,18428004,0,,poor,2,IB102,"Doesn't seem to have a good grasp on the subject matter and often had to ask the TAs for clarification. They seemed to know more than she did. Half the time we spent way too long on easy material, and the other half she rushed through more complex and confusing material. Also, I felt that she talked down to us, as if we were stupid.",04/18/2011,2,2.0,,2,Meh,2,2.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,1,18241809,0,,good,5,ENVST101,An honest and informed professor.,02/23/2011,1,1.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,person
N/A,average,good,average,0,16314383,0,,average,3,IB102,"This class is extremly boring, and way too difficult for being a gen ed. The exams are difficult and there's pointless work.",11/04/2009,4,4.0,,3,Sorta interested,3,3.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,average,0,16311618,0,,average,1,IB102,"A nice professor, but a bad teacher.  Half the time in class is spent covering superfluous information on simple topics, and the other half is spent rushing through concepts she's incapable of explaining simply.  Tests are very difficult, but she tries to make up for it by offering allot of easy points and extra credit.",11/04/2009,5,5.0,,4,Sorta interested,2.5,2.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,15381618,1,,good,5,IB102,This class was too hard for an intro course. The exams were difficult & she blamed the class for doing poorly. Otherwise the class isn't that bad although there is a lot of pointless work in discussion. There is extra credit but it is so terribly long that it's almost not worth doing (like attend a lecture+find additional sources+write a paper),01/16/2009,3,3.0,,4,Low,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,person,people
N/A,good,average,good,0,14351683,0,,good,5,IB102,"Pretty easy, show up to class to  get points...PLENTY of extra credit if you fall behind. online Quizzes are automatic 100's, Exams, not that easy but very doable.",04/26/2008,2,2.0,,5,Low,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
