attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Not Mandatory,good,average,good,0,22133910,0,,good,5,MATH220,"Great teacher, he moves through a lot of material quickly but makes it seem simple and straightforward.",09/22/2013,2,2.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,A,,people,people
Mandatory,good,average,good,0,22073005,0,,good,5,MATH220,Best math professor I have ever had.,08/21/2013,2,2.0,,5,Low,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,22042988,0,,good,4,CALC220,"He's a great professor, lots of office hours, good at what he does, and no mandatory homework. He moves really fast. however. I strongly suggest going to office hours. He's a really nice guy and has a sense of humor. He also doesn't curve so be ready for those exams.",08/10/2013,4,4.0,,5,Low,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,1,21861504,0,,average,3,MATH220,"Miserable class, difficult material. Murphy is misleading with his lectures, and his exams rarely correlate to class. I would recommend another teacher or go to community college for calc if it is required.",06/04/2013,5,5.0,,2,Low,2.5,2.5,1,No,N/A,1112,N/A,,N/A,,people,person
N/A,good,average,good,0,21839733,0,,good,5,MATH231,He is one of the best proffesors I've ever had.  He has lots of office hours where he goes through confusing homework problem.  Also the tests are not that difficult as long as you have been doing all of the recomended homework problems and review guides.,05/29/2013,3,3.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,21682710,0,,good,5,MATH220,"Definitely the best Math teacher I've ever had. Believe me if u work hard in this class with his  teaching to help, u'll be fine.",05/06/2013,1,1.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,21679408,0,,good,4,MATH220,"Very good teacher. Extremely fair and helpful. The material is tough, but everything you need to know he clearly teaches in lecture. My TA was good too. Go to his office hours; he sincerely wants to help his students and will clearly answer any question you have. Use his website for old quizzes and tests, those help a lot.",05/05/2013,3,3.0,,5,Sorta interested,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,21540233,0,,good,5,MATH220,"Murphy is great, but the class itself is challenging. If you put in the time and effort, it will pay off. Do the homework and study. If you're confused, you can always approach him or go to office hours. It's also helpful to have a study buddy or a group.",04/15/2013,3,3.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,21263110,0,,good,5,MATH220,"His lectures are great! However, the hw load is a little bit too much. TA sessions are not all helpful. So choose a good TA! Overall, this is a very good cal1 class and really help you get prepared for cal2.",01/15/2013,3,3.0,,4,Low,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,21262888,0,,average,3,MATH220,"Terrible, difficult, and unforgiving in most respects. Think again if you don't have experience with calculus, because there are better suited classes with more compensating instructors in the same course.",01/15/2013,5,5.0,,2,Sorta interested,2.5,2.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
