attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,good,good,0,22327801,0,,good,5,MCB150,He is enthusiastic while lecturing and youll understand everything he says during the lecture. Its necessary you read the book too tho. Some of the test questions are NEAR IMPOSSIBLE. You literally need to know every single detail (that you would normally think is minuscule) about every option on a multiple choice question in order to get it right,11/16/2013,5,5.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,1,22177614,0,,good,4,MCB150,"For the love of all that is holy DON'T MISS LECTURE! His exams are waaaaaay too hard, but the class is understandable in general. Read and re-read the books and listen to the lectures and you should get a decent grade. BTW, the 2nd exam is a nightmare.",10/14/2013,5,5.0,,5,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,person
N/A,good,good,good,0,21905327,1,,good,5,MCB150,"He is a great, clear professor. Record and re-listen to the lectures and you'll be well on your way to a great grade.",06/19/2013,5,5.0,,4,It's my life,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,person,people
N/A,good,good,good,0,21905316,0,,good,5,MCB150,"Brad is an AMAZING teacher. He is so helpful, crystal clear when explaining things, and is very enthusiastic. I looked forward to going to class. Remember to record his lectures because he is a fast speaker. Just listen to the lectures a couple weeks before the test-- you're going to have close to all the knowledge you'll need. You'll love him!",06/19/2013,4,4.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,21756686,0,,good,5,MCB150,"Brad is a great professor. His lectures are clear and easy to follow, and he is very friendly as well. MCB 150 is a difficult class, but you can do well if you put enough work into it.",05/14/2013,3,3.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,21731694,2,,good,5,MCB150,"He's a great lecturer, but in office hours he's not very... human. Doesn't turn down the ""I'm a proffessor and therefore superior"" -vibe at all, which is weird. I would have really enjoyed his class more if his office hours were more personal and less business because he seems like a cool guy. Class is hard, not impossible: it teaches you to learn.",05/10/2013,4,4.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,21693395,0,,good,4,MCB150,"Brad's an alright professor, although I think his theatricalness can sometimes be a little distracting. If you want to get an A in this class you need to put in the work (going to class, re-listening to lectures). Grading scale is lenient but no curve.",05/07/2013,4,4.0,,4,Really into it,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,21622568,2,,poor,1,MCB150,"This course has made me and countless others decide that we do not want to pursure the MCB major. Brad speaks too quickly and expects too much out of a 100 level class. I hate this class and going to lecture is almost a chore now. If you don't have to take it, don't.",04/28/2013,4,4.0,,2,Meh,1.5,1.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,21603129,0,,good,5,MCB250,"Brad is a great professor. He explains everything perfectly exactly as he wants to. You can succeed in class by going to lecture, but PAY ATTENTION. Exams aren't bad if you relisten to lectures. Time consuming but if you do it, it's pretty easy to get the grade you want. It's a very good class and you will learn a lot.",04/25/2013,3,3.0,,5,Sorta interested,5,5.0,3,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,21537716,1,,good,5,MCB150,"Brad is a great professor! His tests are difficult though. Sometimes, I feel that your exam grade really depends on luck (ex. do you remember that small indiscreet comment he made that one time that this q is referring to...?)  The way to study for this class is to listen to lectures over and over again. If you're lucky, you'll get an A.",04/15/2013,4,4.0,,5,Low,5,5.0,1,No,N/A,1112,N/A,,N/A,,person,people
N/A,good,average,good,0,21483236,0,,good,4,MCB150,"Brad is the best teacher i have ever had! He makes biology interesting to learn and he is a very smart man. If anyone thinks this class is hard it is because they are not trying hard enough. if you study and go to class, you can get a B or higher easily.",04/03/2013,3,3.0,,4,Low,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,21380251,0,,average,3,MCB150,"I really enjoyed this class. It's amazing how much you learn (if you are putting in the effort). Brad is great at giving lectures, but in office hours he is very condescending.",03/03/2013,5,5.0,,2,Really into it,2.5,2.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,average,0,21250541,0,,good,4,MCB150,"This class takes a lot of work and studying. Its very difficult, but definitely doable. Brad makes lectures interesting kind of a theater guy. Bring a recorder to lectures and study the power points.",01/12/2013,5,5.0,,3,Really into it,3.5,3.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,1,21133143,0,,good,5,MCBADC,Great teacher. Lion Kinged his baby in Follenger. Love.,12/20/2012,4,4.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,person
N/A,average,good,average,0,20774601,2,,average,3,MCB150,"For the purposes of MCB 150 Mehrtens is not a bad professor, but if you have to take any MCB above 150 I recommend you pass on him if possible. Test are from lecture and contradictory to the book, where the homework is from. My TA was great, probably why I got a C. There was even one time when my TA said he told us Mehrtens gave us incorrect info",11/04/2012,5,5.0,,2,Sorta interested,2.5,2.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,20714424,0,,good,5,MCB150,"the class is tough because the exams are hard, but overall I didnt think it was bad especially because an 88% is an A.",10/18/2012,2,2.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,20708389,0,,good,5,MCBATP,Awesome professor. Convinced me to become a bology major. Lovin' life (no pun intended),10/17/2012,4,4.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,good,0,20457676,1,,good,3,MCB150,"SOme people say hes the best professor at uofi I personally think he is extremely fake, and wrongfully theatrical which detracts from the learning.The tests are 90%lecture  (as you are paying to be taught, not so you can teach yourself through reading)which can be a problem for those that skip, PARTY HARD but PUT IN EFFORT for school DON'T SCREW UP",07/01/2012,4,4.0,,5,It's my life,4,4.0,1,No,N/A,1112,N/A,,N/A,,person,people
N/A,good,poor,good,0,20385851,0,,good,5,MCB150,"Best prof ever!!!!!! He makes bio so interesting to me! He well organizes all the course material and makes hard stuff really easy. I strongly suggest everyone should try to go to his lecture sometimes. It is such an enjoyment.  After taking his MCB 150, I set my mind to switch my major to biochemistry from chemistry.",06/06/2012,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,20341438,0,,good,5,MCB150,"Brad is a fantastic teacher.  He makes complicated material easy to understand and is clearly very interested in what he's teaching.  It's a hard class, but Brad is aware of this and prepares students well for the exams.  Even though the exams are hard, there really aren't any surprises as long as you record the lectures and read the textbook.",05/24/2012,2,2.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
