attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Mandatory,good,poor,good,0,25092069,0,,good,5,ANTH270,"Professor Farnell is one of the best professors by far on campus that I have taken a class for. Her lectures are very interesting and full of humor. In the class I took we only had 3 papers due the whole semester, and numerous extra credit points were given. It was nice to have a professor who actually cared to teach and was passionate.",08/04/2015,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,Yes,,A,,people,people
Mandatory,good,average,good,0,22691503,0,,good,5,ANTH104,"Professor Farnell is a strict but very helpful professor. She is very interested and engaged with students. For this class, attendance was mandatory. She focuses on your ability to write clear and concisely which helps you become a better writer in the end.",01/03/2014,3,3.0,,5,Meh,5,5.0,1,Yes,N/A,1112,N/A,,A,,people,people
Mandatory,good,poor,good,0,22372815,0,,good,5,ANTH104,Sweetest lady with a great British accent! No tests but a few papers and online posts but if you take good notes they will be a breeze. Really enjoyed this subject as well.,11/22/2013,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,A,,people,people
N/A,average,average,average,0,21610466,0,,average,3,ANT165,"This class was very interesting and i enjoyed learning about Native American Culture. This is an elective class  but there's more papers/projects than you would expect. Plus if you turn in a paper that she doesn't like, she will return it to you and make you go to the writing lab to rewrite it.",04/26/2013,3,3.0,,3,Really into it,3,3.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,21229277,0,,good,5,ANTH104,she is really nice. no exams. just 3postings (150-250 words) 3 papers (650-750)and you can write more postings to get extra credits.,01/08/2013,1,1.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,21179097,0,,good,5,ANTH104,The class was super easy. There were a lot of readings but you do not have to complete any of them really. Just show up to class and write 3 essays across the whole semester. Prof is very nice but the class was a bit slow sometimes.,12/28/2012,1,1.0,,4,Meh,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,1,21036378,0,,poor,2,ANTH104,I thought this class was so uninteresting. attendance is mandatory and i even listened in class but i felt like i did not learn or understand anything. there's no exams though..only papers. i would recommend a different gen-ed over this one.,12/12/2012,3,3.0,,2,Meh,2,2.0,1,No,N/A,1112,N/A,,N/A,,people,person
N/A,good,poor,good,0,20311821,0,,good,5,ANTH104,"Took this class as a gen-ed. Being in engineering it was a total breath of fresh air, super easy and interesting at the same time.  No exams, three papers and three compass posts. Also very generous with extra credit. Her English accent was enjoyable too. Definitely would recommend the class and Farnell.",05/18/2012,1,1.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,poor,average,0,20230843,0,,average,3,ANTH104,"This class was by far one of the easiest courses I have taken. Honestly, I was able to get by wihtout doing any of the many ""required"" readings. Prof. Farnell has good intentions and is obviously very knowledgeable, but I had trouble finding interest in this class (counted as gen-ed). She is very understanding if you approach her as well.",05/08/2012,1,1.0,,3,Meh,3,3.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,18116466,0,,good,2,ANTH165,"Very nice lady! The material was somewhat difficult to keep up with because there was lots of reading; however, I learned so much! You can't B.S. your work and as long as you find interest in the class and attend the extra credit opportunities, you will do awesome! She's very understanding to a certain extent.",01/10/2011,3,3.0,,5,Meh,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,17960372,0,,good,4,ANTH165,"Extremely easy course. Prof. Farnell is such an easy grader, and she makes classes interesting none the less. I learned a lot about native americans while getting an easy A.",12/16/2010,1,1.0,,4,Sorta interested,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,poor,average,1,15815141,0,,average,3,ANTH270,"This was an interesting course, and I appreciated the focus on Native American history, language and religion. It is disappointing to know that there are still bigoted students - this was NOT a course about &quot;blaming white people.&quot; That is such a ridiculous and wholly ignorant assertion.",05/11/2009,1,1.0,,3,Sorta interested,3,3.0,1,No,N/A,1112,N/A,,N/A,,people,person
N/A,good,poor,good,0,15798465,0,,good,5,ANTHR104,"super easy class. learned alot, felt like it was a highschool class. no tests, everything is take home. oh yeah unlimited extra credit. easy A.",05/08/2009,1,1.0,,4,It's my life,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,average,0,15240349,0,,good,4,ANTH271,"What was up with not having any of the textbooks available at the bookstores because the bookstores &quot;sell chief merchandise&quot;&#63; It's ok for her to boycott places if she likes, but forcing hundreds of students to do the same is just wrong. It was darn hard trying to find those books, especially when one didn't ship. Jeez. Easy class, though.",12/19/2008,1,1.0,,3,Really into it,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,12298230,0,,good,5,ANTH270,"Recommended; nice, easy-going, definitely knows her stuff. Interesting subject matter, but come to class (notes here are crucial) & keep up on the reading (more handouts & pdfs than text) if you want to get a decent grade. However, the TA was horrible.",10/19/2006,3,3.0,,4,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,11252780,0,,good,5,ANTH104,I really enjoyed this class.  I learned alot and declared Anthropology as my major right after taking this course.,12/24/2005,3,3.0,,5,Sorta interested,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
