attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,average,good,good,0,20582804,0,,good,3,PHYS102,hard class. professorial is helpful,08/17/2012,5,5.0,,5,Sorta interested,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,20325175,0,,good,4,PHYS102,"For a 100 level class, the material is very challenging. You have to stay on top of it all semester. 3 hour exams weren't bad, but the cumulative final was brutal & was worth 25% of your grade. Demarco was really good at explaining the material & enjoyed answering q's.  Much more interesting than 101, but prepare to spend lots of time studying.",05/21/2012,4,4.0,,4,Low,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,19105014,0,,good,4,PHYS102,"Do not expect this to be an easy class. The material is difficult and you go through a lot very quickly. But he is a good professor who takes his time to explain things. Go to every lecture, book is not necessary, and buy the slideshow packet; everything is in there and otherwise it's impossible to take notes. Really stay on top of this class.",10/25/2011,5,5.0,,4,Sorta interested,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,16610097,0,,poor,1,PHYS140,Theres a reason why the former professor of this class gave extra credit like crazy. Its a very tough class for something thats supposed to be rudimentary physics for non-majors. Demarco just made the class even more ridiculously tough. Don't take this course choose another class. The administration teaching now totally sucks,12/20/2009,5,5.0,,1,It's my life,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,14887546,0,,good,4,PHYS140,"Probably the best professor I've had!  I had never taken physics before this and went in with next to no interest, but I was actually sad when the semester was over!  Prof Demarco does a great job of keeping lectures interesting and really relating concepts to every day life.  If there was another course like this I would take it as an elective!!!",10/21/2008,2,2.0,,5,Meh,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,13978998,0,,poor,2,PHYS140,"You dont need the textbook. If you've taken physics, this is an interesting class. Disc. Room is easy!!!! Use previous tests to study. Tests can be tricky w/ new and unseen q's. Go to class, b/c you learn alot about everyday things. He's easy to understand. Book not needed!!! Save the money... answers to HW in lectures basically!!!!",01/10/2008,3,3.0,,2,Really into it,2,2.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,13961678,0,,good,3,PHYS140,"Not my favorite class ever. Note taking wasn't possible and a lot of the demos were unreasonable and didn't pertain to or help with the subject. Kind of arrogant. But, it's an easy quant II credit and there are so many people in the class you're going to know someone else for sure--that makes it easy to study. Take it, but don't expect to love it.",01/08/2008,3,3.0,,4,Meh,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,13713717,0,,good,4,PHY140,"He is a really awesome teacher, his lectures are really entertaining.  He is always doing cool demos.  The tests can be kind of difficult, however if you read the book you will do fine.  I really recommend this class, i enjoyed and i hate science",11/28/2007,2,2.0,,5,Low,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,13202582,0,,good,5,PHYS140,"I never took physics before so the class was a challenge.  But, since most people have just go to lecture and enjoy his demos.  He loves teaching and its a fun class. Once you understand the concepts the test are easy.However, if you aren't positve on the answer during the exam a lot of the choices seem feasible. He is so approachable!Take it!",05/23/2007,4,4.0,,5,Sorta interested,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,average,0,12795533,0,,good,4,PHYS140,"Fun class, he really wants everyone to have a good time while learning. Although some subjects aren't interesting, he cares about what interests you. Tests can be tough but if you prepare well you will be fine! Find friends to check over the homework with (you're bound to know at least 5 other people taking the class.)",01/19/2007,2,2.0,,3,Really into it,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
