attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Mandatory,good,good,good,0,25350716,0,,good,5,MBAD511,"I have been working on my MBA for three years, and Prof. Lily remains my favorite professor.  He managed to make Statistics fun, interesting, and relevant.  Statistics!  You will work your butt off in this online class, but you will come away with skills that you can use NOW in your job.  He is super fast at responding to questions.  A+++",11/05/2015,4,4.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,Yes,,A-,,people,people
N/A,good,average,good,1,23764812,0,,good,5,ECE398,"Brian Lilly co-taught this class. He's an amazing guy with a wealth of experience from starting several companies on his own. He holds his students to a high standard but if you don't respect him and his time you'll definitely get on his bad side. He's funny, extremely helpful, resourceful and fun. I'd take another class with him in a heartbeat!",11/07/2014,2,2.0,,4,Really into it,4.5,4.5,1,No,N/A,1112,Yes,,N/A,,people,person
Mandatory,good,poor,good,0,22926249,0,,good,5,TE461,Great professor. Class is based on one major project. His lecture can be interesting and the class is easy if you put forth the effort.,03/19/2014,1,1.0,,5,Really into it,5,5.0,1,No,N/A,1112,N/A,,A,,people,people
N/A,good,poor,good,0,15453970,0,,good,5,GE161,"Good teacher, but this class is just.. useless.  I don't think I learned anything from it.  What could be taught in maybe 2 weeks as part of another course is spread out through half of a semester here.",02/10/2009,1,1.0,,4,Meh,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,14186068,0,,good,5,GE161,he's awesome...,03/20/2008,1,1.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,14007300,0,,good,5,GE161,very good.,01/16/2008,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,12951647,0,,good,5,GE161,"Very good teacher as long as you put out a bit of effort. If you don't show up, he will not help you at all, and will work against you.",03/29/2007,1,1.0,,5,Really into it,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,11621263,0,,good,5,GE161,Very flexible with homework as long as you put forth effort. He's more interested in students truly understanding and learning than just giving out work. Lectures were interesting and only once a week. When he found out how expensive our textbook was he changed the syllabus so we didn't have to buy it...EXCELLENT professor!!,03/28/2006,1,1.0,,5,It's my life,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,average,0,3666084,2,,average,5,GE161,"Kicks butt as a teacher, but needs more self-confidence. Lectures are only once a week, so make em. And they sometimes include MOVIES!",04/20/2005,1,1.0,,1,It's my life,3,3.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,3664202,0,,good,4,GE161,"Has a wealth of experience from starting several engineering businesses of his own.  He relates everything in class to real life situations, and doesn't ask students to do anything that he hasn't found useful himself.  He is an exciting lecturer and get students excited about class material.",04/19/2005,2,2.0,,5,It's my life,4.5,4.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
