attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Mandatory,good,average,good,0,26449256,0,,good,5,CMN102,He is very passionate about his teaching and he is very good at it. Very interesting lectures. The information is not very difficult as long as you pay attention and take good notes. Definitely recommend this class!,05/03/2016,3,3.0,,5,N/A,5,5.0,1,Yes,N/A,1112,Yes,,A-,,people,people
Mandatory,good,average,good,0,26091948,0,,good,5,CMN102,Awesome,02/26/2016,3,3.0,,5,Really into it,5,5.0,1,Yes,Yes,1112,Yes,,N/A,,people,people
Not Mandatory,good,average,good,0,25976135,0,,good,5,CMN102,He's the best professor in this university!I promise you won't regret taking his class!Lectures are amazing and inspirational!I wish I can take it every semester!,01/21/2016,2,2.0,,5,It's my life,5,5.0,1,No,Yes,1112,Yes,,A+,,people,people
Not Mandatory,good,average,good,0,25905573,0,,good,5,CMN102,Prof Quick is awesome! He's so enthusiastic and cares about the students. Great TAs as well. Discussions are mandatory to recieve participation. Only 4 exams and you get to drop 1. At least 5 opportunities for extra credit each semester.,01/08/2016,2,2.0,,4,It's my life,4.5,4.5,1,Yes,N/A,1112,Yes,,B+,,people,people
Mandatory,good,average,good,1,25640807,0,,good,5,CMN102,"Prof. Quick is a cool cat and a great teacher. He explains concepts well and is easy on the eyes. Most importantly, he is one of those teachers that CARE about their students. He isn't on a power trip. I HIGHLY recommend taking a course with him! Tip: You need to take notes in class though!",12/11/2015,3,3.0,,4,Sorta interested,4.5,4.5,1,Yes,N/A,1112,Yes,,A-,,people,person
Not Mandatory,good,poor,good,0,25237534,1,,good,5,CMN102,"notes from lecture are necessary, but no participation grade. you can skip all sections and write a term paper, or go to all but one and complete an easy weekly worksheet. very easy class",10/08/2015,1,1.0,,4,Sorta interested,4.5,4.5,1,No,Yes,1112,Yes,,A,,person,people
Not Mandatory,good,average,good,0,25056484,0,,good,5,CMN102,"Listen up: this is the best professor in the CMN department and debatably the entire university. It is literally unreal how great of a Professor he is. I am now a senior and I have never had an experience quite like his class. He dumbs down the material so much! If you are a CMN major, do not even THINK about having someone else teach this to you!",07/21/2015,3,3.0,,5,It's my life,5,5.0,1,Yes,Yes,1112,Yes,,A+,,people,people
N/A,good,average,good,0,24730592,0,,good,5,CMN102,Brian is a really nice guy and i really find this class useful and practical. ,05/04/2015,2,2.0,,5,Really into it,5,5.0,1,No,N/A,1112,Yes,,A-,,people,people
Not Mandatory,good,average,good,0,24413878,0,,good,5,CMN102,"Not only was he engaging, hilarious, and nice to look at, but he was a great teacher. Always made the content clear and relatable with a lot of examples. Discussions also really helped clarify concepts. Tests were easy as long as you reviewed your notes. No book. ",02/25/2015,2,2.0,,4,Sorta interested,4.5,4.5,1,No,Yes,1112,Yes,,A,,people,people
N/A,good,average,good,1,24340994,0,,good,5,CMN102,"Pretty fun class, required for my major. Interesting, and interactive lectures. ",01/28/2015,3,3.0,,4,Really into it,4.5,4.5,1,Yes,Yes,1112,Yes,,N/A,,people,person
