attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,average,average,0,18582845,0,,good,4,PSYC224,Fairly easy class. Exams are difficult but will be curved. Reading book and attending to class are really necessary.,05/11/2011,2,2.0,,3,Really into it,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,18374038,0,,good,5,PSYCH224,"I really enjoyed this class and Professor Ross is an amazing professor who knows his stuff.In terms of difficulty, it's what you'd expect from a psych class. You have to know the concepts well and be able to apply them. If you read the book and take good notes you'll be fine. Also, the past exams are REALLY helpful too. Great and interesting class!",04/07/2011,2,2.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,17176946,1,,good,4,PSYCH224,"Pretty difficult class though Ross is a very competent instructor and tries to make it more palatable by putting slides/past exams on Compass. Great teaching style, very entertaining and methodical. Read the book, go to class and do the past exams and you should be okay.",05/11/2010,4,4.0,,4,Really into it,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,person,people
N/A,good,average,good,0,16753089,1,,good,5,PSYC224,"A lot of people think this class is hard, but honestly if you go to class and read the book it's really not. He's a good, fair teacher and tries to keep the lectures interesting by showing at least 1 YouTube clip per lecture. The first test might freak you out, but it gets easier. I definitely recommend the practice tests - they make a difference.",01/24/2010,3,3.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,person,people
N/A,good,good,good,1,16395651,0,,good,4,PSYC224,Difficult exams but they're curved. Important to do the reading. Gives practice exams for the first two tests but not the final. Lectures were a little boring sometimes but he tried to make them interesting with videos.,11/18/2009,4,4.0,,4,Sorta interested,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,person
N/A,good,average,good,0,15877913,0,,good,4,PSYC224,psyc 224- Great prof. just go to class and read the book(pretty decent if you just read it like ross speaks). know key concepts for exam and your good.,05/21/2009,2,2.0,,5,It's my life,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,15704358,0,,good,4,PSYC224,"I LOVED this class. Ross is great at explaining things in a way that you can related to. Although this class is harder than other psyc classes, bio psycs are usually going to be harder. The exams are pretty tough, but there is a HUGE curve. In the last exam, a C was curved to an A. This is a hard class, but the material is really interesting!",04/24/2009,4,4.0,,5,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,15684578,0,,good,4,PSYC224,"I guess I'm in the minority who thought he wasn't that difficult. Maybe it's more difficult if your not a psych major, but I found if you go over the practice exams before the real exam it's not too bad (and however lazy you think you are, I promise I do less work).",04/21/2009,2,2.0,,4,It's my life,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,15603371,0,,good,4,PSYC224,"good man, let me take a makeup exam because i came in late after people had already finished the test, lectures are interesting, funny, good examples, test are challenging but curved. i enjoyed the class.",04/03/2009,2,2.0,,4,Really into it,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,15521533,0,,good,5,PSYCH224,"Personally, I think he's a really good teacher. If you study the material that he tells you to, you'll do fine on the tests. He's also pretty funny.",03/10/2009,2,2.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
