attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Not Mandatory,good,average,good,0,23245794,0,,good,5,AE202,Great lecturer. Always talking about his personal airplane and flying that while discussing airplane maneuvers and aircraft properties. Really knows his stuff and loves to talk about this class,05/14/2014,3,3.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,A,,people,people
Not Mandatory,good,average,good,0,22826098,0,,good,4,AE402,"Great professor. I wish he would post his syllabus and homework online, but class is never boring.",02/07/2014,3,3.0,,4,Really into it,4,4.0,1,Yes,N/A,1112,N/A,,A,,people,people
N/A,good,average,good,0,19053442,0,,good,5,AE199,I looked forward going to this class. It was one of my favorite's and he was very good at teaching the material. He was always in his office and willing to help. There was one test and it was exactly like the homework assignments. He is a fair grader. Any class with his is recommended!,10/08/2011,2,2.0,,5,Really into it,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,18576025,0,,good,4,AE402,"Prof Conway was one of those great types of teachers that loves what they teach and shows it in class. As mentioned, the tests are somewhat here-and-there with content, and it's more a race to see what you can get done than a real mind-bender, but I think he gets the knowledge across just fine.",05/11/2011,2,2.0,,5,It's my life,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,17513492,0,,good,5,AE201,"Easy and interesting class with Conway. Uses the board a lot, homework is straightforward and very similar to test problems. Tests are somewhat long, but the problems are not difficult. Most students get As in this class",08/15/2010,1,1.0,,3,It's my life,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,14542111,0,,good,5,AE201,Excellent teacher and was clear in lecture too.  Was helpful towards students - had lots of office hours and replied to emails pretty fast.  Only negative are the tests which were long and a race against time.  Grading was very fair.,05/31/2008,2,2.0,,5,Really into it,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,average,0,12498430,0,,good,4,AE402,"Exams are races against the clock rather than tests of knowledge.  Grading is rather capricious, weighting of questions only determined after the fact.  Teaches well, but needs to sort out exams.",11/30/2006,3,3.0,,3,Low,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,11546753,0,,good,5,AE201,this guy is amazingly clear,03/06/2006,1,1.0,,5,It's my life,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,average,0,1081673,0,,good,4,AAE204,"Bruce is hilarious, and gives open book tests!",08/08/2003,2,2.0,,3,N/A,3.5,3.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,946661,0,,good,4,AAE204,No Comments,05/10/2003,3,3.0,,4,N/A,4,4.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
