attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,poor,good,0,20685283,2,,good,5,HIST374,"Literally did none of the readings for the class and got an A. Just go to the lectures and take good notes. Attendance is mandatory, but the only grades are short very easy papers (4-5 pages). Class has a grader.",10/08/2012,1,1.0,,3,Low,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,1,20400699,1,,good,4,HIST171,I honestly didn't read and I got an A. You do need the books for discussion. You really don't need to take notes in class. He's really nice and personable. Very smart.,06/11/2012,1,1.0,,4,Sorta interested,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,person,person
N/A,good,average,good,1,20214180,0,,good,5,HIST374,"Professor Levine is a great lecturer. He is so easy to understand. There are three short (4-5 page) papers for the class and attendance. Lecture it really interesting. Great class, great professor, fairly easy as long as you keep up with him in lecture and do some of the readings.",05/07/2012,2,2.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,person
N/A,average,average,average,1,19565764,0,,good,3,HIST171,"Lectures are okay. Don't bother taking notes. Just do the readings and you'll be fine. Also, attend discussions no matter what! There are only 2 quizzes, a midterm, and a final...so don't get behind in readings. The final is 2 essays. He gives you 7 a week before the test. 4 are on the test and you have to pick 2. So easy.",12/19/2011,2,2.0,,4,Sorta interested,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,person
N/A,good,average,good,0,18045189,1,,good,5,HIST374,Very intelligent. Spends the whole class lecturing but there is no outline on his powerpoints. Read the primary documents over the textbook because the 3 tests (the only grade other than attendance) require heavy primary source references. Good course- lectures sometimes dry.,12/26/2010,3,3.0,,4,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,person,people
N/A,good,poor,good,2,17326512,0,,good,5,HIST374,Professor Levine is brilliant. He knows what he's talking about.,06/11/2010,1,1.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,2,16670442,1,,good,5,HIST495,Great professor. Very engaged and knowledgeable. Take any class you can with him.,01/03/2010,4,4.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,person,people
N/A,good,average,good,0,15527093,2,,good,4,HIST374,It's a pretty easy class if you do the reading but beware: attendance is mandatory and he's a pretty boring lecturer.,03/12/2009,2,2.0,,4,Sorta interested,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,2,14248632,0,,good,5,HIST374,"Levine is pretty good. Civil War and Reconstruction really is not that hard. The entire grade is based on 3 take-home essay exams, which you have about a week to finish (3-5 pages). I guess it depends on who the grader is, but Bao Bui is the grader now, and he doesn't grade that hard. If your interested in the Civil War, you will love it! Very Cool",04/06/2008,1,1.0,,4,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,2,13354695,0,,good,4,HIST200A,"Awesome professor!  Informative and entertaining.  Class had a lot of reading, but a minimal amount of writing for this sort of class, and discussions were great.",07/25/2007,2,2.0,,4,Really into it,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
