attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,poor,average,0,20299932,0,,good,4,CHLH100,Class was extremely easy. In class quizzes occasionally for attendance. Study guides given for exams. Exams were easy if you studied using the study guide given. Textbook was rarely used.,05/17/2012,1,1.0,,3,Sorta interested,3.5,3.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,20228890,0,,good,5,CHLH100,If you go to class this course is a pretty easy A. I saved this class for my final semester and it was perfect.  Just sat up front and pretended to care.  Prof. Holmes was a really nice guy and did seem to care about the topic and his students if that matters to you.  So Long UIUC!,05/08/2012,2,2.0,,5,Low,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,20228796,0,,good,4,CHLH250,"Class was very interesting, but the weekly homework was a bit boring and required attendance.  Biggest bonus was there was no text book and everything you needed was on Compass.  The reviews were really helpful too.  I would recommend taking any class taught by Mr. Holmes",05/08/2012,3,3.0,,5,Sorta interested,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,19643176,0,,good,5,CHLH100,Very easy class! He'll tell you everything you'll need to know for the exam....so go to class....the assignments are extremely easy so make sure you do all of them! I got all B-'s on every single exam and since I did all of the homework I still got an A in the class. The same grade as those who studied hard enough to get As on all of their exams :),12/30/2011,1,1.0,,4,Really into it,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,19108162,0,,good,4,CHLH250,This was so boring I dropped. Easy A.,10/25/2011,1,1.0,,4,It's my life,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,average,0,14580281,0,,good,4,CHLH243,"he's a good teacher. funny, attendance is important, and he understands that no one really cares about the classes he teaches enough to take it completely serious. he's a good guy but semi-hard grader",06/12/2008,2,2.0,,3,Really into it,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,average,0,14368675,0,,good,4,CHLH100,completely average. he's really tall,04/29/2008,3,3.0,,3,Sorta interested,3.5,3.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,good,0,14013152,0,,good,3,CHLH304,"This class sucked!  With Dr. Sionean and Charles not knowing what they want from week to week is was ridiculous.  If you need a Comp II Charles was alright in discussion and VERY helpful, but wait for Farner for lecture...Much easier",01/17/2008,4,4.0,,5,Low,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,13850015,0,,good,4,CHLH100,This class is a joke in how easy it is...Charles is a great teacher and I would recommend it to anyone looking to laugh and do next to nothing.  Only downside was that attendance was an important part of the grade,12/16/2007,3,3.0,,4,Sorta interested,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,12937619,0,,good,5,CHLH206,Great Class....,03/22/2007,2,2.0,,5,Sorta interested,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
