attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Mandatory,poor,good,average,0,25729036,0,,average,1,MCB244,Was hard to understand in lecture and did not explain in the clearest way. Exams always had mistakes and were worded in the most confusing manner - almost all questions are deliberately designed to trick you. Very unorganized class overall! ,12/16/2015,4,4.0,,4,Sorta interested,2.5,2.5,1,Yes,N/A,1112,Yes,,B+,,people,people
Not Mandatory,average,good,average,0,25351492,1,,average,2,MCB244,"Brown clearly loved teaching us, but he loved to go off on tangents and generally talk a lot about nothing. The online homeworks were manageable and iClicker participation gave us easy points. The tests killed. Absolutely killed. Wording was convoluted and he never managed to curve our exams as he said he would.",11/05/2015,4,4.0,,4,Really into it,3,3.0,1,Yes,N/A,1112,Yes,,A-,,person,people
N/A,good,average,good,0,24312921,0,,good,4,MCB244246,"Brown is a really nice guy. His office hours are helpful, but I feel like many of the people who complain about him did not take advantage of his office hours. The tests are not easy, but if you are in lecture and do the readings you will get a good grade. There are plenty of points to balance out a bad exam. ",01/20/2015,3,3.0,,4,It's my life,4,4.0,1,Yes,Yes,1112,Yes,,A+,,people,people
Not Mandatory,poor,good,poor,0,22776721,0,,poor,1,MCB244,"WORST.CLASS.EVER. I just don't like how he told the class he would curve the grade, but never did; especially since I was only a few points away from getting a B-. Brown and Kwast are important researchers to this school which is why they are still here.",01/21/2014,5,5.0,,1,Really into it,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,22666803,1,,poor,2,MCB244,"Very unorganized class. Only some final scores got curved, but not all.",12/28/2013,4,4.0,,2,Sorta interested,2,2.0,1,No,N/A,1112,N/A,,N/A,,person,people
N/A,average,good,average,0,21861135,0,,poor,2,MCB246AND247,I thought exams were very detailed and a little difficult. The lecture with the lab with all your other classes was pretty tough. The lab requires most of your attention per week. Always said he will curve the class but then he never did.,06/04/2013,4,4.0,,2,Really into it,2,2.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,21805165,0,,good,3,MCB244AND246,"It is really hard to teach Anatomy and Physiology within a semester because of the detail. Because of that, this class feels like one big cram session. I love the subject, so I studied, but he, along with the entire MCB dept, DOES NOT KNOW HOW TO WRITE EXAMS. Exams are never coherent and just poorly worded. He's very nice and knowledgeable though",05/21/2013,3,3.0,,4,Really into it,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,20316422,0,,poor,2,MCB246,"Just read off slides. I don't take the time to email professors often, so when I do it's something I actually really care about, and he just never responded",05/19/2012,3,3.0,,2,Low,2,2.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,1,18640768,0,,poor,2,MCB246,"Brown just read off of slides made by the textbook company, and for some reason never put them up until right before lecture. Very disorganized. Took weeks and months to put up exam and homework grades. I don't know why people keep saying the curve is good. An 89.9% is a B+ and doesn't get curved up.",05/20/2011,4,4.0,,2,Sorta interested,2,2.0,1,Yes,N/A,1112,N/A,,N/A,,people,person
N/A,average,average,average,0,18626498,0,,average,3,MCB246,"Brown is a decent lecturer (better than Kwast) but this course is an administrative nightmare: exam grading taking 3+ weeks, homework grading taking 2 months, etc. Exams are heavily curved because the averages tend to be somewhat low. Not a terribly difficult class but very poorly organized.",05/18/2011,2,2.0,,3,Sorta interested,3,3.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,average,0,18621526,0,,good,4,MCB246,"Brown's exam questions are straightforward and easy, no textbook is required. They curve the exams so much (&gt;87% = A+). But this was the most unorganized class I have ever been in. Exams take +3 1/2 weeks to get back (most of it's scantron) and homework was graded 2 months after it was due. Brown never responds to emails as well.",05/17/2011,1,1.0,,3,Really into it,3.5,3.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,18007606,1,,good,4,MCB244,"Best of the 244 profs, his exams are very straightforward & not tricky or confusing like Kwast's. Explains well in lecture & has a very likable personality. Class was a snoozefest except for Meisami being funny bc the slides were read verbatim & iclickers were only used in the beginning of the course so attendance wasn't mandatory.",12/20/2010,3,3.0,,4,Really into it,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,person,people
N/A,good,average,good,0,16699639,0,,good,4,MCB103,"Nice guy, somewhat monotone, but can still be funny.Lectures online, but going to class can be helpful to clarify material. Don't buy textbook.  Coloring book helped. Find someone who already took the class with the study guide filled out, bumped me up to a solid A w/ those extra credit points!",01/09/2010,3,3.0,,4,Really into it,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,15808229,0,,good,5,MCB103,"I took mcb 100 and that was impossible. but 103 was soo much better than that!! Prof. Brown makes learning the material interesting and easier. don't get me wrong, this class is a lot of work. but it's &quot;doable.&quot; tests are very fair and doesn't ask for specific, random details.",05/10/2009,4,4.0,,4,Sorta interested,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,15748276,0,,good,5,MCB103,"Made MCB approachable and easy to understand. Dr. Brown is incredibly fair, his lectures are thorough and he has reasonable expectations of his students (i.e. doesn't make you memorize minute details). Not hard to get an A if you study. Time consuming&#63; yes. Hard&#63; no.",05/01/2009,1,1.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,15684263,0,,good,4,MCB103,"First off, if you're going to take this class as an elective (which is what I did), think twice. It's A LOT of work. Getting an 'A' isn't difficult, but it will require you to spend hours answering trivial questions on a study guide and then memorizing tons of material- Usually around 25 written pages. My advice&#63; Find a friend and split the work.",04/21/2009,3,3.0,,4,Really into it,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,15659070,0,,good,4,MCB103,"Tests were fairly easy, two essays worth almost half the points and the rest multiple choice.  He grades on his own curve, which he sets the B/C line at the class average (for my class it was 82%).  Final was NOT cumulative.  Put in effort and it will be easy.  The MCB 104 Lab sucks.",04/16/2009,2,2.0,,4,Sorta interested,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,14949166,0,,good,5,MCB103,"He is very fair, and his tests are pretty easy",11/06/2008,1,1.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
