attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,average,good,0,20616110,0,,good,5,CMN111,"Great instructor who does everything he  can to set his students up for success. Seriously, if you didn't do well on an assignment, its your own fault. He gives the most detailed outlines that it is impossible to fail if you follow what he says to do.",08/29/2012,2,2.0,,5,Really into it,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,20615420,0,,good,5,CMN112,recommend,08/29/2012,2,2.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,20615285,0,,good,5,CMN102,"If you have to take summer classes, make sure you have him. You don't be bored.",08/29/2012,3,3.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,20615271,0,,good,5,CMN429,he's one of the few who cares about what he teaches,08/29/2012,3,3.0,,5,Really into it,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,20615073,0,,good,5,CMN429,"2Pac on the 1st day=awesome. Exceptional teacher who can teach a great course w/o a required book. He posts all the readings which is free & awesome. Plust, he's hot and that makes going to class a lot easier.",08/29/2012,4,4.0,,5,Really into it,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,18551837,0,,good,5,CMN112,This class sucks with the wrong TA. Get him and your good. Said a speech hungover and he understood and got an A. Seriously he's real chill and flexible and you actually learn all at the same time.,05/08/2011,1,1.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,18443879,0,,good,5,CMN111,recommended!,04/20/2011,1,1.0,,5,Sorta interested,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,18443143,0,,good,5,CMN112,Great Guy,04/20/2011,2,2.0,,5,Really into it,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,18339393,0,,good,5,CMN111,Chris is the best. Very nice and always responds to emails fast,03/31/2011,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,16460427,0,,good,4,CMN220,Fun Teacher!,12/03/2009,3,3.0,,5,Low,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,15615710,0,,good,5,SPCM111,"I had Chris for both SPCM 111 and 112. He is, by far, one of my most favorite teachers. He's really nice and pretty funny. On the first day of class, he's probably going to make it seem like he's such a hard grader but he's totally not. As long as you follow the outlines, you'll be fine. I hate giving speeches but I loved going to his class.",04/06/2009,2,2.0,,5,Low,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,15540183,0,,good,5,SPCM112,He is great! All his instrcutions for assignments can't be better! Very nice TA. Definitely take his class!,03/17/2009,2,2.0,,5,Sorta interested,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,15215187,0,,good,4,SPCM021,Chris was an awesome TA. He tells you what he wants to see in an assignment and gives you really helpful feedback when you need it. He cares about students and their success. Definitely recommend him if you're taking this course.,12/16/2008,3,3.0,,5,Sorta interested,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,15190035,0,,good,5,SPCM111,Chris is ALWAYS flexible and willing to help out his students... He gives extremely specific outlines and guidelines for every single assignment so it is virtually impossible not to do well on an essay or speech... He is always understanding and genuinely wants to teach students to their potential... =) overall the class was really great with him,12/14/2008,2,2.0,,5,Sorta interested,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,14669150,0,,good,4,SPCM111,"Josey was the bomb. Class was at 8:00am but he managed to keep us awake for the most part, even though the class topics were relatively boring. He ALWAYS has a diet coke. Funny guy, passionate guy, and genuine. He wants his students to do well and you can tell that he is a happy go lucky guy who enjoys what he does. I recommend him 100%",07/18/2008,3,3.0,,5,Really into it,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
