attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,good,average,0,19912949,0,,good,5,CHEM104,"The guy was great for the first month.  Then he had a baby and everything went downhill.  I was in the online section and he was supposed to post videos lectures every week.  Ended up being three weeks behind schedule.  I had to learn the entire three weeks and the current week of material for an exam within 4 days.  I'm an A student, he burned me.",03/15/2012,4,4.0,,2,Sorta interested,3.5,3.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,average,0,19570985,0,,good,4,CHEM104,"Good lecturer! Very clear, and explains most things well. I worked pretty hard but did not dedicate as much time as I could have to the class - don't make that mistake! On a regular basis you should watch the pre-lecture videos, go to lecture, then review the lecture. For exams, review notes and take the practice tests.",12/19/2011,4,4.0,,3,Sorta interested,3.5,3.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,19548834,0,,good,4,CHEM104,Great professor! Always open to answering your questions. Exams can be a little bit challenging but if you go to your discussion or his Friday tutoring sessions you should be just fine.,12/17/2011,2,2.0,,5,Sorta interested,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,19312282,0,,good,5,CHEM104,"Really great teacher. He goes out of his way to make sure you understand, but the catch is, YOU have to ask him. Never had a question go unanswered. Online lectures are exactly what is covered in class so it is very good review material. If you study and actually ask him to explain stuff to you, he will. Great class, hope to have him in future.",11/26/2011,2,2.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,19225269,0,,good,5,CHEM104,Dr. Ray really wants his students to learn and tries to help as much as possible.  He also personalizes the class which is cool.  The material is hard (especially orgo) but go to class and study a lot.,11/13/2011,3,3.0,,5,Sorta interested,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,19209270,0,,good,5,CHEM104,"Watch pre-lecture videos before lectures, read the book for what is unclear, go to class knowing what is discussed that day, participate during it, DO NOT BE AFRAID of asking questions, watch the post-lecture videos, go to his Friday tutoring, go to office hours if you must, and you'll be golden. Made me love chemistry and pursue biochem.",11/10/2011,3,3.0,,5,Low,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,19164241,0,,good,4,CHEM104,"He talks a lot, but he's adorable, easy going, funny in a dorky way, DILF. :D He writes difficult exams, but he is an AWESOME teacher, and he puts the lectures online, which are really convenient and concise.",11/04/2011,4,4.0,,5,Sorta interested,4.5,4.5,1,No,N/A,12091,N/A,,N/A,,people,people
N/A,good,average,good,0,19086986,0,,good,5,CHEM104,The best professor I've ever had. He actually cares. Office hours help a ton.,10/19/2011,2,2.0,,5,It's my life,5,5.0,1,Yes,N/A,12091,N/A,,N/A,,people,people
N/A,good,average,good,0,19009949,0,,good,5,CHEM104,"good lecturer. very clear, and explains everything well. Got an A+ in the class, didn't work exorbitantly hard. Watch the prelecture video, go to lecture, then review lecture. Then just review notes for the exams, and take the practice tests. Tests are not that hard provided you are not an idiot. most of the test problems are exactly like homework",09/19/2011,3,3.0,,4,Sorta interested,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,18821550,0,,good,4,CHEM104,great professor. his lecture video and notes help a lot. glad to help his students. exam is kinda difficult however if u have done the previous exam u should be fine,07/15/2011,2,2.0,,5,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,18787037,0,,poor,2,CHEM104,"A bit pretentious and annoying. Course material and test material didn't always match up. Felt unprepared for tests, had to show up for class but ironically didn't learn too much from them that would actually benefit me on the test.",07/03/2011,5,5.0,,2,Sorta interested,2,2.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,18744173,0,,good,4,CHEM104,"Great teacher. ALWAYS open to answer questions. His lecture videos are very helpful, and he holds review sessions every week. It's a tough class, exams are difficult.  If you put in the work and take advantage of all the practice problems, review sessions, and lecture videos you should be fine.",06/18/2011,5,5.0,,5,Meh,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,18688207,0,,good,3,CHEM104,"If you don't like chemistry, this class is tough. Class attendance and discussions are helpful, but not always good enough. I studied for every test and could only achieve a C or D. Quizzes were somewhat difficult. Do the practice problems from the book. Doing  minimum work will not get you a B. Tests resembled the practice ones and were fair.",06/01/2011,4,4.0,,4,Low,3.5,3.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,18654443,0,,average,2,CHEM104,"Hes a cool professor to talk to, but hes really not a good teacher.  I found his exams to be unreasonably hard despite studying.  Hes a fairly nice guy, but I would definately recommend Yerkes or Shapely...He expects you to go out and learn alot of stuff on your own.  I felt like I put in alot of time into the class but was not happy with my grade.",05/23/2011,5,5.0,,4,Sorta interested,3,3.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,18644421,0,,good,4,CHEM104,"Ray is definitely a cool guy who is excited about teaching and relates well with his students.  Nevertheless, his exams were very difficult.  And since they are multiple choice, it is really easy to lose points fast.  I would for sure recommend Ray to anyone taking chem 104, but be prepared to study hard.",05/21/2011,5,5.0,,5,Sorta interested,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,18614775,0,,good,4,CHEM104,Great teacher. I could tell he really cared about the individual success of his students and would go out of his way to help.,05/16/2011,2,2.0,,5,Sorta interested,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,18614173,0,,average,3,CHEM104,"I truly felt that he taught better and in a more efficient manner in his lecture videos than his physical lectures, so I rarely went to those. When finishing exams, make sure to check those over because every question is .7% of your grade. Because of the unreleased criteria he uses for the grading scale, nobody really knows his grade until the end.",05/16/2011,3,3.0,,2,Really into it,2.5,2.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,18596666,0,,average,2,CHEM104,"Dr. Ray is tough, and if you miss a lecture its easy to fall behind & hard to catch up.  Sometimes its hard to understand, but he's always open to questions, if u keep them specific.  His curve is generous, so as long as you try you should be able to pass.  Be prepared to put in a lot of work and be sure to have a friend you can work with..it helps",05/13/2011,5,5.0,,4,Meh,3,3.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,average,0,18594734,0,,average,5,CHEM104,"Really helpful, funny, and reasonable. Go to lectures and things will come much more easily. Be prepared to learn plenty about his family!",05/13/2011,5,5.0,,1,Sorta interested,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,18589485,0,,good,5,CHEM104,Great teacher. He explains subject matter quite well. Exams are tough tho. Be prepared to work hard on org chem.,05/12/2011,4,4.0,,4,Sorta interested,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
