attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,average,good,0,16864553,0,,good,4,ENG116,"fun class, sometimes a lot of reading but overall :)",03/11/2010,2,2.0,,4,Really into it,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,16863622,0,,poor,2,ENGL116,"she doesn't seem to realize the extent of the work she gives us. way too much reading per night. she also relies too heavily upon poetry, even though this isn't a poetry class. the class itself is very boring, and she doesn't seem to have a handle on the material she's teaching. she's a very nice person but i don't like her for this class.",03/10/2010,3,3.0,,2,Sorta interested,2,2.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,16429940,0,,good,5,RHET105,"She is a very nice lady and knows alot about rhet. She does not grade hard. If you go to class and attempt at writing the papers you will get a good grade, if not you won't because of taking attendance. I would reccomend her to anyone because she does not assign crazy papers, they are all relative and sane topics unlike some other RHET teachers",11/26/2009,1,1.0,,5,Meh,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,16409260,0,,good,5,ENGL101,Very devoted to her class. Knowledgeable.,11/21/2009,2,2.0,,5,It's my life,5,5.0,1,Yes,N/A,12091,N/A,,N/A,,people,people
N/A,good,poor,good,0,15237989,0,,good,5,RHET105,Everyone has to take this class so you might as well pick a good teacher. Christy was a fairly easy grader. There were four papers required for this class and not much else. A+,12/18/2008,1,1.0,,4,Sorta interested,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,15034222,0,,good,5,ENGL101,"Really easy class, easily passable. The poems she introduced to us were interesting and engaging, she got the class to communicate easily. Good gen ed to take, and shes a great teacher!",11/20/2008,1,1.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,14255811,0,,good,4,ENGL101,"Did about 10% of the poetry readings, but still got a decent grade.  If not for anything else, take the class because she's pretty hot",04/07/2008,2,2.0,,5,Sorta interested,4.5,4.5,1,Yes,N/A,12091,N/A,,N/A,,people,people
N/A,good,good,good,0,14202163,0,,good,5,RHET105,No Comments,03/26/2008,4,4.0,,5,Really into it,5,5.0,1,Yes,N/A,12091,N/A,,N/A,,people,people
N/A,good,average,good,0,13646656,0,,good,4,RHET105,She is an enthusiastic teacher- always encouraging in-class discussion. Always arrange conferences with her before you have to hand in paper and she will give you very useful feedbacks.,11/13/2007,2,2.0,,5,Low,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,11422520,0,,good,5,RHETORIC,"Christy was very helpful and class was interesting. She is very knowledgeable. She's an awesome prof, and HOT, too!",01/26/2006,3,3.0,,5,Low,5,5.0,1,N/A,N/A,12091,N/A,,N/A,,people,people
