attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,poor,good,poor,0,3048810,0,,poor,1,CHEM102,Crap,12/16/2004,5,5.0,,1,Meh,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,2994557,0,,good,5,CHEM102,"Quite possibly the most helpful teacher I've had in Chemistry. Does an excellent job at explaining material. Exams are a little tough but, hello, you are in college now!",12/12/2004,2,2.0,,5,Really into it,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,2671354,0,,good,5,CHEM102,she is good,11/07/2004,4,4.0,,4,Sorta interested,4.5,4.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,2631411,0,,good,4,CHEM102,"I thought Dr.Yerkes does a great job teaching the class... Yes the exams were tough, but this is not high school, it has to be a challenge! She makes lectures interesting by always having demos to get your attention.",11/01/2004,3,3.0,,4,It's my life,4,4.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,2418742,0,,poor,1,CHEM102,What can you say about a professor who didn't know how to do some of the problems on an exam that she made&#63; How do you expect the students to learn from someone like that&#63; She was also impersonable and went too fast with the material.,08/25/2004,5,5.0,,1,N/A,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,2418677,0,,poor,1,CHEM102,worse than hummel if possible...didnt know how to do some of the problems on her exam that SHE made and had an attitude. hopefully she will leave the u of i.....,08/25/2004,5,5.0,,1,N/A,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,2269078,0,,good,5,CHEM102,Good at explaining.,06/23/2004,3,3.0,,5,N/A,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,2231672,0,,good,4,CHEM102,"although the material isn't exciting, she does a good job of presenting it clearly.  some exams are really hard, although she'll always be there to help",06/09/2004,4,4.0,,5,N/A,4.5,4.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,2141946,0,,average,2,CHEM102,"If all possible, don't take this class from her.  She breezes through the hard material very quickly and most of the demos dont work.  Everything that I learned in Chem 102 was thanks to my TA, not her.  Exams were extremely hard.",05/14/2004,4,4.0,,3,N/A,2.5,2.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,2121851,0,,good,5,CHEM102,"Exams were fair, as long as you study you will be fine.  She is a little impersonable.  Does have a lot of office hours however.  Lectures were very good, and her demos DID work for our class.",05/10/2004,2,2.0,,3,N/A,4,4.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,2109820,0,,good,5,CHEM102,"She's a pretty good lecturer, but goes pretty fast.  I learned more by printing out the lecture notes and reading them myself than I did from actually going to the lectures.",05/08/2004,4,4.0,,3,N/A,4,4.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,1923210,0,,poor,1,CHEM102,not only is she EXTREMELY boring but her demos NEVER work. she never has a point and she's horrible. get another professor or get a good TA.,04/08/2004,5,5.0,,1,N/A,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,1734474,0,,good,5,CHEM102,"Her first exam sucks - the last two and the final are cake, though.",02/19/2004,1,1.0,,4,N/A,4.5,4.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,1680121,0,,poor,2,CHEM102,lecture good middle of the morning naptime,02/03/2004,4,4.0,,2,N/A,2,2.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,1547678,0,,average,2,CHEM102,As a teacher she is tough and her lectures arent exactly the most helpful,12/22/2003,4,4.0,,3,N/A,2.5,2.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,average,0,1530133,0,,good,4,CHEM102,This profesor knows spanish!! Great conversation starter before you ask those questions in her office hours,12/18/2003,4,4.0,,3,N/A,3.5,3.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,average,poor,0,1301481,0,,poor,1,CHEM102,she pretty much blows,11/11/2003,3,3.0,,1,N/A,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,1218408,0,,average,3,CHEM102,"ok professor, but not the most exciting",10/24/2003,3,3.0,,3,N/A,3,3.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,951994,0,,good,4,CHEM102,No Comments,05/12/2003,2,2.0,,5,N/A,4.5,4.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,poor,0,950478,0,,poor,2,CHEM102,too bad her demonstrations NEVER worked,05/11/2003,5,5.0,,1,N/A,1.5,1.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
