attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,good,good,0,22287570,0,,good,4,MATH221,"Prof. Cunningham is like being taught be a hyperactive dog. He is really enthusiastic so that maintains your attention. Still, he can go off on tangents, gets distracted by QUESTION! guy, and makes a lot of references I don't understand. Think Abed from community with ""Dean"" level enthusiasm. Hard to understand, but you can't help but like him.",11/10/2013,4,4.0,,5,Low,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,22284072,0,,good,4,MATH221,"I've never had a professor who went through such a wide range of emotions within one lecture. He's very energetic and clearly loves teaching and loves math. His examples aren't always clear but he's always willing to help out and he's extremely helpful in a 1 on 1 situation.I think he teaches somewhere else now, not sure how to update ratemyprof.",11/08/2013,3,3.0,,5,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,21996418,0,,good,4,MATH286,"He uses slightly unorthodox methods of teaching, but is super committed to helping his students learn. Although challenging, I found that going to office hours regularly helped me do extremely well in the course (surprise, surprise!). ""QUESTION!""-guy was annoying, but oh well. I'd take another class with him for sure!",07/25/2013,4,4.0,,5,Sorta interested,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,21678572,0,,poor,1,MATH286,"Wow, it's surprising to see so many positive comments here, but perhaps he is a good Calc I teacher, but holy hell is he a terrible Differential Equations teacher. The textbook was terrible, his teaching methods were terrible. He would constantly be interrupted by a kid shouting ""QUESTION!"" in class. His tests are *much* harder than what he teaches",05/05/2013,5,5.0,,1,Sorta interested,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,21359514,0,,good,5,MATH221,"Chris is an eccentric hyperactive man who clearly enjoys both math and teaching. One time in lecture we had a scavenger hunt. Another time he used cake as an example and everyone got cake.I found the workload and tests challenging but definitely doable, especially when I started going to office hours. I'm not a STEM major but I enjoyed this class.",02/22/2013,4,4.0,,5,Low,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,21282431,0,,good,5,MATH221,Very Good Instructor Definitely Recommend Him,01/21/2013,2,2.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,21265778,0,,good,5,MATH221,Funny guy. Great teacher. Explains EXTREMELY thoroughly. Definitely the best teacher I've had so far.,01/16/2013,2,2.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,21066951,0,,poor,2,CALCEL1,"Very strange person. Tries to be helpful and enthusiastic, but his examples are absolutely awful. His teachings of concepts are terrible. Thank god my TA was able to decipher what he was saying and relay it to me. I would advise getting out of his class.",12/14/2012,3,3.0,,2,Sorta interested,2,2.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,20959831,0,,good,5,MATH221,He is a very good instructor who like teaching. He is very helpful and very open to questions. I recommend him,12/05/2012,2,2.0,,5,Really into it,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,20936203,0,,good,5,MATH221,Outstanding teacher. He is enthusiastic and clear during his lectures. He makes the material easy to understand and the exams are very manageable. Definitely recommend him!,12/03/2012,2,2.0,,5,Really into it,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
