attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,average,good,0,24665229,1,,good,5,C255,"Great professor! Intellectual and helpful . Cool guy .  Super knowledgable, and prepared   ",04/24/2015,2,2.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,Yes,,N/A,,person,people
Mandatory,poor,average,average,0,24542245,0,,poor,1,255,"Rambled on throughout all of lecture, didn't really prepare for them actually, he was really lazy with that and also when it came to preparing the tests. Lectures don't aid at all in preparing for the test, have to mostly read and draw your own conclusions. Only a midterm and final, mostly essay based, few short answer. ",04/03/2015,3,3.0,,3,Meh,2,2.0,1,Yes,N/A,1112,Yes,,A,,people,people
Mandatory,poor,poor,poor,0,24371147,0,,poor,1,ENGL255,He is rarely prepared for lecture. My entire class had an ongoing joke regarding his teaching style. He tries really hard to be relevant with references but they make no sense. I did better in this class by simply reading Sparknotes and going to discussions for big picture topics. Only 2 grades - midterm & final. Study hard and you'll be fine.,02/09/2015,1,1.0,,2,Sorta interested,1.5,1.5,1,Yes,N/A,1112,Yes,,A-,,people,people
Mandatory,poor,average,poor,2,24038640,0,,poor,1,ENGL255,"He was the absolute worst. Never was prepared for lecture and just rambled. If I had a nickel for every time he said ""I guess what I'm trynto say is..."" I could pay for college. I learned so much more from my TA. It's a required class, but do everything you can to not take it with him. Lots of reading. Easy test if you study hard. ",12/11/2014,3,3.0,,1,Meh,1,1.0,1,Yes,N/A,1112,Yes,,Not sure yet,,people,people
Mandatory,average,good,average,2,23816882,0,,poor,2,255,"Freeburg almost never seems prepared for lecture, and will just sit and talk with constant tangents to the point that nobody knows what to expect. The Midterm and Final are 45% each of your grade, and he doesn't prepare you at all for them. Furthermore, the IDs on the test are literally 1 sentence long and difficult to identify. Spare yourself.",11/14/2014,5,5.0,,2,Sorta interested,2,2.0,1,Yes,N/A,1112,Yes,,N/A,,people,people
N/A,good,good,good,0,23619494,0,,good,5,ENGL300,Prof. Freeburg was my favorite professor at Illinois. Very intelligent and interesting lecturer; he tends to think outside of the box when it comes to his own academic studies and teaching his classes.  Get to know him and go to his office hours - it is worth it; he is very willing to work with students to help them improve their writing skills.  ,09/30/2014,4,4.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,Yes,,N/A,,people,people
N/A,good,average,good,1,22041591,0,,good,5,ENGLISH250,Class is very fair. Grading is fair. Great teacher and very interesting teacher!,08/09/2013,2,2.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,person
N/A,average,average,average,1,20505043,0,,good,3,ENGL260,He seemed like he was going to be kind of a tough grader but definitely wasn't. You're allowed 5 absences but he cancelled class like 5 times so there's that. There are no exams or quizzes or awkward discussions. You have about two short papers and weekly journals.,07/19/2012,2,2.0,,4,Sorta interested,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,person
N/A,average,average,average,0,20505036,0,,good,3,ENGL260,He seemed like he was going to be kind of tough but cancelled class all the time and we didn't even get to two of the books we were supposed to read. No quizzes or exams just two papers and weekly journals. Easy enough.,07/19/2012,2,2.0,,4,Really into it,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,20394606,0,,good,4,ENG455,"Classes were always interesting, especially when he talked about his own crazy personal experiences. Books were good except for the last one which was hard to understand. MAKE SURE TO READ FOR CLASS!!! You can't bs having read and not having read and its a big deal in his class. Grading wise hes great, and as long as you try you'll get at least a B",06/08/2012,3,3.0,,4,Meh,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,poor,average,0,20148649,0,,average,3,ENGL260,"He's a pretty easy grader. He went over ""how to make an argument"" for an entire class, so if you're an English major he'll probably think your essays are awesome. He wastes a lot of time going on about certain scenes in the novels that aren't that important. Did NOT get to all of the books on the syllabus. BUT as a person, he's really really cool.",04/29/2012,1,1.0,,3,Really into it,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
