attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,average,good,0,21903889,0,,good,4,EPS400,Span is very good.  Tells good stories and sticks to books.  Straight forward and well organized.  good info regarding the civil rights era. tells jokes constantly.,06/18/2013,2,2.0,,4,Really into it,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,21271222,1,,good,4,EPS201,"Professor is really interested in topic, which is nice. And if you don't want to read the book (very difficult to read) his powerpoints are helpful. But he'll only give you them if theres a majority of the class in attendance. Grades are all on the RAs, if you get a good one then you should be fine.",01/17/2013,2,2.0,,5,Low,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,person,people
N/A,good,average,average,0,21241389,0,,average,4,EPS202,"Professor was decent. Lectures were somewhat boring and he didn't always post lecture slides. Overall, great TA's who make the learning more clear and are super helpful with whatever you need.",01/10/2013,2,2.0,,2,Really into it,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,21171018,0,,good,5,EPS202,"Honestly, this class has a lot of organization issues. Span, if you ever read this, LISTEN TO YOUR TA(s). Most of them seem to have a better understanding of how the course should be ran. He was a good instructor though. I would recommend.",12/26/2012,1,1.0,,3,Really into it,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,20687811,0,,good,5,EPS201,"Professor Span is probably one of the most enjoyable lecturers I've ever had. I thought the class was going to be boring and awful (especially since the professor last year was exactly that), but Span has proven to be dorky and intelligent and wonderful and really makes me interested in the subject, even though there is a lot of reading.",10/09/2012,4,4.0,,4,Low,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,17709146,0,,good,5,EPS500,"The best teacher you could ever have in Social Foundations. A breath of fresh air, extremely intelligent and on point!",10/29/2010,4,4.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,17358886,0,,good,5,EPS400S,"This guy is awesome. I took about 2-3 classes with him and you can totally tell that he cares about the course content.  You can't skate by but you get his all, and you'll definitely learn alot!",06/22/2010,4,4.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,16371909,0,,good,5,HIST400,Great professor!,11/15/2009,3,3.0,,5,Meh,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,poor,average,0,16149425,0,,average,3,EPSY400,"Had him in an online class.  He read his lectures.  He was willing to answer questions and was a nice guy.  However, I could have not listened to the lectures and still gotten my A.  Not a good class.",08/25/2009,1,1.0,,3,Low,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,average,0,14265690,0,,average,5,EPS400,No Comments,04/09/2008,3,3.0,,1,It's my life,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,11461907,0,,good,5,EPS400,Wonderful instructor.  Very interested in students and the material.  He is more concerned with the student getting the material than with grades.  He is very helpful and insightful.  Wonderful class.,02/07/2006,4,4.0,,5,It's my life,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
