attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Not Mandatory,good,average,good,0,25849098,0,,good,5,CS225,"Lectures are clear and concise while still being in-depth, most of the course content is laid-out and easy to understand. You will have to sit down and think about the concepts but they're not bad at all. Professor Heeren is respectful and dedicates a lot of time to improve the course as a whole. Generous with extra credit, so DO IT.",12/30/2015,2,2.0,,5,It's my life,5,5.0,1,No,N/A,1112,Yes,,A,,people,people
Not Mandatory,good,poor,good,0,25817493,0,,good,5,CS225,Great lecturer. The whole course is really awesome with helpful TAs and interesting MPs. Exams are generally fair. Tons of extra credits. Learnt a lot.,12/24/2015,1,1.0,,5,It's my life,5,5.0,1,No,N/A,1112,Yes,,A,,people,people
Not Mandatory,good,good,good,0,25796193,0,,good,4,CS225,She is an amazing professor with enthusiasm and entertainment. She loves to listen to students' questions and participation during lectures. She demonstrates and covers the materials well. TAs & piazza will help answer questions about the materials. MPs and labs takes time to complete and the class overall is not easy but worth it.,12/21/2015,4,4.0,,4,Really into it,4,4.0,1,No,N/A,1112,Yes,,Not sure yet,,people,people
Not Mandatory,good,good,good,2,25720106,0,,good,5,CS225,"Cinda is a great lecturer who is very enthusiastic and covers material well. The TAs & piazza will be your main source of help with questions on material/mps/labs. Though the MPs and material may be difficult, it is worth it. Plus, there's extra credit. Lectures are also online but on occasion slides can be glitchy. Work hard and it'll pay off.",12/16/2015,4,4.0,,4,Really into it,4.5,4.5,1,No,Yes,1112,Yes,,N/A,,people,people
Not Mandatory,good,good,good,0,25718326,0,,good,5,CS225,Cinda is an awesome professor! She made me fall in love with data structures and her class helped me land my first internship!,12/16/2015,4,4.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,Yes,,A,,people,people
N/A,average,good,poor,5,24284080,23,,poor,2,CS225,"She is enthusiastic but she is not a good communicator. In fact, you have better chance getting help from TAs. TAs are awesome. She barely replies to the emails. Don't get me wrong, she teaches well. My point is she doesn't help students who need help. Overall, I learned what I wanted to learn but it was a horrible experience.",01/13/2015,4,4.0,,1,Sorta interested,1.5,1.5,1,No,N/A,1112,Yes,,N/A,,people,people
Not Mandatory,good,average,good,4,24260675,5,,good,5,CS225,She was just awesome!,01/09/2015,2,2.0,,5,Really into it,5,5.0,1,No,N/A,1112,Yes,,A,,people,people
Not Mandatory,good,average,good,8,24174106,0,,good,5,CS225,"Cinda is one of the best professors I've had. She's super chill and easy to talk to. Going to her class isn't necessary (lectures are online), but I benefitted a ton by going to lectures and asking questions. She understands your questions and gives great explanations. I have never written a review for a professor before but Cinda is worth it! :)",12/23/2014,2,2.0,,5,Really into it,5,5.0,1,No,N/A,1112,Yes,,A,,people,people
N/A,good,average,good,3,23723844,0,,good,5,CS225,"Amazing woman! Tests are tough, but she loves what she does and is so passionate. Very approachable, and is very willing to answer questions. She knows her stuff and cares about her students. MPs are hard, but we're CS @ Illinois. You will learn a lot from Cinda and from going to lecture! Highly recommend her! One of my favorite teachers ever. :)",10/31/2014,3,3.0,,5,It's my life,5,5.0,1,No,N/A,1112,Yes,,N/A,,people,people
Mandatory,average,good,average,0,23708779,5,,average,3,CS225,"I like how she is always excited to teach this class, but she speaks very slowly. And she goes over the material in a very slow pace making you feel that the course is very simple while the hw is accelerating rapidly in difficulty. The labs are very useful and fun, though. She also takes a lot of questions which makes the class a little boring.",10/29/2014,4,4.0,,3,It's my life,3,3.0,1,No,N/A,1112,Yes,,Not sure yet,,people,people
N/A,poor,average,poor,3,23001477,7,,poor,1,CS225,"Granted, Professor Heeren is very enthusiastic about teaching and this course, however I did not enjoy my experience in this class at all.  Professor Heeren attempts (unsuccessfully so) to keep lectures interesting through jokes tangents that actually distract.  She also refuses to release answers to the previous exams making studying impossible.",04/07/2014,3,3.0,,1,Really into it,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
Not Mandatory,good,good,good,3,22791666,0,,good,5,CS225,"Always so enthusiastic and willing to help students. But the course is tough, if not required by ur major i dont recommend taking 225. BTW, dont cheat on code, she will know and the consequence is harsh.",01/25/2014,4,4.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,A,,people,people
N/A,good,good,good,2,22553872,0,,good,5,CS225,"Cinda is amazing. Data Structures, with her at the helm, has been the best class I've had at UIUC. It's one of the few that has really made me feel like I'm actually in a world class program. She will challenge you but also give you all the tools you need to succeed.",12/14/2013,4,4.0,,5,Really into it,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,22494880,0,,good,5,CS225,A great teacher! She really cares about her students and wants them to learn. Love her!,12/10/2013,3,3.0,,5,Really into it,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,22169637,0,,good,5,CS225,"She's a pretty good lecturer. Only complaint is that she goes past the end of class and expects you to stay, despite needing to get to other classes. Very enthusiastic, which is a plus.",10/10/2013,4,4.0,,4,Really into it,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,22126490,0,,good,5,CS225,Best lecturer I've ever had in any class. Amazing.,09/17/2013,4,4.0,,4,It's my life,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,21726492,0,,good,5,CS225,Excellent Teacher. My best class in uiuc only because of Cinda!,05/10/2013,2,2.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,21508401,0,,good,5,CS225,Great lecturer! Very enthusiastic and tries her best to keep the class engaged. MPs can be a bit challenging at times but Cinda and the 225 course staff were always willing to help.,04/09/2013,3,3.0,,5,Sorta interested,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,1,21321198,0,,good,5,CS225AL2,Excellent lecturer. She teaches the information very well and keeps the audience engaged with her entertaining personality. Breaks the mould of the typical CS course. I wish more of my professors were like this.,02/05/2013,2,2.0,,5,Sorta interested,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,person
N/A,good,average,good,1,21225390,0,,good,4,CS225,"Very fun professor. The course was challenging, but there is a lot of extra credit available. The exams were fair. Her teaching style is fun and clear, but goes through material quick. She is perfectly willing to help out other students.",01/07/2013,3,3.0,,5,Really into it,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,person
