attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,average,good,0,18893938,0,,good,5,ENGL200,"Well if you love English, you won't love ENGL 200 no matter what. Claire is sharp and articulate but can also be v. patronizing (asking leading questions like &quot;and what does he MEAN when he says, 'like a baby'&#63; how would you describe a baby&#63;&quot; (students silently think, DUH.) finally, &quot;cries&#63; helpless&#63;&quot; &quot;yes! very good!&quot;) DO NOT TURN PAPERS IN LATE.",08/08/2011,3,3.0,,3,Low,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,17083213,0,,poor,2,RHET105,"Neutral HONEST reviews about her are flagged &quot;under review,&quot; suddenly followed by a lot of reviews going on about how hot she is&#63; What&#63; FAKE reviews should be under review. She was boring and as far as her appearance is concerned she is okay at best, but who cares&#63; These reviews say more about her than anything I could ever say. Course was okay.",04/29/2010,3,3.0,,2,Sorta interested,2,2.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,17075951,0,,good,4,RHET105,"really time consuming but learn a lot. it helps a lot to go to office hours both from an understanding point of view and i think she'll like you more. contrary to what others have said, she will give you an A if you deserve it, got an A+ on my final. not to mention appearance...",04/28/2010,4,4.0,,5,Sorta interested,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,15079307,0,,good,4,RHET105,"This class was extremely challenging. She explains things well and helpful. However, your paper must be perfect to get an A. tough grader. She is very hot.",12/01/2008,5,5.0,,4,Low,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,15025561,0,,good,4,RHET105,Learn a lot and very willing to help with questions. A looker too!,11/19/2008,3,3.0,,4,Really into it,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,15016436,0,,good,4,RHET105,Cool teacher,11/18/2008,4,4.0,,4,Low,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,14991549,0,,good,4,RHET105,"Her class is challenging, but she really cares for the students' progress. She is very helpful outside of class.",11/13/2008,3,3.0,,5,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,14987176,0,,good,5,REHT105,She is absolutely amazing!  Definitely take her class if you get a chance.,11/13/2008,2,2.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,14985659,0,,good,4,REHT105,"Barber is challenging, but she helps you learn a whole lot. way worth the effort, and a babe too!",11/12/2008,4,4.0,,5,It's my life,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,14985590,0,,good,5,RHET105,"Claire is tough, but fair.  Her class is challenging, but rewarding, and she's the best teacher I've had in college so far.  Also: she's cute.",11/12/2008,2,2.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,14985387,0,,good,4,REHT105,"She is difficult... probably a little too hard, but very willing to help, and i think when you go and talk to her, it helps your overall grade",11/12/2008,4,4.0,,5,Low,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,14915373,0,,poor,1,RHET105,"Honestly, this is probably the worst teacher I have ever had in my academic career. RHET 105 is supposed to be somewhat easy, i mean it's a gen ed. But no, she is an extremely hard grader, her discussions are painfully boring, and all of the assignments come straight out of the book. Also, you have way more papers due than other rhet classes.",10/29/2008,5,5.0,,1,Meh,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
