attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,average,good,0,21803852,0,,good,5,GEOG110,"Majority of your grades were based on your one page (double space essay), as long as you follow the guidelines, and applies the concepts clearly you will do well on it. All the quiz were online, and you can find the exact answers in the powerpoint lectures, final was online also, most of the questions were repeat of the quiz. Overall easy class",05/21/2013,3,3.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,21380629,0,,good,5,GEOG110,"A brilliant professor teaching a brilliant course. I am very interested in inter-country relations and the geopolitics of the world, and thus I have had an amazing semester. Everything is online so it's an easy class, but I'd suggest to pay attention as you can learn a lot about the way the world works.",03/03/2013,1,1.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,21087017,0,,good,5,GEOG110,"There are only a few concepts,so flint blabs on and on for just approx 1 concept per class! gah...I witnessed many students nodding off. Advice: first 3 quizzes are easy, but pay a bit more attention for quiz 4 and 5. Love the TA, Crista, she is sweet and down to earth. Essays take 1 hr max to write. grade = final,5 essays, 5 quizzes,participation.",12/16/2012,1,1.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,20176575,0,,good,4,GEOG110,easy class,05/02/2012,1,1.0,,4,Really into it,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,19218093,0,,good,5,GEOG110,"Although he was only a guest lecturer, I LOVED his style. He was so interesting and really knew how to draw the class into the material. I wish he still taught this class instead of PhD candidates.",11/11/2011,1,1.0,,5,Low,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,18946215,0,,good,5,GEOG110,"Easy class, and you learn a lot if you pay attention.",08/23/2011,1,1.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,18723404,0,,good,5,GEOG110,It is an easy class but you can learn a lot of things. He is a knowledgeable professor giving students a broader understanding of international conflicts. I really enjoyed this class. All exams are home-taking and all essays have the same format. Easy and simple.,06/12/2011,1,1.0,,5,Really into it,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,average,0,18114980,0,,good,4,GEOG110,"The class itself is straight forward and pretty easy. All quiz's are online, but are a little tricky. Exams are online too which is nice. There's 5 paper to write, but you are told exactly how to write them down to the exact wording. Only buy the book if you don't plan on attending lectures. Overall, an easy class",01/10/2011,2,2.0,,3,Sorta interested,3.5,3.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,poor,average,0,17326851,0,,good,3,GEOG110,Take this class over the summer if you can. 6 hours a week for a month gets you 3 hours of credit. 5 online quizzes and an online final DIRECTLY from the slides. Simple.,06/11/2010,1,1.0,,4,Low,3.5,3.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,average,0,16529309,0,,good,4,GEOG110,"Overall this class is hard to get an A in but easy to get a B in... His test is straight forward but it sucks cause if you know more you will probably miss the questions. Also, the essays in discussion are sooooo important so score well on those. you never look at a map once so its not a typical geography class which was nice. take this class!!!",12/11/2009,3,3.0,,3,Really into it,3.5,3.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,15837017,0,,good,4,GEOG110,"Easy class.  If you go to lecture every day and take notes (he uses powerpoint well), you don't need to read at all.  The papers short and formulaic (there are 5), but very easy.  And have the TA go over your rough drafts.  If you score perfectly on the papers, you need only a 75 on each of the two tests to get an A- in the class.",05/14/2009,1,1.0,,4,Really into it,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,14793335,0,,good,5,GEOG110,"best guy. i went in for help because i didn't understand something and he was amazing. his accent doesn't hurt either. take this class, you'll do wonderfully!",09/02/2008,1,1.0,,5,Sorta interested,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,14671383,0,,good,5,GEOG110,"Pretty easy class- only 5 short papers and 2 mc exams. You don't need the textbook. uses lots of current events, great TA's, loved the british accent! he seemed like a really nice guy",07/19/2008,2,2.0,,3,Really into it,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,13742060,0,,good,4,GEOG110,"Easiest class I've taken at UIUC! Go to lectures OR read his book: they both say exactly the same thing. Writing 1 page papers to hi exact guidelines is a pain, but who cares&#63; You only have to write 5 pages all semester! Test is easy multiple choice and he tells you what's on it!",12/03/2007,1,1.0,,5,Sorta interested,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
