attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,good,good,0,20258498,0,,good,4,GEOG210,"Professor Thorn is a wise and knowledgeable person. His class is tough with tedious tests, but they are not impossible. Even though I studied my butt off for his class, it was still a pleasure to have him as a professor. Thorn is approachable, so never shy away from asking him questions. He'll definitely inspire you to be interested in the world.",05/11/2012,4,4.0,,4,Really into it,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,20221296,0,,poor,2,GEOG210,"Not that bad of teacher. Side tracks at times. Questions are sometime ambiguous, and can be the tiniest detail discussed in class. It is not mandatory, and it's easy to doze off, but what he says in lecture, he puts on the test.",05/07/2012,3,3.0,,2,Really into it,2,2.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,20157858,0,,poor,2,GEO210,"This class was extremely hard, I studied for a week for an exam and got a 36/50. 24/68 people have above a c in this class. There are only tests in this class and they are hard. Sure he might be witty, but i'd rather have a good grade.",04/30/2012,5,5.0,,2,Really into it,2,2.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,average,0,17192411,0,,good,4,GEOG103,"Exams are tricky. Unless you know the material word for word you will probably get tripped up on the questions. There's NO homework, which is a plus in the sense of less work, but bad in the sense of that your entire grade for the class is based on exams. Material can be dry at times, however Thorn is an entertaining guy. Def Not an easy Gen Ed tho",05/13/2010,3,3.0,,3,Sorta interested,3.5,3.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,16226852,0,,average,3,GEOG103,"He is a very kind man who really knows his stuff. However, his tests are all true false and can be rather tricky. Though he throws in a few interesting stories once in awhile it does not override the dryness of the class; only take if required.",10/08/2009,4,4.0,,2,Low,2.5,2.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,16146164,0,,good,4,GEOG210,"Thorn is very intelligent and full of information on the topics he teaches.  It can be very hard to pay attention in this class and the subject matter was not what I expected (more about soil, less about the people).  However, he is an approachable professor and as long as you pay attention and study hard, this class won't rip up your GPA.",08/24/2009,3,3.0,,4,Low,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,15893195,0,,average,3,GEOG210,"Class can get a little boring at times.Thorn is a funny guy,but the dryness of material overrides it.I would only take if required,not for a gen ed.There are easier gen eds. 80%=A. The paper is easily graded, and the final is easier than the other midterms. Outline the chapters and pay attention in class to get an A.",05/25/2009,4,4.0,,3,Sorta interested,3,3.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,15892332,0,,average,3,GEOG210,"He has good information, but the class is boring and the tests are over small details. 20% of test questions are from the book, not covered in class. VERY HARD. It was upsetting because he had good things to say, but it was so hard I hated the class. Also, a paper with nothing to correct recieved a B and he is not nicewhen approached about thegrade",05/24/2009,5,5.0,,2,Meh,2.5,2.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,15883743,0,,good,5,GEOG210,Favorite professor and he made this my favorite class so far. His stories are very interesting and usually relate to the subject. Take this class!,05/22/2009,2,2.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,average,0,15709760,0,,good,4,GEOG210,"I didn't really study for the first 2 exams but did decent and got an A on the paper. I studied for about 12 hours for the final (not cumulative) and pulled off an A in the class. In my class, an 80% was an A, so the curve is generous. The people who complain about the midterms likely didn't study or read the book and probably didn't attend lecture",04/26/2009,1,1.0,,3,Sorta interested,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,15664574,0,,poor,1,GEOG103,"Horrible class. Geography 103 is the worst class on the planet. The professor is terrible, do not take this class.",04/16/2009,5,5.0,,1,It's my life,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,15646344,0,,good,5,GEOG103,"His exams are hard, but he is very easy on the ears.  He can be quite funny and his stories are always good.  Just go to class with the printouts and taking the exams are so much easier.  The lab section is not the most difficult thing in the world either.",04/14/2009,3,3.0,,5,Low,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,15444382,0,,poor,2,GEOG381,In Fall 2008 I took his environmental perspectives class. It was very boring. He required everyone to debate issues which was hard and he constantly threatened to fail people who didn't contribute enough. He was a very annoying professor which is why I dropped his course.,02/05/2009,5,5.0,,2,Low,2,2.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,15325689,0,,good,5,GEOG210,Prof. Thorn is a great Prof. and has travelled the world.  Class is not mandatory but go and READ the book and you will get an easy A.,01/06/2009,4,4.0,,4,Sorta interested,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,14316321,0,,poor,1,GEOG210,"This man is the epitome of all evil.  Don't do it, don't do it.",04/19/2008,5,5.0,,1,Really into it,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,13886715,0,,good,4,GEOG381,"It will be a sad day at the U of I when Prof. Thorn retires. His classes are tough but incredibly rewarding and informative. If only every professor could be as humorous, caring and intelligent!",12/20/2007,5,5.0,,5,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,average,0,13635445,0,,good,4,GOEG210,Sure he's interesting... but his exams are completely bogus and will make you cry. i cried over the last two which i studied like crazy for and still got Ds... so i think i'll withdraw from this course...,11/11/2007,5,5.0,,3,Meh,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,13597111,0,,good,5,GEOG103,"Excellent teacher, well-traveled",11/04/2007,2,2.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,13483856,0,,good,4,GEOG210,"i took this class as a freshman discovery course and  it's still the best class i've ever taken. he's an interesting guy, notes are a little difficult to take if you don't write quickly. some test questions are completely random, but as long as you look over your notes and skim the book you'll do fine. the one paper wasn't difficult at all, either.",09/20/2007,3,3.0,,4,Meh,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,average,0,12999871,0,,good,4,GEOG103,"Hilarious and sarcastic.  Exams definately have some bad questions that you'll only get once in a million years and only by guessing, but Lab portion is a piece of cake and the lectures + his little odd facts here and there are at least somewhat interesting if you have an attention span beyond a 6 year-old.",04/11/2007,2,2.0,,3,Sorta interested,3.5,3.5,1,No,N/A,1112,N/A,,N/A,,people,people
