attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,average,good,poor,0,11888397,0,,poor,2,ECON202,"i'd taken statistics before, and expected to breeze through this class. unfortunately this woman made things very difficult. she purposely tricks you on her tests and doesn't give you a clear idea of what's going to be on them. the icing on the cake is her beautiful singsong voice, which makes lecture soooo wonderful.",05/15/2006,4,4.0,,1,Meh,1.5,1.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,average,0,11409115,0,,poor,1,ECON202,"The material is easy, her tests are not.  The trickiest tests I've ever taken, the class set-up is awful.",01/24/2006,4,4.0,,3,Low,2,2.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,11272850,0,,poor,2,ECON202,the tests in this class are tricky as hell. you can make up for your grade with the homework somewhat. there was a big curve in the class too. the one problem is that colleen schultz is extremely hot and may distract both male and femalte students with her  excquisite beauty,12/28/2005,4,4.0,,2,Sorta interested,2,2.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,10173906,0,,poor,1,ECON172,"In all my time being a student, I have not experienced a more arrogant, useless, and evil instructor as I did when I was in Colleen Schultz/Houlihan's class. It is a shame people like her are given a salary to teach. I want a refund.",08/28/2005,4,4.0,,1,It's my life,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,poor,0,3639876,0,,poor,2,ECON202,"I am the walrus...coo coo cachoooooooo!
 
 This class isnt that hard, but the tests are complete bull**** compared to the homework",04/15/2005,2,2.0,,1,Meh,1.5,1.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,average,0,3282026,0,,average,4,ECON202,Unfortunately this class is required..if its not..dont take it! The exams are much harder than the lecture material so theres not much you can do. TAs are sometimes hard to understand so basically you are on your own.,01/26/2005,3,3.0,,2,Sorta interested,3,3.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,poor,average,0,3236731,0,,poor,2,ECON202,"SCHULTZIEEE.O I thought the class was REALLY easy, but the tests are TRICKY. She's arrogant, like knowing basic statistics makes her the &quot;God of the Class.&quot; TheTAwas good,and she's won awards,butIfelt like it was a trip back to the bad highschool teacher that felt like she knew it all,but shedidn't.",01/18/2005,1,1.0,,2,Sorta interested,2,2.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,poor,0,3221335,0,,poor,2,ECON202,"Very hard teacher, TAs are just plain bad. Tests are designed to kill your grade. There's always a trick on a test that was never presented in class or in any other way, so you're totally on your own.",01/14/2005,5,5.0,,1,Really into it,1.5,1.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,3166480,0,,poor,2,ECON202,"Class looked easy at the beginning. Then the first test came, and it was crap. You have to study and know what you are doing for this class. There is a good curve, but if you don't know the material backwards and forwards, you're screwed.",01/06/2005,4,4.0,,2,Sorta interested,2,2.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,3101605,0,,average,3,ECON202,"Prof. Schulz isn't at all friendly. Plus, she can't  explain things in simple English. You have to really know your stuff before the exams. Simply taking the practice quizzes won't cut it. You need to know how to handle all the problems, while also watching out for tricks and twists on the exams.",12/22/2004,2,2.0,,2,Low,2.5,2.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
