attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,average,good,0,20191568,1,,good,5,CS232,"Amazing guy.  Very smart, knowledgeable.  Really cares about class and students.  Unique sense of humor.",05/03/2012,3,3.0,,5,Low,5,5.0,1,No,N/A,1112,N/A,,N/A,,person,people
N/A,good,average,good,0,20182091,0,,good,5,CS232,"Despite the fact that Craig teaches my least favorite topic in CS (architecture), I still found him to be very enjoyable and his lectures informative. He's always well-prepared and really understands the subject well. He also teaches one of the discussions section (unheard of). One of the best professors at U of I, period.",05/02/2012,2,2.0,,5,Low,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,20067203,0,,good,5,CS232,"By far the most amazing professor I've encountered at this university. Extremely knowledgeable, knows how to effectively convey that knowledge, and is super patient with questions after class. He really cares about his students and it shows.",04/17/2012,3,3.0,,5,Really into it,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,1,19766734,0,,good,5,CS232,"Awesome, easygoing, funny professor.",01/24/2012,4,4.0,,5,Sorta interested,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,person
N/A,good,good,good,0,19342555,0,,good,5,CS232,"The class is very interesting but hard. This probably is the first cs class that you can learn real stuff from and Craig knows a LOT. He can literally explain every single question you can possibly come up with. He's extremely helpful and cool, probably the best cs professor in the department lol",11/30/2011,5,5.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,16798936,0,,good,5,CS232,"By far one of the best professors I have ever had the pleasure of learning from.  If you ever have the chance to take a course with him, do it ... you will not regret it!",02/11/2010,3,3.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,15682899,0,,good,4,CS232,"100% Heart, 100% of the time",04/21/2009,3,3.0,,5,Low,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,14791812,0,,good,5,CS232,Best professor at uiuc hands down. He really wants you to learn and will do everything in his power to do so. Very easy to talk to. He writes new exams and homeworks every semester. If only he taught more classes...,09/02/2008,4,4.0,,5,Low,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,14662597,0,,good,5,CS232,"This guy reminds of Bill Gates, in a good way. Out of all CS Dept. teachers, he is by far the most interesting. He has won Engineering College teaching awards many times and will continue to do so with his dynamic and helpful style.",07/16/2008,3,3.0,,4,Sorta interested,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,14570906,0,,good,5,CS232,"Definitely the best CS professor I've had so far at this university. He made me want to come to class every time, and that's saying a lot!",06/10/2008,3,3.0,,5,Meh,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,14157763,0,,good,5,CS232,Great professor -- explanations are excellent. Wish't he taught more classes though.,03/11/2008,1,1.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,13981365,0,,good,5,CS232,Best CS professor at UIUC by far!,01/11/2008,2,2.0,,5,Low,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,13190336,0,,good,5,CS232,Comments given on 5/2/07 say it all :D,05/20/2007,3,3.0,,5,Sorta interested,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,13099458,0,,good,5,CS232,"Craig Zilles is one of the best profs. I've ever had! He's animated during lectures, has a great sense of humour, knows what he is talking about and is able to explain it very very clearly. Full marks",05/02/2007,3,3.0,,5,Sorta interested,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
