attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Not Mandatory,good,poor,good,0,25838650,0,,good,4,SHS320,"Good information for anyone who will be working with children, and Dr. Johnson is a very reasonable professor. She goes over everything at a very slow pace, and makes it so everyone can understand. The group project is very tedious for the first assignment, but the rest go a little quicker. Very easy class, hard to do bad if you show up and study.",12/28/2015,1,1.0,,5,Sorta interested,4.5,4.5,1,Yes,Yes,1112,Yes,,A+,,people,people
Not Mandatory,average,average,average,0,24256153,0,,average,2,SHS320,"There is a lot of extra credit opportunity. Lectures can get a little boring and you do have to read. There are in class activities that you get credit for. For the tests, memorize the slides! Focus on slides the most  then the reading guides, then the rest of the readings. ",01/08/2015,3,3.0,,3,Low,2.5,2.5,1,Yes,N/A,1112,Yes,,A+,,people,people
N/A,good,poor,good,0,19471091,0,,good,5,SHS320,"She is the sweetest, most sincere woman. You can tell that she loves teaching!It is people like her that make me more passionate about speech language pathology.",12/12/2011,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,19260787,0,,good,3,SHS320,she is the sweetest woman ever.  she loves talking about her kids and she makes cute little jokes during lecture. extra credit on every exam!,11/16/2011,2,2.0,,4,Really into it,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,17408269,0,,good,5,SHS320,"WOW. I never thought there would be a class this easy in college. I attended class a maximum of 5 times, including the 3 exams. I never bought the textbook, simply look at the lecture notes online and the tests were the easiest i've ever taken. easiest a of my life. and the is the sweetest woman in the world! such a love",07/11/2010,1,1.0,,5,Really into it,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,16395818,0,,good,5,SHS320,Extremely nice woman. Exams are easy as long as you look over the slides and do the reading. Assignments are very easy.,11/18/2009,1,1.0,,4,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,14559306,1,,good,4,SHS320,"Very genuine, sincere professor. Brings a lot of enthusiasm to her classes. Tests are easy as long as you study the slides and read the chapters she picks out. She also did a good job of breaking up lecture slides with interesting video clips to prevent any monotony.",06/05/2008,3,3.0,,4,Sorta interested,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,person,people
N/A,good,average,good,0,11171989,0,,good,5,SHS320,"An amazing teacher, made me absolutely love my major. She teachers so well, the exams are easy with extra credit on each. For the James Scholar Project, she let those participating in it to work in groups. ;-) BIG help...overall, an A+ for the class and for Dr. Johnson!",12/15/2005,2,2.0,,5,It's my life,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,3092526,0,,good,5,SHS320,No Comments,12/21/2004,3,3.0,,5,It's my life,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,1196982,0,,good,5,SPSHS383,"She is awesome, like a mother to everyone.  Her lectures make you feel like it's your mom talking to you. She is super nice. Her lectures are clear and she uses a lot of cartoons (and explains the punchlines!)",10/17/2003,2,2.0,,5,N/A,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
