attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Mandatory,average,average,average,0,25822172,0,,average,3,TAM211,He is a good professor in general. His lectures are kind of boring but there are iclicker points so I would encourage you all to go. The class has a lot of homework that is hard in my opinion. Exams can get a bit challenging.,12/25/2015,3,3.0,,2,Sorta interested,2.5,2.5,1,Yes,N/A,1112,Yes,,N/A,,people,people
Not Mandatory,poor,average,poor,1,25018198,0,,poor,1,ME212,"The worst professor I ever had.  Dry teaching style.  Unfortunately, it really just seems like he isn't very smart and as a result he has no ability to adjust his teaching style.  Professors like him are why ME at U of I will always be second rate.  Which is a shame because they are some really top notch professors there. ",07/05/2015,3,3.0,,1,Sorta interested,1,1.0,1,Yes,N/A,1112,Yes,,A,,people,person
N/A,good,average,good,0,24634498,0,,good,5,TAM211,Tortorelli knows what he's talking about and attempts to make that as clear as possible through his in-class examples. He records all of his lectures  and he is there to help with anything you need during office hours. He is incredibly patient. He also sounds exactly like Norm MacDonald... just sayin'.,04/21/2015,2,2.0,,4,Really into it,4.5,4.5,1,No,Yes,1112,Yes,,A,,people,people
N/A,average,good,average,0,23678069,0,,average,3,TAM211,"He's a dry lecturer, but he really knows what he's doing. Sometimes his sense of humor is hilarious, but it's hard to pay attention in his class.",10/21/2014,4,4.0,,3,Low,3,3.0,1,No,N/A,1112,Yes,,N/A,,people,people
N/A,average,good,average,1,21469273,1,,average,3,TAM212,"Really wasn't a fan. His lectures were among the most dry and dull that I've seen out there, and following the material (or even trying to) proved to be very difficult for me. That may be in part due to the nature of the class itself, but he certainly did nothing to contribute positively to me.",04/01/2013,4,4.0,,2,Low,2.5,2.5,1,No,N/A,1112,N/A,,N/A,,person,person
N/A,average,average,average,0,21226347,0,,average,3,TAM212,"I don't see what everybody's complaining about. The class was tough, but he def didn't make it worse. He used smartphysics for the hw which was great and gave a lot of opportunities for extra credit. The hw was about 10x harder than the tests and took HOURS (but at least it's not the other way around). Best example I've seen of an AVERAGE professor",01/07/2013,3,3.0,,3,Sorta interested,3,3.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,19885834,0,,good,4,ME471,"Finite Element Analysis. Very hard class, homeworks and computer problems took many hours each week, exam was open book though.",03/06/2012,5,5.0,,4,Sorta interested,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,average,0,17451679,0,,average,4,TAM212,"The homework was ridiculous (At least 8 hours a week), but he does a ton of examples in lecture and the exams weren't too bad.",07/26/2010,4,4.0,,2,Meh,3,3.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,average,1,16839063,0,,good,5,TAM212,"The material was not difficult, just EXTREMELY boring. He was a good professor - he taught exactly what he tested us on. The homework was brutal - took at least 6 hours a week.",03/01/2010,4,4.0,,2,Low,3.5,3.5,1,No,N/A,1112,N/A,,N/A,,people,person
N/A,average,good,average,0,16575247,0,,average,3,TAM212,He sounds exactly like Norm Mcdonald.,12/16/2009,4,4.0,,3,Sorta interested,3,3.0,1,No,N/A,1112,N/A,,N/A,,people,people
