attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,average,good,0,19462161,0,,good,5,ACCY556,"Second time having Holder. He is STILL the best professor I've ever had. Very helpful, great sense of humor, clearly explains difficult tax issues. Grading is very fair and tests are straight-forward, open book AND open note. Cannot recommend him enough!",12/11/2011,2,2.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,18510590,0,,good,5,ACCY312,"Awesome professor, and highly recommended. Answers questions clearly and in a timely manner. Class sessions are helpful, but you can teach yourself from the book if thats your style.",05/02/2011,2,2.0,,5,Low,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,18019009,0,,good,5,ACCY312,"Pretty darn easy class. He will tell you on the day before the test exactly which topics to know, and the tests are open book. So just mark up your book with the topics, and this class becomes a joke. He is a good professor, though, and is a practicing accountant, so he has some real-world experience. Recommended.",12/21/2010,1,1.0,,5,Low,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,17916945,0,,good,5,ACCY312,"Best professor I have ever had, hands down. Highly recommend him to anyone who has to take tax. He works in an accounting firm, so he always gives great examples to illustrate the rules taught in class. Great sense of humor, extremely helpful, and the easiest for 312. Can't recommend him enough!!",12/11/2010,2,2.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,14464522,0,,good,5,ACCY312,Great teacher. Very helpful and understanding. Very knowledgeable and provides real world examples from his accounting practice. Highly recommended.,05/14/2008,1,1.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,13824383,0,,good,5,ACCY312,"Extremely nice teacher, will help you if you need it, tests are straightforward. The class before the test he gives you all the topics of the questions. Actually makes tax somewhat interesting.",12/13/2007,3,3.0,,5,Low,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,13472487,0,,good,4,ACC312,"Nicest Guy in the world... really makes you want to learn the material. can definitely tell he loves the subject and makes you want to learn it too. Hard material to teach, but he does a great job.",09/12/2007,4,4.0,,5,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,13472422,0,,good,4,ACC312,Tries very hard and is a very nice older gentleman.,09/12/2007,3,3.0,,5,It's my life,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,11476688,0,,average,3,ACCY312,Extremely boring but pretty easy.  Tax information is difficult but his exam questions are straight forward.  Never went to class and still got a B.  Final was optional.,02/11/2006,2,2.0,,3,Meh,3,3.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,10084765,0,,average,3,ACCY312,"Nice guy, tests are not that hard. The material itself is complicated though, so he simply avoided teaching it.",08/02/2005,2,2.0,,3,Sorta interested,3,3.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
