attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,poor,good,1,25815609,0,,good,5,BTW250,"Go to office hours, ask questions, and you'll be fine.  He just wants to see effort from his students - if you show that you're invested in the very easy class, that means a lot.",12/23/2015,1,1.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,Yes,,N/A,,people,person
N/A,average,average,average,0,25504265,0,,average,2,BTW250,"This is kind of a weird class. You'll probably get an A and if not certainly a B, and it's really useful to build your resume writing skills. But the group projects and some of the assignments are just way too much work for no reason. There's pretty much something due every class but it's usually only like one page of writing.",11/30/2015,2,2.0,,3,Sorta interested,2.5,2.5,1,Yes,N/A,1112,Yes,,A-,,people,people
Not Mandatory,poor,good,poor,0,24423154,0,,poor,1,BTW250,"He doesn't have a rubric for the class. He can just mark everything off if he feels like it, and that is what he actually does. He DOES NOT GRADE FAIRLY. He definitely gives good grades to people he likes. Very subjective. If he teaches BTW250, do not take it.",03/01/2015,5,5.0,,1,Meh,1,1.0,1,No,N/A,1112,Yes,,N/A,,people,people
N/A,poor,good,poor,0,24411200,0,,poor,1,BTW250,"From experience, very bad professor. He grades very subjectively. No matter how much work you put in, or no matter how many times you go to workshop, you will get the same grade. He is an English major, not business major but teaching a business course. He does not have a rubric so he can give whatever grade hewants",02/25/2015,5,5.0,,1,Meh,1,1.0,1,No,N/A,1112,Yes,,N/A,,people,people
Mandatory,poor,good,poor,0,24015252,0,,poor,1,BTW250,"This class was a waste of time and I learned absolutely nothing. The professor doesn't explain what he really wants in a paper. Several times I went to writers workshops and never got an ""A"".  A classmate of mine worked at the career center for editing resumes and got a ""C"" on her resume. I recommend NOT taking this class with Kelly.",12/10/2014,5,5.0,,1,Sorta interested,1,1.0,1,Yes,N/A,1112,Yes,,Not sure yet,,people,people
N/A,poor,good,poor,0,22913526,0,,poor,1,BTW250,"Graded subjectively. Waste of time. Even when I went to writers workshop everytime, I got a B- for the work. Should try to avoid his class. Picky Prof.",03/15/2014,5,5.0,,1,Meh,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,20680840,0,,good,5,BTW250,"Class is an easy A - almost a total blowoff. All we do is write a resume & cover letter, then a couple of short assignments and open book quizzes. If you get anything less than an A in this class you put absolutely no effort into it b/c he lets you rewrite every grade B- or less. How people fail open book quizzes is beyond me...",10/04/2012,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,average,poor,0,18000650,0,,poor,1,BTW250,"pretty stupid class. taught poorly. Too much work.  Basically an assignment due when there was a class. I wish that I did not take a class with him, even though I expected to get a good grade in this class(above B+).",12/19/2010,3,3.0,,1,Meh,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,average,0,16482220,0,,good,5,BTW250,"This class is hilariously easy. If you have any idea how to write and are willing to give minimal amounts of effort, you will get an A. As for Kelly, he doesn't seem to understand business at all, which is odd for a business writing class. Don't expect to learn too many things from this class.",12/06/2009,1,1.0,,2,Meh,3.5,3.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,average,0,15393247,0,,good,4,RHET105,"This class was mundane. The class was difficult but I did get an A. If you have to take the class, you will be fine, but it will not be preferable. He gives recommendations on what to write about, and you need to follow his recommendations. Keep your papers basic, to the point, and based on what he says in class and you will get an A on the essays.",01/20/2009,3,3.0,,3,It's my life,3.5,3.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,15158043,0,,good,4,BTW250,"This class is really easy. We had a lot of quizzes, but they were open book. There is one large client project at the end but other than that, there are short papers (like a resume) due throughout the semester. Pretty Easy. I got an A.",12/10/2008,1,1.0,,4,Sorta interested,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,12446225,1,,good,5,BTW250,"Laidback & helpful guy. Attend his office hours and ask him for critique on paper, he'll give great advice - follow them and you should get a good grade (I was able to get many As doing this). He has rewrite option for first couple papers. Quizzes in class - pretty easy and later on, open book. Not a blow off class, still need to put work into it",11/18/2006,2,2.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,person,people
N/A,good,average,good,0,1498931,0,,good,4,BTW250,this guy is really laid back.  He made this class a joke when i have heard nightmares about other prof's for this class.,12/13/2003,2,2.0,,5,N/A,4.5,4.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
