attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Not Mandatory,average,good,average,0,26574737,0,,poor,2,CHLH101,"I don't feel like the course is as simple as is described. The lecture is very boring, and it is hard to get a good grade with the sufficient preparation of the notes. Very disappointed.",05/14/2016,4,4.0,,2,N/A,2,2.0,1,No,N/A,1112,Yes,,B,,people,people
N/A,good,poor,good,1,22031855,0,,good,5,CHLH100,"The class is alot of fun, he tells alot of jokes and by just showing up and preparing with study guides will earn you an A in this class.",08/07/2013,1,1.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,person
N/A,good,poor,good,0,21529355,0,,good,5,CHLH100,Funniest professor ever.  Has a very dry sense of humor.  Very enjoyable and easy class.  The discussion part of the course is pointless but the lectures are awesome.  Right on!!,04/13/2013,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,17105705,0,,good,5,CHLH101,Hes a pretty funny guy! CLASS IS EASY! EXAMS ARE EASY... IF YOU DO THE STUDY GUIDES! the study guides are super easy & he basically goes over the whole thing the lecture before the exams. Their are pop quizzes so i wouldn't recommended missing class. overall easy A.,05/02/2010,1,1.0,,5,Sorta interested,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,16251698,0,,good,5,HEALT000,very nice prof.,10/19/2009,3,3.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,16143612,0,,good,4,CHLH100,"There are only 2 exams, 3 pop quizzes, and one assignment. The TA tells you what is on the exam verbatim. If you put any effort at all, you should do well. Still, I would not take this class just for an elective because I found it quite dull. Maybe CHLH feel differently, but I found class and the lectures to be quite a waste of time.",08/23/2009,1,1.0,,4,Low,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,11971674,0,,good,5,CHLH101,"Great guy! his class is super easy and somewhat intersting if you are interested in stuff like the degrading health care system of the United States. Also, there really isnt a lot of work involved and he is very clear and lenient about when they are due.",06/03/2006,1,1.0,,5,Really into it,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,11937395,0,,good,4,CHLH101,Easy class.  He has a dry sense of humor.,05/24/2006,1,1.0,,4,Sorta interested,4,4.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,11611713,0,,good,5,CHLH100,"Remmert is the coolest prof at U of I. His tests are so straightforward and he basically gives you the test questions before in review.  Got to discussion b/c TAs tell u what's on exams, esp. Leyla she's awesome, and go to lecture- it's boring but he gives pop quizzes (which are SUPER easy if you're just there.) I recommend him highly.",03/25/2006,1,1.0,,5,Really into it,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,10550334,0,,good,5,CHLTH100,David Remmert is probably one of the best teachers I've ever had.  He's clear and explains concepts well.  Also has a sense of humor.  His class is very straight-forward.,10/04/2005,1,1.0,,5,Low,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,1,10147175,3,,poor,2,CHLH101,"Many of my friends took this class as an easy-A class, but none of them got A's.  Go to lecture, because there are pop quizzes.  The professor brainwashed students into becoming liberals regarding the governmental health care system.",08/21/2005,3,3.0,,2,It's my life,2,2.0,3,N/A,N/A,1112,N/A,,N/A,,people,person
