attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Mandatory,good,good,average,0,25867343,0,,average,4,NPRE101,"I don't have a strong math or science background but I didn't struggle in that aspect. Professor Ruzic is a genius and loves what he teaches but he doesn't care much about students. All office hours and grading done by undergraduate TA's - little access to professor. Learned a ton, worked my butt off and still got A-. Must go to class.",01/03/2016,4,4.0,,1,Really into it,2.5,2.5,1,No,N/A,1112,Yes,,A-,,people,people
N/A,good,average,good,0,24898680,0,,good,5,NPRE101,"I was in the honors section, which in addition to the regular class, would meet weekly to discuss topics more in depth (really good discussions).  Homework was very reasonable.  Explosions every class and his enthusiasm for the topics made for an engaging class. He also hosted a barbecue and bonfire at the end of semester which was fun",05/25/2015,2,2.0,,5,Really into it,5,5.0,1,No,N/A,1112,Yes,,N/A,,people,people
Not Mandatory,average,good,average,0,24449730,1,,poor,2,ENVS101,Unless you like the smell of burning coal and or fire crackers I would not suggest this class. Homeworks are long and seem fairly irrelevant to course work. Tons of writing for an engineering course. Midterms are all written short answer questions. If you are a science or math person know that this class will not cater to you.,03/10/2015,4,4.0,,2,Low,2,2.0,1,No,N/A,1112,Yes,,N/A,,person,people
N/A,average,good,poor,0,24368586,0,,poor,2,ENVS100,"I took the class because I needed to fulfill QR2. Having NO background in chemistry or physics, I was reassured by the course description that no prior knowledge in these subjects was assumed. He DOES assume quite a bit of prior knowledge, however, and it was too much for me. It was fun though, and he's the UIUC Prof. Lockhart. Just be warned!",02/08/2015,4,4.0,,1,Sorta interested,1.5,1.5,1,Yes,N/A,1112,Yes,,N/A,,people,people
N/A,good,poor,good,0,23627663,0,,good,5,101,"I would honestly recommend this class to anyone. As a nukie it was decently useful to learn about other energy sources but the math and physics is so basic and minimal that it is 100% doable for literally any major. Ruzic is a great lecturer, it's actually a class that I wanted to show up to instead of having to drag myself there. Take NPRE 101!!",10/03/2014,1,1.0,,5,Really into it,5,5.0,1,No,Yes,1112,Yes,,N/A,,people,people
N/A,good,average,good,0,20004417,0,,good,5,NPRE101,"AWESOME guy. His class is very interesting and very fun. He explains everything with great clarity and will answer any question you have.The discovery section he has is also really fun, we always take field trips around campus to get to know the university better. Very friendly guy. The exams are somewhat hard, but very doable.",04/05/2012,3,3.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,1,18728816,0,,good,5,NPRE101,"Very interesting class that's exceptionally relevant to the modern world. His presenations are exciting and engaging. The homework and out of class work is very reasonable. The biggest downside are the exams which are open answer not multiple choice. Also, He loves to blow things up which makes the lectures a blast!",06/14/2011,2,2.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,person
N/A,good,good,good,0,15835191,0,,good,5,NPRE101,Lots of fun.  Explosions and field trips keep you interested.,05/14/2009,4,4.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,15439022,0,,good,5,NPRE101,"One of the few professors, that is both intelligent in his field as well as a great teacher/lecturer. You MUST go to class for a chance at a good grade but you'll want to go. He gives you the list of questions on the test before the test..He picks 10, know how to answer them all and you got yourself an A. Blows something up almost every class.",02/03/2009,2,2.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,14623610,0,,good,5,NPRE101,Class was fun. We blew something up every day just like he promised. Exams were extremely straightforward.,06/30/2008,2,2.0,,5,Really into it,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,14490206,0,,average,2,ENVS101,"This class was a lot harder than I thought it would be.  It required a lot of studying and the concepts were not that easy.  My friend told me it was an easy A, but it definitely wasn't.  Professor Ruzic is smart, but sometimes it's really, really hard to follow what he's saying in lecture.",05/18/2008,3,3.0,,3,Really into it,2.5,2.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,14382920,0,,good,4,NPRE101,"Like the other ppl said, He is a really good lecturer, but don't expect an easy A unless you're a fan of math/science! This class is great for getting your QII/Science requirements, but its is pretty hard for someone who doesn't really enjoy math/science!",05/01/2008,4,4.0,,4,Sorta interested,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,13616452,0,,good,4,NPRE101,"He is pretty clear and helpful, and overall the class if fairly easy. He also makes the class interesting. However, he makes it sound like nuclear energy is amazing and that there's nothing wrong with it, even though there is. At the same time, he makes alternative energy look like it can't help us very much. Look at his department: he is biased!",11/07/2007,2,2.0,,4,Really into it,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,13360398,0,,good,5,NPRE101,Absolutely amazing.  A class that I actually looked forward to going to.  He is such a dynamic speaker and can make any topic interesting.  The tests are based heavily on the lectures.,07/27/2007,2,2.0,,5,Really into it,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,13180346,0,,good,5,NPRE101,Best professor ever.  Knows pretty much everything.  Great class! Blows up a lot of stuff.,05/17/2007,1,1.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,11233085,0,,good,5,NPRE101,"TAKE THIS COURSE!!! Not only does he blow stuff up, you actually learn stuff that you can user in life. Everyone should take this course. Everything is reasonable.",12/21/2005,2,2.0,,5,It's my life,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,3783859,0,,good,5,NPRE101,"If you are even considering this course, TAKE IT. This guy is a great professor and always keeps the topic very interesting. The class is relatively easy, but you will learn a LOT about energy sources. One of the best courses I have ever taken.",05/04/2005,2,2.0,,5,Really into it,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,3496418,0,,good,5,NPRE101,"An absolutely great professor. I love the class - and yes, it's great that there's always some sort of demonstration(usually an explosion). After you take the class, you can decide for yourself if you agree with me in saying he looks a bit like MacGyver - no disrespect intended - MacGyver is awesome",03/23/2005,2,2.0,,5,Really into it,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,3294621,0,,good,4,ENVS101,Blows up something every class.  How can one go wrong&#63;,01/28/2005,4,4.0,,4,Really into it,4,4.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,3246893,0,,good,4,ENVS101,I love this man.  Could he be a better teacher&#63;  Anyone who blows up several things and lights even more things on fire on the first day has got to be amazing!,01/19/2005,3,3.0,,4,Really into it,4,4.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
