attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,average,good,1,22148234,0,,good,5,APPLIEDTHERMO,This man is THE BEST LECTURER AND PROFESSOR IN THE WORLD! I LIKE HIM SO MUCH!,09/30/2013,2,2.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,person
N/A,good,average,good,0,21469266,0,,good,5,ME300,"You may think the reviews for Kyritsis are too good to be true. They're not. He's a fantastic professor for whom I can give nothing but the highest praise. His lectures are clear and interesting to even the most disinterested of students and his booming voice will keep you alert even at 8am. Seriously, don't miss a chance to take his class.",04/01/2013,3,3.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,21361568,1,,good,5,ME3008AM,"Best professor I've had yet. Did not think i'd like thermo, but he made it interesting and was really good at explaining",02/23/2013,3,3.0,,5,Low,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,person,people
N/A,good,average,good,0,21226306,0,,good,5,ME300,"I was dreading Thermodynamics before taking his class. It was my favorite class this semester. He explains clearly, is endlessly patient, has a great sense of humor, learns everyone's names, and he's super Greek. One of the most effective professor's I've seen. Definitely worth the 8:00 AMs.",01/07/2013,3,3.0,,5,Low,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,21035153,0,,good,5,ME300,"I just left his last lecture. I find (well, found) thermodynamics very tedious and boring in previous classes. But it was impossible not to love his class. Lectures were profound and he memorized nearly all of 200 names just cuz he likes us. He's super greek and a lot of fun to learn from. Definitely take his section even at 8am!",12/12/2012,3,3.0,,5,Low,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,18587851,0,,good,5,ME410,Very good prof.. His exams in ME410 were pretty easy...open book exams....Lots of HWs..he is extremely helpful,05/12/2011,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,18276820,0,,good,5,ME320,"This is one of the best professors I've ever met. He always explains everything very clearly and can answer any questions effectively. You end up doing more work than other sections, but in the end you will definitely know the material. Attendance not mandatory, but there is a quiz once about every two weeks.",03/14/2011,4,4.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,18054814,0,,good,4,ME320,"Best professor I've had at U of I. Very helpful and caring for all of his students. You need to put in the work to get a good grade, but the class is set up to help you succeed.",12/28/2010,3,3.0,,5,Sorta interested,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,17496119,0,,good,5,ME310,Highly recommended. I went out of my way to take a second class with him. He made a difficult and math-heavy subject understandable. Office hours were very helpful and sometimes necessary to complete homework. Only bad thing is he talks REALLY loud. Ultimately a small price to pay for one of the best engineering profs on campus.,08/10/2010,4,4.0,,5,Low,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,16356514,0,,good,4,ME300,Best prof ever!,11/12/2009,4,4.0,,5,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,15884403,0,,good,5,ME300,"I would go out of my way to take another class with Kyritsis. Lectures are interesting and engaging, and office hours are amazingly helpful. I learned more in this class that I had any other class at college",05/22/2009,3,3.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,15745384,0,,good,5,ME300,"one of the best professor teaching ME at u of i. exams are hard, but there is a curve and if you study, you can certainly get 100 from his exams. his lectures are very helpful and humorous from time to time",05/01/2009,4,4.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,14693179,0,,good,4,ME320,"Kyritsis is every bit as amazing as he was for Thermo.  The subject matter however was far more difficult this time around.  Office hours were needed very much.  However, Kyritsis made everything clear, and his policy of open-note was good for understanding rather than memorization.  TAKE HIS CLASS IF POSSIBLE.",07/28/2008,5,5.0,,5,Sorta interested,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,14547579,0,,good,5,ME320,"The best professor ever, anywhere. Everything about the way he teaches is perfect. I wish I could always have him as a professor",06/02/2008,4,4.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,average,0,13586018,0,,average,5,ME300,"Absolutely the best professor at the University. Completely fair with homeworks and tests. A class that had close to 150 students, I wouldn't be surprised if 90% of the class didn't miss a single lecture.",11/01/2007,3,3.0,,1,Really into it,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,13577282,0,,good,5,ME300,Absolutely the best professor I've had.  Exams are very fair and the Homework actually teaches you what you need to know.  His lectures are crystal clear and his notes are near-perfect.  Going to his office hours makes a world of difference and will all but guarantee you an A in the class.,10/30/2007,1,1.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,13482700,0,,good,5,ME300,Good dude,09/19/2007,2,2.0,,5,Meh,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
